# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1  0.00115462 5.75865e-06
           1   0.0495307 0.000241315
           1    0.229136 0.000926516
           1    0.999786  0.00394811
           1     2.37439  0.00788961
           1     4.26093   0.0122335
           1     6.39212    0.016136
           1     8.73464   0.0198274
           1     11.0267   0.0227773
           1     13.0685   0.0248369
           1     15.0698   0.0266452
           1     17.0263   0.0282456
           1     18.8301    0.029514
           1     20.5673   0.0306262
           1     22.2004   0.0315581
           1     23.6339   0.0322346
           1      25.058   0.0328801
           1     26.4841   0.0335076
           1     27.8128   0.0340276
           1     29.1423   0.0345341
           1      30.363   0.0349396
           1     31.5707   0.0353254
           1     32.6969   0.0356447
           1     33.8433   0.0359704
           1     34.9456   0.0362597
           1      36.083   0.0365652
           1     37.1835   0.0368403
           1     38.2695   0.0371006
           1      39.393   0.0373778
           1      40.455   0.0376124
           1     41.4924   0.0378283
           1     42.5894   0.0380727
           1     43.6323   0.0382816
           1     44.6926   0.0384952
           1     45.7447   0.0386996
           1     46.8119   0.0389074
           1     47.8556   0.0390982
           1     48.9332   0.0393022
           1      50.008      0.0395
           1      51.024   0.0396639
           1     52.0446   0.0398261
           1     53.1396   0.0400212
           1     54.1896   0.0401892
           1     55.2535   0.0403598
           1     56.2948   0.0405154
           1       57.34    0.040669
           1     58.3925    0.040822
           1     59.4216   0.0409604
           1     60.4713   0.0411044
           1     61.4991   0.0412348
           1     62.5057   0.0413526
           1     63.5161   0.0414686
           1     64.5268   0.0415813
           1     65.5527    0.041697
           1     66.5802   0.0418098
           1     67.5858   0.0419103
           1     68.5799   0.0420031
           1     69.5749   0.0420931
           1     70.6046   0.0421935
           1     71.6225   0.0422859
           1     72.6244    0.042369
           1     73.6442   0.0424557
           1     74.6515   0.0425344
           1     75.6498   0.0426068
           1     76.6457   0.0426752
           1     77.6464   0.0427423
           1     78.6466   0.0428063
           1     79.6475   0.0428675
           1     80.6445   0.0429242
           1      81.629   0.0429738
           1      82.621   0.0430231
           1     83.6361   0.0430773
           1     84.6335   0.0431224
           1     85.6226   0.0431619
           1     86.6052   0.0431965
           1     87.5862   0.0432277
           1     88.5888    0.043263
           1     89.5931   0.0432959
           1     90.5821    0.043321
           1     91.5674   0.0433422
           1     92.5614   0.0433632
           1     93.5559   0.0433816
           1     94.5472    0.043396
           1      95.541   0.0434085
           1       96.54   0.0434196
           1     97.5268   0.0434242
           1     98.5186   0.0434275
           1     99.5043   0.0434263
           1     100.504   0.0434263
           1     101.493   0.0434202
           1     102.487   0.0434128
           1     103.488   0.0434044
           1     104.476   0.0433897
           1     105.451   0.0433688
           1     106.422    0.043344
           1     107.415   0.0433222
           1     108.391   0.0432932
           1     109.399   0.0432697
           1     110.384   0.0432372
           1     111.381   0.0432051
           1     112.366   0.0431668
           1     113.373   0.0431314
           1     114.361   0.0430881
           1     115.348   0.0430418
           1     116.328   0.0429912
           1     117.309   0.0429377
           1     118.283   0.0428799
           1     119.288   0.0428262
           1     120.282   0.0427669
           1     121.259   0.0427011
           1     122.236   0.0426323
           1     123.233   0.0425648
           1     124.222   0.0424927
           1     125.227    0.042421
           1     126.218   0.0423432
           1     127.216   0.0422638
           1     128.195   0.0421775
           1      129.19   0.0420913
           1     130.182   0.0420013
           1     131.168   0.0419071
           1     132.164   0.0418117
           1     133.133    0.041708
           1     134.111   0.0416029
           1     135.092   0.0414952
           1     136.075   0.0413847
           1     137.061   0.0412715
           1     138.056   0.0411565
           1     139.045   0.0410372
           1     140.033   0.0409145
           1     141.014   0.0407871
           1     142.006   0.0406582
           1     142.994   0.0405254
           1     143.967   0.0403865
           1     144.962   0.0402478
           1     145.946   0.0401037
           1     146.925   0.0399554
           1      147.91   0.0398043
           1     148.899   0.0396503
           1     149.876   0.0394907
           1     150.865   0.0393293
           1     151.831   0.0391609
           1     152.825   0.0389926
           1     153.819   0.0388204
           1     154.801   0.0386425
           1     155.786   0.0384612
           1     156.768   0.0382753
           1      157.76   0.0380868
           1     158.749   0.0378936
           1      159.75   0.0376979
           1     160.733   0.0374954
           1     161.712   0.0372881
           1     162.698   0.0370773
           1     163.681   0.0368617
           1     164.678    0.036643
           1     165.666   0.0364186
           1     166.643   0.0361884
           1     167.634   0.0359547
           1     168.631   0.0357167
           1     169.628   0.0354736
           1     170.604   0.0352234
           1     171.605   0.0349701
           1     172.592   0.0347103
           1     173.576   0.0344446
           1     174.561   0.0341734
           1     175.549   0.0338967
           1     176.528   0.0336134
           1     177.509   0.0333243
           1     178.494   0.0330292
           1      179.48   0.0327279
           1     180.447   0.0324189
           1     181.439   0.0321047
           1     182.431   0.0317835
           1     183.429   0.0314556
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2  0.00057731 5.75865e-06
           2   0.0226153 0.000219875
           2    0.154059  0.00132833
           2    0.543608   0.0040992
           2     1.21111  0.00779572
           2     2.18497   0.0124081
           2     3.35522   0.0169607
           2      4.4168   0.0199057
           2     5.55003   0.0227818
           2     6.68953   0.0253354
           2     7.71132   0.0271833
           2     8.64361   0.0286046
           2     9.50914   0.0297537
           2      10.304    0.030669
           2     11.0853   0.0315163
           2     11.8301   0.0322523
           2     12.5696   0.0329527
           2     13.2657   0.0335461
           2     13.9201   0.0340481
           2     14.5503   0.0344967
           2     15.1771   0.0349284
           2     15.7715   0.0353004
           2      16.372   0.0356725
           2     16.9516   0.0360064
           2     17.4947    0.036285
           2     18.0478   0.0365701
           2      18.597   0.0368438
           2      19.128   0.0370897
           2      19.655   0.0373256
           2     20.1962   0.0375727
           2     20.7324   0.0378085
           2     21.2726   0.0380437
           2     21.8002   0.0382596
           2     22.3386   0.0384824
           2     22.8902   0.0387151
           2     23.4357   0.0389356
           2     23.9643   0.0391329
           2     24.5083   0.0393421
           2     25.0463     0.03954
           2     25.5707   0.0397195
           2     26.0941   0.0398938
           2     26.6241   0.0400703
           2     27.1459   0.0402347
           2      27.651   0.0403796
           2     28.1538   0.0405186
           2     28.6937   0.0406886
           2     29.2108    0.040833
           2     29.7265   0.0409723
           2     30.2473   0.0411125
           2     30.7575   0.0412396
           2      31.265   0.0413608
           2     31.7678   0.0414747
           2     32.2838   0.0415964
           2     32.8022   0.0417164
           2     33.3105   0.0418246
           2     33.8077   0.0419205
           2     34.3116   0.0420185
           2     34.8099    0.042109
           2      35.316   0.0422023
           2     35.8258   0.0422953
           2     36.3354   0.0423848
           2     36.8344   0.0424631
           2      37.337    0.042541
           2     37.8418   0.0426174
           2      38.346   0.0426903
           2      38.855   0.0427636
           2     39.3552   0.0428273
           2     39.8576   0.0428896
           2     40.3509   0.0429427
           2     40.8507   0.0429972
           2     41.3564   0.0430529
           2     41.8441   0.0430934
           2     42.3384   0.0431355
           2     42.8387   0.0431787
           2     43.3336   0.0432153
           2      43.833    0.043252
           2     44.3309   0.0432849
           2     44.8304   0.0433159
           2     45.3239   0.0433402
           2     45.8116   0.0433582
           2     46.3001   0.0433739
           2     46.7983   0.0433927
           2     47.2993   0.0434103
           2     47.8073   0.0434293
           2      48.308   0.0434409
           2     48.7981   0.0434435
           2     49.2815   0.0434396
           2      49.771   0.0434364
           2     50.2611   0.0434307
           2     50.7572   0.0434255
           2      51.248   0.0434147
           2     51.7573   0.0434113
           2     52.2529   0.0433974
           2     52.7475     0.04338
           2     53.2431   0.0433604
           2     53.7365   0.0433368
           2     54.2389    0.043315
           2     54.7387    0.043289
           2     55.2343    0.043258
           2     55.7318    0.043225
           2     56.2232   0.0431861
           2     56.7126   0.0431434
           2     57.2007   0.0430973
           2     57.6979   0.0430527
           2     58.1895   0.0430025
           2     58.6861   0.0429518
           2     59.1682   0.0428916
           2     59.6656   0.0428355
           2     60.1617   0.0427758
           2     60.6574   0.0427129
           2     61.1556   0.0426482
           2     61.6457    0.042577
           2     62.1342   0.0425021
           2     62.6292    0.042427
           2     63.1267     0.04235
           2     63.6171   0.0422669
           2     64.1082   0.0421811
           2     64.6016   0.0420932
           2     65.0971   0.0420031
           2     65.5893   0.0419085
           2     66.0809   0.0418106
           2     66.5721   0.0417094
           2     67.0638   0.0416052
           2     67.5537   0.0414973
           2     68.0434    0.041386
           2     68.5358   0.0412725
           2     69.0252   0.0411547
           2     69.5217   0.0410362
           2     70.0131   0.0409125
           2     70.5031    0.040785
           2      70.992   0.0406538
           2     71.4789   0.0405185
           2     71.9683   0.0403807
           2      72.461   0.0402405
           2     72.9543   0.0400969
           2     73.4437   0.0399486
           2     73.9355   0.0397975
           2     74.4291   0.0396432
           2     74.9213   0.0394849
           2     75.4136   0.0393229
           2     75.9089   0.0391579
           2     76.3999    0.038988
           2     76.8881   0.0388134
           2     77.3836   0.0386369
           2     77.8763   0.0384556
           2     78.3663   0.0382696
           2     78.8647   0.0380818
           2      79.361   0.0378892
           2     79.8462   0.0376897
           2     80.3356   0.0374869
           2      80.832   0.0372814
           2     81.3261    0.037071
           2     81.8187   0.0368557
           2     82.3115   0.0366358
           2     82.8088   0.0364123
           2     83.3044   0.0361836
           2     83.7938   0.0359488
           2     84.2851   0.0357095
           2     84.7728   0.0354644
           2     85.2664   0.0352154
           2     85.7597   0.0349611
           2      86.256   0.0347019
           2      86.749   0.0344366
           2     87.2447   0.0341662
           2     87.7365   0.0338893
           2     88.2251   0.0336062
           2     88.7182   0.0333176
           2     89.2089   0.0330225
           2     89.7062    0.032722
           2     90.2025   0.0324148
           2     90.6982   0.0321007
           2     91.1945   0.0317797
           2     91.6839   0.0314507
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3 0.000769747 1.15173e-05
           3     0.01367 0.000193306
           3   0.0976198  0.00126987
           3    0.351687  0.00400099
           3     0.81194  0.00794153
           3     1.42756   0.0121157
           3     2.17686   0.0164341
           3     2.89681   0.0195599
           3     3.61834    0.022236
           3     4.31924   0.0244686
           3     5.00478   0.0264058
           3      5.6377   0.0279252
           3     6.21416   0.0291016
           3     6.75985   0.0300988
           3     7.29561   0.0310169
           3     7.77101   0.0316992
           3     8.23649   0.0323297
           3     8.68437    0.032891
           3     9.13458   0.0334425
           3     9.54463   0.0338765
           3     9.95528   0.0343008
           3      10.365   0.0347124
           3     10.7693   0.0351015
           3     11.1497   0.0354301
           3     11.5301   0.0357512
           3     11.9078   0.0360596
           3     12.2829   0.0363557
           3     12.6362   0.0366049
           3     12.9945   0.0368575
           3     13.3381   0.0370791
           3     13.7106   0.0373463
           3     14.0612   0.0375693
           3     14.4064   0.0377783
           3     14.7557   0.0379894
           3      15.112   0.0382072
           3     15.4517   0.0383937
           3     15.8063    0.038599
           3     16.1513   0.0387849
           3     16.5089   0.0389859
           3     16.8659   0.0391813
           3     17.2187   0.0393656
           3     17.5754   0.0395514
           3     17.9339   0.0397356
           3      18.282   0.0398998
           3     18.6232   0.0400503
           3     18.9746   0.0402112
           3      19.319   0.0403583
           3     19.6545   0.0404896
           3     19.9932   0.0406216
           3     20.3342    0.040753
           3     20.6689   0.0408726
           3     21.0076    0.040994
           3     21.3483   0.0411143
           3     21.6924   0.0412354
           3     22.0255   0.0413394
           3     22.3665   0.0414497
           3     22.7066   0.0415555
           3     23.0455   0.0416564
           3     23.3745   0.0417425
           3     23.7109   0.0418339
           3     24.0434   0.0419177
           3     24.3783    0.042001
           3     24.7288   0.0420993
           3     25.0625   0.0421748
           3     25.4017   0.0422534
           3     25.7347   0.0423218
           3     26.0703   0.0423901
           3      26.405   0.0424544
           3      26.738   0.0425137
