# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0323165           0           0
    0.064633           0           0
   0.0969496           0           0
    0.129266           0           0
    0.161583           0           0
    0.193899           0           0
    0.226216           0           0
    0.258532           0           0
    0.290849           0           0
    0.323165           0           0
    0.355482           0           0
    0.387798           0           0
    0.420115           0           0
    0.452431           0           0
    0.484748           0           0
    0.517064           0           0
    0.549381           0           0
    0.581697           0           0
    0.614014           0           0
     0.64633           0           0
    0.678647           0           0
    0.710963           0           0
     0.74328           0           0
    0.775596           0           0
    0.807913           0           0
     0.84023           0           0
    0.872546  0.00170277 0.000170886
    0.904863   0.0386031 0.000840293
    0.937179    0.252285  0.00205842
    0.969496    0.741987  0.00384376
     1.00181     1.36681  0.00500954
     1.03413     1.90113  0.00708799
     1.06645     2.18242  0.00814956
     1.09876     2.27599  0.00939676
     1.13108     2.26143  0.00701254
     1.16339     2.15535  0.00789703
     1.19571     2.04435   0.0066565
     1.22803     1.89632  0.00606616
     1.26034     1.77583  0.00558025
     1.29266      1.6755  0.00477548
     1.32498     1.57381  0.00487588
     1.35729     1.49442  0.00437607
     1.38961     1.42338  0.00342907
     1.42193     1.35603  0.00400215
     1.45424     1.31241   0.0034554
     1.48656     1.27079  0.00325066
     1.51888     1.23313  0.00366994
     1.55119     1.20352  0.00311228
     1.58351      1.1788  0.00323415
     1.61583       1.152   0.0026062
     1.64814     1.13283  0.00299932
     1.68046      1.1177  0.00261417
     1.71278     1.10474  0.00273275
     1.74509     1.09666  0.00276876
     1.77741     1.08598  0.00278294
     1.80973     1.07678   0.0024264
     1.84204     1.06992  0.00261755
     1.87436     1.07042  0.00217332
     1.90667     1.06427  0.00236541
     1.93899     1.06465  0.00221112
     1.97131     1.06002  0.00259045
     2.00362     1.05877  0.00245776
     2.03594     1.05589  0.00184514
     2.06826      1.0589  0.00214578
     2.10057     1.06089  0.00209309
     2.13289      1.0512  0.00193096
     2.16521     1.05026  0.00218204
     2.19752     1.05294  0.00217704
     2.22984     1.04351  0.00194768
     2.26216     1.04527   0.0019122
     2.29447     1.04296   0.0018616
     2.32679     1.03555  0.00206153
     2.35911     1.03503   0.0020209
     2.39142     1.03236  0.00183329
     2.42374     1.03086  0.00181838
     2.45606     1.02883  0.00195366
     2.48837     1.02586  0.00181298
     2.52069     1.02178  0.00181596
     2.55301     1.02108  0.00158243
     2.58532     1.01993  0.00160717
     2.61764     1.01608  0.00178626
     2.64995     1.01285  0.00134984
     2.68227     1.01454  0.00170613
     2.71459     1.01058  0.00159813
      2.7469     1.00763  0.00155795
     2.77922     1.00827  0.00147567
     2.81154     1.00885  0.00146489
     2.84385     1.00484  0.00157862
     2.87617     1.00292  0.00155459
     2.90849     1.00296  0.00139332
      2.9408     1.00305  0.00149587
     2.97312     1.00161  0.00123735
     3.00544    0.999531  0.00156142
     3.03775    0.999097  0.00137709
     3.07007     1.00084  0.00145675
     3.10239    0.996884  0.00118253
      3.1347      0.9986  0.00138846
     3.16702    0.999198  0.00139043
     3.19934     0.99455  0.00124417
     3.23165     0.99562  0.00129293
     3.26397    0.996123  0.00120756
     3.29629    0.998661  0.00131668
      3.3286    0.997436  0.00144365
     3.36092    0.992893   0.0012593
     3.39323    0.993162  0.00114638
     3.42555     0.99507  0.00129574
     3.45787    0.993918   0.0012767
     3.49018    0.995098  0.00115017
      3.5225    0.991571  0.00125775
     3.55482    0.992237  0.00117751
     3.58713    0.991505  0.00119354
     3.61945    0.992303  0.00120367
     3.65177    0.991961  0.00114746
     3.68408    0.991075  0.00127363
      3.7164    0.991495  0.00124634
     3.74872    0.990167      0.0013
     3.78103    0.990478  0.00104825
     3.81335    0.990865  0.00115389
     3.84567     0.98939  0.00108916
     3.87798    0.988727 0.000926878
      3.9103    0.988885 0.000952265
     3.94262    0.988388  0.00123959
     3.97493    0.988761 0.000929961
     4.00725    0.989508  0.00101135
     4.03957    0.989519  0.00104297
     4.07188     0.98936  0.00108712
      4.1042     0.98529  0.00109864
     4.13651    0.986731 0.000923596
     4.16883    0.987208 0.000931367
     4.20115    0.988222  0.00104518
     4.23346    0.987716 0.000952227
     4.26578     0.98814 0.000919433
      4.2981    0.988106  0.00102344
     4.33041    0.990308  0.00103901
     4.36273    0.988881 0.000914718
     4.39505    0.987074 0.000971036
     4.42736    0.986868 0.000897392
     4.45968    0.987758 0.000919704
       4.492    0.986511 0.000936025
     4.52431    0.985313 0.000911351
     4.55663    0.987377 0.000853324
