#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.416422   -0.416422           0
           2   -0.414916   -0.415669 0.000532678
           3   -0.410507   -0.413948  0.00144904
           4   -0.414336   -0.414045  0.00109001
           5   -0.416514   -0.414539 0.000977433
           6   -0.417972   -0.415111 0.000967622
           7   -0.414774   -0.415063 0.000830587
           8   -0.416299   -0.415217 0.000740988
           9   -0.412318   -0.414895  0.00072533
          10   -0.415538   -0.414959 0.000655638
          11   -0.417842   -0.415222 0.000646298
          12   -0.411668   -0.414925 0.000656779
          13    -0.41586   -0.414997 0.000610176
          14   -0.410927   -0.414707 0.000632067
          15   -0.418547   -0.414963 0.000639692
          16   -0.418767     -0.4152 0.000642387
          17   -0.417315   -0.415325 0.000616528
          18   -0.419305   -0.415546  0.00062067
          19   -0.418154   -0.415683 0.000602994
          20   -0.418929   -0.415846 0.000594287
          21   -0.417767   -0.415937 0.000572988
          22    -0.41782   -0.416023 0.000553299
          23   -0.408788   -0.415708 0.000612162
          24   -0.415045    -0.41568 0.000587278
          25   -0.418189   -0.415781 0.000572298
          26   -0.406079   -0.415408 0.000660823
          27   -0.415123   -0.415397 0.000636432
          28   -0.415953   -0.415417 0.000614012
          29   -0.414702   -0.415392 0.000593334
          30   -0.413259   -0.415321 0.000577803
          31   -0.412852   -0.415242 0.000564626
          32   -0.422711   -0.415475 0.000593272
          33   -0.417859   -0.415547 0.000579676
          34   -0.411671   -0.415433 0.000573727
          35   -0.418623   -0.415524 0.000564528
          36   -0.411391    -0.41541 0.000560398
          37   -0.422515   -0.415602 0.000577221
          38   -0.411056   -0.415482 0.000574293
          39   -0.422478   -0.415661 0.000586911
          40   -0.415901   -0.415667 0.000572269
          41   -0.415171   -0.415655 0.000558439
          42    -0.41393   -0.415614 0.000546652
          43   -0.415473   -0.415611 0.000533949
          44   -0.416522   -0.415632 0.000522215
          45   -0.415134   -0.415621 0.000510727
          46   -0.416138   -0.415632 0.000499748
          47   -0.415549    -0.41563 0.000489118
          48   -0.411546   -0.415545 0.000486272
          49   -0.410731   -0.415447 0.000486171
          50   -0.412432   -0.415386 0.000480171
          51   -0.411236   -0.415305 0.000477601
          52   -0.408215   -0.415169 0.000487491
          53   -0.410564   -0.415082 0.000485973
          54   -0.409088   -0.414971 0.000489484
          55   -0.420049   -0.415063 0.000489213
          56    -0.42212   -0.415189 0.000496441
          57   -0.413135   -0.415153 0.000489037
          58   -0.414687   -0.415145 0.000480671
          59   -0.418013   -0.415194 0.000474976
          60   -0.417419   -0.415231 0.000468506
          61   -0.415485   -0.415235 0.000460844
          62   -0.414386   -0.415221 0.000453615
          63   -0.416024   -0.415234 0.000446593
          64   -0.415394   -0.415237 0.000439622
          65   -0.416462   -0.415255 0.000433263
          66   -0.418912   -0.415311 0.000430226
          67   -0.412974   -0.415276 0.000425216
          68   -0.411825   -0.415225  0.00042198
          69   -0.413624   -0.415202 0.000416502
          70   -0.412596   -0.415165 0.000412213
          71   -0.415915   -0.415175 0.000406542
          72   -0.414021   -0.415159 0.000401212
          73   -0.415724   -0.415167 0.000395791
          74   -0.412472   -0.415131 0.000392114
          75   -0.414341    -0.41512 0.000387027
          76   -0.417044   -0.415145 0.000382762
          77   -0.416805   -0.415167 0.000378397
          78    -0.41048   -0.415107 0.000378287
          79   -0.410657   -0.415051 0.000377669
          80   -0.415734   -0.415059 0.000373045
          81   -0.415046   -0.415059 0.000368439
          82   -0.413207   -0.415036 0.000364638
          83   -0.415733   -0.415045 0.000360341
          84   -0.414609    -0.41504 0.000356089
          85   -0.412604   -0.415011 0.000353051
          86    -0.41817   -0.415048 0.000350851
          87   -0.415029   -0.415047 0.000346818
          88   -0.414055   -0.415036  0.00034306
          89   -0.411427   -0.414996 0.000341595
          90   -0.420562   -0.415057 0.000343353
          91   -0.412385   -0.415028 0.000340834
          92   -0.419942   -0.415081 0.000341288
          93   -0.412011   -0.415048 0.000339211
          94   -0.414403   -0.415042 0.000335672
          95   -0.415921   -0.415051 0.000332266
          96   -0.413293   -0.415032 0.000329309
          97   -0.414493   -0.415027 0.000325961
          98   -0.414655   -0.415023 0.000322657
          99   -0.412789   -0.415001 0.000320186
         100   -0.411124   -0.414962 0.000319323
