#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        0.053196        0.053196               0
               2       0.0532036       0.0531998     2.67505e-06
               3        0.053202       0.0532005      1.8794e-06
               4       0.0531991       0.0532002     1.44111e-06
               5       0.0531993          0.0532     1.16289e-06
               6       0.0532016       0.0532003     9.98787e-07
               7       0.0531945       0.0531994     1.14275e-06
               8       0.0531992       0.0531994     1.00039e-06
               9       0.0531993       0.0531994     8.89361e-07
              10       0.0531968       0.0531991     8.37017e-07
              11       0.0532045       0.0531996      8.9314e-07
              12       0.0532024       0.0531998     8.47445e-07
              13       0.0531973       0.0531996     8.04498e-07
              14       0.0531973       0.0531995     7.64292e-07
              15        0.053198       0.0531994     7.19434e-07
              16       0.0532025       0.0531996     7.01007e-07
              17       0.0532021       0.0531997     6.74957e-07
              18       0.0531954       0.0531995     6.78942e-07
              19       0.0531999       0.0531995     6.43581e-07
              20       0.0531953       0.0531993     6.45282e-07
              21       0.0531964       0.0531992     6.29326e-07
              22       0.0532023       0.0531993     6.16944e-07
              23       0.0532009       0.0531994     5.94002e-07
              24       0.0532028       0.0531995     5.85682e-07
              25       0.0532066       0.0531998     6.26602e-07
              26       0.0532004       0.0531998     6.02928e-07
              27       0.0532029       0.0531999     5.91349e-07
              28        0.053193       0.0531997     6.20114e-07
              29       0.0532031       0.0531998     6.09972e-07
              30       0.0532006       0.0531998      5.9028e-07
              31       0.0532027       0.0531999      5.7834e-07
              32       0.0531982       0.0531999     5.62682e-07
              33       0.0532013       0.0531999     5.47355e-07
              34        0.053199       0.0531999     5.31985e-07
              35       0.0531939       0.0531997        5.44e-07
              36       0.0532021       0.0531998      5.3283e-07
              37       0.0531871       0.0531994     6.18939e-07
              38       0.0531979       0.0531994     6.03961e-07
              39       0.0531944       0.0531993     6.01752e-07
              40       0.0531975       0.0531992     5.88403e-07
              41       0.0532004       0.0531993     5.74766e-07
              42       0.0532007       0.0531993     5.62167e-07
              43       0.0531999       0.0531993     5.49247e-07
              44       0.0531971       0.0531993     5.38957e-07
              45       0.0531997       0.0531993     5.27061e-07
              46       0.0532006       0.0531993      5.1637e-07
              47       0.0532024       0.0531994     5.09665e-07
              48       0.0531981       0.0531993     4.99672e-07
              49       0.0532011       0.0531994     4.90831e-07
              50       0.0532063       0.0531995     5.00204e-07
              51       0.0531958       0.0531994     4.95622e-07
              52       0.0532016       0.0531995     4.87823e-07
              53       0.0532044       0.0531996     4.87459e-07
              54       0.0531963       0.0531995     4.82208e-07
              55       0.0531987       0.0531995     4.73679e-07
              56       0.0532034       0.0531996     4.70454e-07
              57       0.0532077       0.0531997     4.83219e-07
              58       0.0531961       0.0531996     4.78869e-07
              59       0.0531951       0.0531996      4.7697e-07
              60       0.0531948       0.0531995     4.75576e-07
              61        0.053199       0.0531995     4.67849e-07
              62       0.0531959       0.0531994     4.63799e-07
              63       0.0531996       0.0531994      4.5645e-07
              64       0.0531953       0.0531994     4.53769e-07
              65       0.0531963       0.0531993     4.49293e-07
              66       0.0532051       0.0531994     4.50999e-07
              67       0.0531987       0.0531994     4.44392e-07
              68       0.0532034       0.0531995      4.4173e-07
              69       0.0532036       0.0531995     4.39338e-07
              70       0.0531996       0.0531995     4.33066e-07
              71       0.0532003       0.0531995     4.27114e-07
              72       0.0531995       0.0531995     4.21182e-07
              73       0.0531992       0.0531995     4.15434e-07
              74        0.053205       0.0531996     4.16338e-07
              75       0.0532017       0.0531996     4.11748e-07
              76       0.0531969       0.0531996     4.07853e-07
              77       0.0531917       0.0531995     4.15264e-07
              78       0.0532005       0.0531995     4.10134e-07
              79       0.0531966       0.0531995     4.06623e-07
              80       0.0531935       0.0531994     4.08207e-07
              81       0.0532031       0.0531994     4.05775e-07
              82       0.0532037       0.0531995     4.04106e-07
              83       0.0532029       0.0531995     4.01321e-07
              84       0.0532002       0.0531995     3.96625e-07
              85       0.0532027       0.0531996     3.93753e-07
              86       0.0531995       0.0531996     3.89175e-07
              87       0.0531977       0.0531995       3.853e-07
              88       0.0531983       0.0531995     3.81201e-07
              89       0.0531949       0.0531995     3.80489e-07
              90       0.0532024       0.0531995      3.7767e-07
              91       0.0531995       0.0531995      3.7352e-07
              92       0.0531931       0.0531994     3.75954e-07
              93       0.0531935       0.0531994     3.77375e-07
              94        0.053202       0.0531994       3.744e-07
              95       0.0531979       0.0531994     3.70785e-07
              96       0.0532012       0.0531994     3.67409e-07
              97       0.0532045       0.0531995     3.67348e-07
              98       0.0531986       0.0531995      3.6371e-07
              99       0.0532063       0.0531995     3.66582e-07
             100       0.0532027       0.0531996     3.64322e-07
