#   N_BLOCK:  ACCEPTANCE:
           1    0.480843
           2    0.474136
           3    0.469514
           4    0.466644
           5    0.465958
           6     0.46468
           7    0.464244
           8    0.463641
           9    0.462908
          10    0.462627
          11    0.462501
          12    0.462263
          13    0.461981
          14     0.46184
          15    0.461613
          16    0.461377
          17    0.461133
          18    0.461086
          19    0.461037
          20    0.460782
          21    0.460864
          22    0.460716
          23    0.460641
          24    0.460627
          25    0.460712
          26    0.460878
          27    0.460816
          28    0.460933
          29    0.460924
          30    0.460937
          31    0.461023
          32    0.460842
          33    0.460623
          34    0.460568
          35    0.460508
          36     0.46045
          37    0.460383
          38    0.460351
          39    0.460216
          40     0.46018
          41    0.460097
          42    0.460047
          43    0.459998
          44    0.459992
          45    0.459893
          46    0.459768
          47    0.459748
          48    0.459738
          49    0.459684
          50    0.459743
          51    0.459691
          52    0.459718
          53    0.459647
          54    0.459609
          55    0.459577
          56    0.459554
          57    0.459483
          58    0.459432
          59    0.459386
          60    0.459399
          61    0.459366
          62    0.459327
          63    0.459323
          64    0.459246
          65     0.45922
          66    0.459225
          67    0.459294
          68     0.45925
          69    0.459249
          70     0.45922
          71    0.459264
          72    0.459322
          73    0.459334
          74     0.45931
          75    0.459286
          76    0.459201
          77     0.45921
          78    0.459213
          79    0.459211
          80    0.459219
          81    0.459127
          82    0.459132
          83    0.459118
          84    0.459056
          85    0.459065
          86     0.45909
          87    0.459046
          88    0.459075
          89     0.45907
          90    0.459058
          91    0.458999
          92    0.458971
          93    0.458945
          94    0.458931
          95    0.458971
          96    0.459039
          97    0.459046
          98    0.459066
          99    0.459048
         100     0.45903
