# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1 0.000708561 3.53394e-06
           1  0.00526816 2.29963e-05
           1   0.0285813 0.000118397
           1    0.100891 0.000378898
           1    0.273459 0.000938076
           1    0.674381  0.00220249
           1      1.3989  0.00421739
           1     2.62526  0.00740055
           1     4.47024   0.0117572
           1     7.04844   0.0173406
           1     10.3254   0.0237075
           1     14.2729   0.0306508
           1     18.6464    0.037412
           1     23.4499   0.0441728
           1     28.4029   0.0503233
           1     33.3267   0.0556825
           1     38.0932    0.060216
           1     42.4738   0.0637306
           1     46.4115   0.0663737
           1     49.8569   0.0682699
           1      52.817   0.0695834
           1     55.2858   0.0704334
           1     57.3159     0.07096
           1     58.9372   0.0712564
           1     60.2039   0.0714054
           1      61.187   0.0714701
           1     61.9183   0.0714849
           1     62.4665   0.0714778
           1     62.8497   0.0714615
           1     63.1306   0.0714444
           1     63.3177   0.0714298
           1     63.4546   0.0714179
           1     63.5516   0.0714087
           1     63.6152   0.0714024
           1     63.6615   0.0713976
           1     63.6956    0.071394
           1     63.7306   0.0713903
           1     63.7667   0.0713865
           1     63.8152   0.0713815
           1     63.8725   0.0713757
           1     63.9487   0.0713681
           1     64.0562   0.0713581
           1      64.213   0.0713448
           1     64.4079   0.0713295
           1     64.6584   0.0713122
           1      64.982   0.0712938
           1     65.3919   0.0712764
           1     65.8773   0.0712618
           1     66.4672   0.0712544
           1     67.1536   0.0712566
           1     67.9021   0.0712662
           1     68.7526   0.0712911
           1     69.6675   0.0713269
           1      70.625   0.0713698
           1     71.6194   0.0714191
           1     72.6254   0.0714692
           1     73.5808   0.0715067
           1     74.5242   0.0715402
           1     75.3925   0.0715582
           1     76.1704   0.0715609
           1     76.8742   0.0715534
           1     77.4764   0.0715355
           1     77.9919   0.0715119
           1      78.398   0.0714853
           1     78.7387   0.0714587
           1     79.0095   0.0714342
           1      79.228   0.0714123
           1      79.417   0.0713923
           1     79.5895   0.0713735
           1     79.7622   0.0713546
           1     79.9663   0.0713334
           1     80.2314   0.0713085
           1     80.5757   0.0712807
           1     81.0452   0.0712528
           1     81.6884   0.0712336
           1     82.5216   0.0712354
           1     83.5864   0.0712791
           1      84.877   0.0713805
           1     86.4636    0.071583
           1     88.3307   0.0719061
           1      90.455    0.072359
           1     92.8285    0.072954
           1     95.3883   0.0736605
           1       98.11   0.0744663
           1     100.858   0.0752705
           1     103.616   0.0760617
           1     106.263   0.0767534
           1     108.779   0.0773411
           1     111.095   0.0777955
           1     113.166   0.0781107
           1     114.997   0.0783128
           1     116.572   0.0784175
           1     117.886   0.0784472
           1     118.962   0.0784287
           1     119.837   0.0783842
           1     120.547   0.0783285
           1      121.13   0.0782703
           1     121.604   0.0782143
           1     122.029   0.0781604
           1     122.434   0.0781074
           1     122.861   0.0780528
           1      123.32    0.077996
           1     123.859   0.0779358
           1     124.484   0.0778739
           1      125.19   0.0778125
           1     125.984   0.0777535
           1     126.857   0.0776986
           1     127.809   0.0776493
           1      128.82   0.0776051
           1     129.855    0.077562
           1     130.898   0.0775181
           1     131.916   0.0774695
           1     132.888   0.0774143
           1     133.772   0.0773501
           1     134.591   0.0772809
           1     135.327   0.0772078
           1      136.01   0.0771333
           1     136.616   0.0770589
           1     137.177   0.0769853
           1     137.728   0.0769116
           1     138.264    0.076838
           1     138.841   0.0767621
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2 0.000354281 3.53394e-06
           2  0.00415395 3.80482e-05
           2   0.0150694 0.000115141
           2   0.0497121 0.000363521
           2    0.137215 0.000943212
           2    0.338866  0.00221539
           2    0.707668  0.00427978
           2     1.32156  0.00744179
           2     2.25812   0.0118919
           2     3.55903   0.0175177
           2     5.22177   0.0240009
           2      7.1839   0.0308036
           2     9.42026    0.037821
           2     11.7914   0.0443568
           2       14.25   0.0503982
           2     16.7288   0.0558215
           2     19.0579     0.06014
           2     21.2106   0.0635366
           2     23.1617   0.0661383
           2     24.8703   0.0680086
           2     26.3303    0.069289
           2     27.5628   0.0701403
           2     28.6011   0.0706987
           2     29.4241   0.0710082
           2     30.0477   0.0711512
           2      30.527   0.0712107
           2     30.9018   0.0712285
           2     31.1761   0.0712215
           2      31.387   0.0712064
           2     31.5416   0.0711891
           2     31.6418   0.0711739
           2     31.7141   0.0711615
           2     31.7668   0.0711516
           2     31.8011   0.0711448
           2      31.829   0.0711391
           2     31.8511   0.0711345
           2     31.8724   0.0711301
           2     31.8912   0.0711261
           2     31.9159    0.071121
           2     31.9515   0.0711139
           2     31.9973   0.0711051
           2     32.0565   0.0710942
           2     32.1379   0.0710805
           2     32.2458   0.0710642
           2     32.3828   0.0710463
           2     32.5495   0.0710278
           2     32.7593   0.0710105
           2     33.0058   0.0709962
           2     33.2954   0.0709877
           2     33.6237   0.0709862
           2     34.0029   0.0709972
           2     34.4111   0.0710162
           2     34.8643   0.0710503
           2     35.3318   0.0710886
           2     35.8144   0.0711316
           2     36.3066   0.0711772
           2     36.7849   0.0712151
           2     37.2391   0.0712419
           2     37.6586   0.0712551
           2     38.0459   0.0712575
           2     38.3907   0.0712485
           2      38.685   0.0712296
           2      38.937   0.0712056
           2     39.1471    0.071179
           2     39.3269   0.0711521
           2     39.4723   0.0711267
           2     39.5904   0.0711037
           2     39.6895    0.071083
           2     39.7831    0.071063
           2     39.8797   0.0710424
           2     39.9903     0.07102
           2     40.1294   0.0709944
           2     40.3145    0.070966
           2     40.5632   0.0709388
           2      40.889     0.07092
           2     41.3091   0.0709227
           2      41.844   0.0709677
           2     42.5009   0.0710764
           2      43.294   0.0712793
           2     44.2174   0.0715933
           2     45.2794   0.0720476
           2     46.4621   0.0726394
           2     47.7281   0.0733291
           2     49.0488   0.0740787
           2     50.4122   0.0748715
           2     51.7714   0.0756376
           2     53.0951   0.0763338
           2     54.3433   0.0769129
           2     55.5035   0.0773724
           2     56.5437   0.0776944
           2      57.448   0.0778887
           2     58.2372   0.0779954
           2     58.8972   0.0780269
           2     59.4406     0.07801
           2     59.8801   0.0779658
           2     60.2354   0.0779099
           2     60.5246   0.0778515
           2     60.7726   0.0777943
           2     60.9904   0.0777396
           2     61.2015   0.0776853
           2     61.4198   0.0776298
           2     61.6631   0.0775715
           2     61.9381   0.0775106
           2     62.2498   0.0774484
           2     62.6073   0.0773868
           2      63.009    0.077328
           2     63.4503   0.0772735
           2     63.9235   0.0772234
           2     64.4237   0.0771775
           2     64.9369   0.0771331
           2     65.4471   0.0770862
           2     65.9559   0.0770373
           2     66.4425   0.0769819
           2     66.8812   0.0769169
           2     67.2863   0.0768469
           2     67.6656    0.076774
           2     68.0096    0.076699
           2     68.3251   0.0766237
           2     68.6181   0.0765487
           2     68.8976   0.0764742
           2     69.1779    0.076399
           2     69.4673   0.0763225
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3 9.69286e-05 1.45029e-06
           3 0.000144166 1.61015e-06
           3  0.00217065 3.03531e-05
           3  0.00904332 0.000107061
           3    0.031262 0.000348612
           3   0.0972102   0.0010443
           3    0.238408  0.00235011
           3    0.491899  0.00444666
           3    0.921391  0.00778422
           3     1.56257   0.0123005
           3      2.4206   0.0176948
           3      3.5068   0.0239024
           3     4.83222   0.0308894
           3      6.3136   0.0378066
           3     7.90735   0.0444449
           3     9.53905    0.050422
           3     11.1509   0.0555825
           3     12.6828   0.0598027
           3     14.1085   0.0631723
           3     15.4122   0.0658018
           3     16.5497   0.0676762
           3      17.532   0.0689892
           3     18.3474   0.0698298
           3     19.0278   0.0703687
           3     19.5712   0.0706725
           3     19.9953   0.0708251
           3     20.3372   0.0709012
           3      20.589     0.07092
           3     20.7738   0.0709136
           3     20.9134   0.0708983
           3     21.0097    0.070881
           3      21.081   0.0708653
           3     21.1331   0.0708521
           3     21.1691   0.0708421
           3     21.1934   0.0708348
           3     21.2131   0.0708288
           3     21.2285    0.070824
           3     21.2424   0.0708196
           3     21.2587   0.0708146
           3     21.2773   0.0708088
           3     21.3012   0.0708016
           3     21.3346   0.0707921
           3     21.3777   0.0707804
           3     21.4312   0.0707668
           3      21.503   0.0707505
           3     21.5921   0.0707325
           3     21.7052   0.0707139
           3     21.8479   0.0706969
           3     22.0154   0.0706831
           3     22.2115   0.0706753
           3     22.4377   0.0706763
           3     22.6911   0.0706875
           3     22.9689   0.0707094
           3     23.2612   0.0707378
           3     23.5706   0.0707748
           3     23.8892    0.070816
           3      24.205   0.0708538
           3      24.515   0.0708865
           3     24.8105   0.0709094
           3     25.0894   0.0709224
           3     25.3457   0.0709241
           3     25.5721   0.0709139
           3     25.7752   0.0708967
           3     25.9486   0.0708732
           3     26.0889   0.0708465
           3     26.2049   0.0708197
           3     26.3032   0.0707941
           3     26.3821   0.0707709
           3     26.4539    0.070749
           3     26.5184   0.0707284
           3     26.5855   0.0707072
           3     26.6605   0.0706844
           3     26.7568   0.0706582
           3     26.8877   0.0706296
           3     27.0562   0.0706024
           3     27.2792   0.0705851
           3     27.5642   0.0705901
           3      27.924   0.0706373
           3     28.3648    0.070749
           3      28.894   0.0709531
           3     29.5152   0.0712766
           3     30.2208   0.0717283
           3     30.9999    0.072304
           3     31.8347    0.072977
           3     32.7186   0.0737376
           3     33.6178   0.0745121
           3     34.5207   0.0752747
           3     35.3952   0.0759577
           3     36.2242   0.0765337
