# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0115332           0           0
   0.0230664           0           0
   0.0345996           0           0
   0.0461329           0           0
   0.0576661           0           0
   0.0691993           0           0
   0.0807325           0           0
   0.0922657           0           0
    0.103799           0           0
    0.115332           0           0
    0.126865           0           0
    0.138399           0           0
    0.149932           0           0
    0.161465           0           0
    0.172998           0           0
    0.184531           0           0
    0.196065           0           0
    0.207598           0           0
    0.219131           0           0
    0.230664           0           0
    0.242198           0           0
    0.253731           0           0
    0.265264           0           0
    0.276797           0           0
     0.28833           0           0
    0.299864           0           0
    0.311397           0           0
     0.32293           0           0
    0.334463           0           0
    0.345996           0           0
     0.35753           0           0
    0.369063           0           0
    0.380596           0           0
    0.392129           0           0
    0.403663           0           0
    0.415196           0           0
    0.426729           0           0
    0.438262           0           0
    0.449795           0           0
    0.461329           0           0
    0.472862           0           0
    0.484395           0           0
    0.495928           0           0
    0.507461           0           0
    0.518995           0           0
    0.530528           0           0
    0.542061           0           0
    0.553594           0           0
    0.565128           0           0
    0.576661           0           0
    0.588194           0           0
    0.599727           0           0
     0.61126           0           0
    0.622794           0           0
    0.634327           0           0
     0.64586           0           0
    0.657393           0           0
    0.668926           0           0
     0.68046           0           0
    0.691993           0           0
    0.703526           0           0
    0.715059           0           0
    0.726593           0           0
    0.738126           0           0
    0.749659           0           0
    0.761192           0           0
    0.772725           0           0
    0.784259           0           0
    0.795792           0           0
    0.807325           0           0
    0.818858           0           0
    0.830391           0           0
    0.841925           0           0
    0.853458           0           0
    0.864991           0           0
    0.876524 6.02904e-06 3.64196e-06
    0.888058 0.000130707 2.20287e-05
    0.899591  0.00107071 7.02199e-05
    0.911124  0.00539001 0.000166317
    0.922657   0.0225373 0.000235499
     0.93419   0.0712523 0.000430303
    0.945724    0.184424 0.000916454
    0.957257    0.400683  0.00158519
     0.96879    0.753803  0.00231545
    0.980323     1.25718  0.00276403
    0.991856     1.88988  0.00284767
     1.00339     2.59054  0.00259707
     1.01492     3.29793  0.00297878
     1.02646     3.94179  0.00276597
     1.03799     4.44554  0.00314522
     1.04952     4.78569  0.00386593
     1.06106     4.92496  0.00401681
     1.07259     4.87027  0.00411139
     1.08412     4.66238  0.00388968
     1.09566        4.32  0.00406681
     1.10719     3.89285  0.00374363
     1.11872     3.42041  0.00333659
     1.13026     2.92953  0.00268315
     1.14179     2.45968  0.00235317
     1.15332     2.01834  0.00225371
     1.16485     1.62094  0.00171115
     1.17639     1.27699  0.00194703
     1.18792    0.985043  0.00148181
     1.19945    0.750332  0.00154556
     1.21099    0.560899  0.00151652
     1.22252    0.411803  0.00125126
     1.23405    0.297125  0.00109953
     1.24559     0.21264  0.00103549
     1.25712    0.149712 0.000818169
     1.26865    0.105543 0.000688606
     1.28019   0.0750005 0.000586792
     1.29172   0.0551423 0.000465411
     1.30325   0.0446817 0.000454136
     1.31479   0.0416366 0.000455208
     1.32632   0.0448742 0.000462238
     1.33785   0.0541108 0.000469057
     1.34939   0.0697638 0.000497793
     1.36092   0.0919285 0.000594748
     1.37245      0.1216  0.00065038
     1.38399    0.161047 0.000628081
     1.39552    0.209744 0.000798107
     1.40705    0.266039 0.000823057
     1.41859    0.334894 0.000846153
     1.43012     0.41038 0.000755973
     1.44165    0.494827 0.000797441
     1.45319     0.58277 0.000785653
     1.46472    0.670416 0.000959035
     1.47625    0.758287  0.00114121
     1.48778     0.83389  0.00116746
     1.49932    0.896688   0.0012917
     1.51085    0.942382  0.00134992
     1.52238    0.968699  0.00171597
     1.53392    0.970662   0.0016137
     1.54545    0.949879  0.00153804
     1.55698    0.906896  0.00136189
     1.56852    0.845086  0.00126022
     1.58005    0.770574  0.00111036
     1.59158    0.684695  0.00103151
     1.60312     0.59592 0.000786859
     1.61465    0.507063 0.000765349
     1.62618    0.424057 0.000692188
     1.63772    0.349752 0.000758339
     1.64925    0.285665 0.000740785
     1.66078    0.236762 0.000822363
     1.67232    0.203975 0.000880289
     1.68385    0.189442 0.000934668
     1.69538    0.196734  0.00100863
     1.70692    0.227107   0.0011107
     1.71845    0.284907  0.00113513
     1.72998    0.372915  0.00126936
     1.74152    0.496422  0.00136007
     1.75305    0.654411  0.00143015
     1.76458    0.846905  0.00137443
     1.77612     1.07275  0.00133306
     1.78765     1.32258  0.00131684
     1.79918     1.59156  0.00123738
     1.81071     1.86094  0.00122671
     1.82225     2.11933  0.00160207
     1.83378     2.34619  0.00184977
     1.84531     2.53395  0.00198142
     1.85685      2.6588  0.00234967
     1.86838     2.71833  0.00228411
     1.87991     2.70734  0.00265312
     1.89145     2.62677  0.00235333
     1.90298     2.48618  0.00235793
     1.91451     2.29597  0.00199486
     1.92605     2.06522   0.0015503
     1.93758     1.81606  0.00129431
     1.94911      1.5624  0.00113095
     1.96065     1.31654  0.00106697
     1.97218     1.08753  0.00113174
     1.98371    0.885828  0.00106323
     1.99525    0.719725  0.00119103
     2.00678    0.588269  0.00130294
     2.01831    0.497925  0.00139249
     2.02985     0.44431  0.00129509
     2.04138    0.425513  0.00129023
     2.05291     0.44114  0.00121785
