#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.5639     -7.5639           0
           2    -7.55346    -7.55868  0.00369168
           3    -7.53696    -7.55144  0.00640207
           4    -7.54063    -7.54874  0.00534104
           5    -7.55181    -7.54935  0.00430811
           6      -7.543    -7.54829  0.00371802
           7    -7.54761     -7.5482  0.00318815
           8    -7.55715    -7.54931  0.00297966
           9    -7.54512    -7.54885  0.00268483
          10    -7.53432     -7.5474  0.00278176
          11    -7.54664    -7.54733  0.00252973
          12    -7.54876    -7.54745  0.00232173
          13    -7.53064    -7.54615   0.0024771
          14    -7.54191    -7.54585  0.00231864
          15    -7.53735    -7.54528  0.00223224
          16    -7.53973    -7.54494  0.00211949
          17    -7.54142    -7.54473  0.00200489
          18    -7.53788    -7.54435  0.00192928
          19    -7.55808    -7.54507  0.00195847
          20    -7.54605    -7.54512  0.00186116
          21    -7.55408    -7.54555  0.00182079
          22    -7.54433    -7.54549  0.00173887
          23    -7.57056    -7.54658  0.00197561
          24    -7.53076    -7.54592   0.0020003
          25     -7.5218    -7.54496  0.00214047
          26    -7.53208    -7.54446  0.00211471
          27    -7.56017    -7.54504  0.00211494
          28    -7.53798    -7.54479   0.0020544
          29    -7.55709    -7.54522  0.00202683
          30    -7.53465    -7.54486  0.00198961
          31    -7.55275    -7.54512  0.00194161
          32     -7.5497    -7.54526  0.00188621
          33    -7.55861    -7.54567   0.0018719
          34    -7.54909    -7.54577  0.00181955
          35    -7.55379      -7.546  0.00178194
          36     -7.5248    -7.54541   0.0018271
          37    -7.56585    -7.54596  0.00185939
          38    -7.53168    -7.54558  0.00184806
          39    -7.54399    -7.54554  0.00180112
          40    -7.52796     -7.5451  0.00180894
          41    -7.53722    -7.54491  0.00177501
          42    -7.53646    -7.54471  0.00174412
          43    -7.56083    -7.54508  0.00174338
          44    -7.52071    -7.54453   0.0017896
          45     -7.5412    -7.54446  0.00175136
          46     -7.5526    -7.54463  0.00172222
          47    -7.53802    -7.54449  0.00169131
          48     -7.5088    -7.54375  0.00181217
          49     -7.5572    -7.54402  0.00179584
          50    -7.54685    -7.54408  0.00176082
          51    -7.57223    -7.54463  0.00181071
          52    -7.57153    -7.54515  0.00184827
          53    -7.56214    -7.54547  0.00184098
          54     -7.5359    -7.54529  0.00181539
          55    -7.55175    -7.54541  0.00178618
          56    -7.54954    -7.54548  0.00175581
          57    -7.53286    -7.54526  0.00173891
          58    -7.53626    -7.54511  0.00171585
          59    -7.53551    -7.54494  0.00169446
          60    -7.53574    -7.54479  0.00167314
          61     -7.5528    -7.54492  0.00165085
          62    -7.54376     -7.5449  0.00162433
          63     -7.5434    -7.54488  0.00159873
          64    -7.53376    -7.54471  0.00158317
          65    -7.54033    -7.54464  0.00156024
          66     -7.5427    -7.54461  0.00153687
          67    -7.56401     -7.5449  0.00154098
          68    -7.56064    -7.54513   0.0015356
          69    -7.55342    -7.54525  0.00151804
          70    -7.56054    -7.54547  0.00151199
          71    -7.56255    -7.54571  0.00150971
          72    -7.53596    -7.54557  0.00149481
          73    -7.53894    -7.54548  0.00147709
          74    -7.53826    -7.54539  0.00146036
          75    -7.54284    -7.54535  0.00144128
          76    -7.55781    -7.54552  0.00143162
          77    -7.55434    -7.54563   0.0014176
          78    -7.54945    -7.54568  0.00140028
          79    -7.54173    -7.54563  0.00138344
          80    -7.54568    -7.54563  0.00136615
          81    -7.55708    -7.54577  0.00135658
          82    -7.54398    -7.54575  0.00134021
          83    -7.53983    -7.54568  0.00132596
          84    -7.58149     -7.5461    0.001377
          85    -7.54779    -7.54612  0.00136094
          86    -7.53751    -7.54602   0.0013488
          87    -7.54589    -7.54602   0.0013333
          88     -7.5197    -7.54572  0.00135127
          89    -7.54871    -7.54576  0.00133651
          90     -7.5486    -7.54579  0.00132203
          91    -7.54738    -7.54581  0.00130762
          92    -7.54865    -7.54584  0.00129377
          93    -7.54233     -7.5458  0.00128041
          94    -7.54387    -7.54578  0.00126695
          95    -7.54941    -7.54582  0.00125419
          96    -7.55638    -7.54593  0.00124594
          97    -7.52859    -7.54575  0.00124585
          98    -7.55711    -7.54586  0.00123852
          99    -7.54352    -7.54584  0.00122624
         100    -7.56939    -7.54608  0.00123638
