#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       -0.761908       -0.761908               0
               2       -0.761401       -0.761654      0.00017937
               3        -0.76059         -0.7613     0.000313237
               4       -0.760717       -0.761154     0.000266698
               5       -0.761303       -0.761184     0.000215018
               6       -0.760868       -0.761131     0.000185525
               7       -0.761087       -0.761125     0.000159127
               8       -0.761569        -0.76118     0.000148616
               9       -0.761006       -0.761161     0.000133355
              10       -0.760396       -0.761084     0.000140276
              11       -0.761054       -0.761082     0.000127551
              12       -0.761097       -0.761083     0.000116929
              13       -0.760263        -0.76102     0.000123768
              14       -0.760793       -0.761004     0.000115985
              15       -0.760549       -0.760973     0.000112147
              16       -0.760687       -0.760955     0.000106553
              17        -0.76083       -0.760948     0.000100541
              18       -0.760601       -0.760929     9.67886e-05
              19       -0.761597       -0.760964     9.78776e-05
              20       -0.761052       -0.760968      9.3082e-05
              21       -0.761389       -0.760988     9.07764e-05
              22       -0.760969       -0.760987     8.66546e-05
              23       -0.762249       -0.761042     9.87265e-05
              24        -0.76025       -0.761009     9.99848e-05
              25       -0.759747       -0.760959     0.000107991
              26       -0.760315       -0.760934     0.000106642
              27       -0.761706       -0.760963     0.000106455
              28        -0.76061        -0.76095     0.000103395
              29       -0.761613       -0.760973     0.000102325
              30       -0.760469       -0.760956     0.000100286
              31       -0.761372       -0.760969     9.79449e-05
              32       -0.761197       -0.760977     9.51414e-05
              33       -0.761603       -0.760996     9.41304e-05
              34       -0.761184       -0.761001     9.15253e-05
              35       -0.761386       -0.761012     8.95673e-05
              36        -0.75997       -0.760983     9.16343e-05
              37       -0.762004       -0.761011       9.322e-05
              38       -0.760283       -0.760992     9.27137e-05
              39        -0.76093        -0.76099       9.035e-05
              40       -0.760124       -0.760968      9.0649e-05
              41       -0.760551       -0.760958     8.90071e-05
              42       -0.760491       -0.760947     8.75815e-05
              43       -0.761737       -0.760965     8.74517e-05
              44       -0.759708       -0.760937     9.00094e-05
              45        -0.76071       -0.760932     8.81502e-05
              46       -0.761331        -0.76094     8.66591e-05
              47       -0.760579       -0.760933     8.51559e-05
              48       -0.759189       -0.760896     9.08024e-05
              49       -0.761571        -0.76091     8.99865e-05
              50       -0.761063       -0.760913     8.82389e-05
              51       -0.762388       -0.760942     9.11212e-05
              52       -0.762277       -0.760968     9.29155e-05
              53       -0.761869       -0.760985     9.27058e-05
              54       -0.760472       -0.760975     9.14739e-05
              55       -0.761296       -0.760981     8.99968e-05
              56       -0.761206       -0.760985     8.84794e-05
              57       -0.760325       -0.760974     8.76816e-05
              58       -0.760509       -0.760966     8.65344e-05
              59       -0.760532       -0.760958     8.53792e-05
              60       -0.760458        -0.76095     8.43626e-05
              61       -0.761364       -0.760957     8.32524e-05
              62       -0.760918       -0.760956     8.19119e-05
              63       -0.760863       -0.760955      8.0625e-05
              64       -0.760403       -0.760946     7.98242e-05
              65       -0.760725       -0.760943     7.86684e-05
              66       -0.760838       -0.760941     7.74923e-05
              67       -0.761967       -0.760956     7.78333e-05
              68       -0.761756       -0.760968     7.75727e-05
              69       -0.761361       -0.760974     7.66576e-05
              70        -0.76179       -0.760986     7.64443e-05
              71       -0.761833       -0.760997     7.62933e-05
              72       -0.760479        -0.76099     7.55723e-05
              73       -0.760603       -0.760985     7.47233e-05
              74       -0.760613        -0.76098     7.38826e-05
              75       -0.760852       -0.760978      7.2917e-05
              76       -0.761589       -0.760986     7.23989e-05
              77       -0.761333       -0.760991     7.15984e-05
              78        -0.76119       -0.760993      7.0726e-05
              79       -0.760774       -0.760991      6.9885e-05
              80       -0.760978        -0.76099     6.90116e-05
              81       -0.761536       -0.760997     6.84871e-05
              82        -0.76093       -0.760996     6.76569e-05
              83       -0.760713       -0.760993     6.69277e-05
              84       -0.762818       -0.761015      6.9568e-05
              85       -0.761148       -0.761016     6.87672e-05
              86       -0.760574       -0.761011     6.81594e-05
              87       -0.760971       -0.761011     6.73775e-05
              88       -0.759701       -0.760996     6.82346e-05
              89       -0.761179       -0.760998      6.7499e-05
              90       -0.761159          -0.761     6.67728e-05
              91       -0.761154       -0.761001     6.60606e-05
              92       -0.761089       -0.761002     6.53494e-05
              93       -0.760825          -0.761     6.46745e-05
              94       -0.760918       -0.760999     6.39923e-05
              95       -0.761202       -0.761002     6.33542e-05
              96       -0.761551       -0.761007     6.29521e-05
              97       -0.760115       -0.760998     6.29723e-05
              98       -0.761634       -0.761005      6.2663e-05
              99       -0.760952       -0.761004     6.20322e-05
             100       -0.762247       -0.761016      6.2644e-05
