#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.3639     -6.3639           0
           2    -6.35346    -6.35868  0.00369168
           3    -6.33696    -6.35144  0.00640207
           4    -6.34063    -6.34874  0.00534104
           5    -6.35181    -6.34935  0.00430811
           6      -6.343    -6.34829  0.00371802
           7    -6.34761     -6.3482  0.00318815
           8    -6.35715    -6.34931  0.00297966
           9    -6.34512    -6.34885  0.00268483
          10    -6.33432     -6.3474  0.00278176
          11    -6.34664    -6.34733  0.00252973
          12    -6.34876    -6.34745  0.00232173
          13    -6.33064    -6.34615   0.0024771
          14    -6.34191    -6.34585  0.00231864
          15    -6.33735    -6.34528  0.00223224
          16    -6.33973    -6.34494  0.00211949
          17    -6.34142    -6.34473  0.00200489
          18    -6.33788    -6.34435  0.00192928
          19    -6.35808    -6.34507  0.00195847
          20    -6.34605    -6.34512  0.00186116
          21    -6.35408    -6.34555  0.00182079
          22    -6.34433    -6.34549  0.00173887
          23    -6.37056    -6.34658  0.00197561
          24    -6.33076    -6.34592   0.0020003
          25     -6.3218    -6.34496  0.00214047
          26    -6.33208    -6.34446  0.00211471
          27    -6.36017    -6.34504  0.00211494
          28    -6.33798    -6.34479   0.0020544
          29    -6.35709    -6.34522  0.00202683
          30    -6.33465    -6.34486  0.00198961
          31    -6.35275    -6.34512  0.00194161
          32     -6.3497    -6.34526  0.00188621
          33    -6.35861    -6.34567   0.0018719
          34    -6.34909    -6.34577  0.00181955
          35    -6.35379      -6.346  0.00178194
          36     -6.3248    -6.34541   0.0018271
          37    -6.36585    -6.34596  0.00185939
          38    -6.33168    -6.34558  0.00184806
          39    -6.34399    -6.34554  0.00180112
          40    -6.32796     -6.3451  0.00180894
          41    -6.33722    -6.34491  0.00177501
          42    -6.33646    -6.34471  0.00174412
          43    -6.36083    -6.34508  0.00174338
          44    -6.32071    -6.34453   0.0017896
          45     -6.3412    -6.34446  0.00175136
          46     -6.3526    -6.34463  0.00172222
          47    -6.33802    -6.34449  0.00169131
          48     -6.3088    -6.34375  0.00181217
          49     -6.3572    -6.34402  0.00179584
          50    -6.34685    -6.34408  0.00176082
          51    -6.37223    -6.34463  0.00181071
          52    -6.37153    -6.34515  0.00184827
          53    -6.36214    -6.34547  0.00184098
          54     -6.3359    -6.34529  0.00181539
          55    -6.35175    -6.34541  0.00178618
          56    -6.34954    -6.34548  0.00175581
          57    -6.33286    -6.34526  0.00173891
          58    -6.33626    -6.34511  0.00171585
          59    -6.33551    -6.34494  0.00169446
          60    -6.33574    -6.34479  0.00167314
          61     -6.3528    -6.34492  0.00165085
          62    -6.34376     -6.3449  0.00162433
          63     -6.3434    -6.34488  0.00159873
          64    -6.33376    -6.34471  0.00158317
          65    -6.34033    -6.34464  0.00156024
          66     -6.3427    -6.34461  0.00153687
          67    -6.36401     -6.3449  0.00154098
          68    -6.36064    -6.34513   0.0015356
          69    -6.35342    -6.34525  0.00151804
          70    -6.36054    -6.34547  0.00151199
          71    -6.36255    -6.34571  0.00150971
          72    -6.33596    -6.34557  0.00149481
          73    -6.33894    -6.34548  0.00147709
          74    -6.33826    -6.34539  0.00146036
          75    -6.34284    -6.34535  0.00144128
          76    -6.35781    -6.34552  0.00143162
          77    -6.35434    -6.34563   0.0014176
          78    -6.34945    -6.34568  0.00140028
          79    -6.34173    -6.34563  0.00138344
          80    -6.34568    -6.34563  0.00136615
          81    -6.35708    -6.34577  0.00135658
          82    -6.34398    -6.34575  0.00134021
          83    -6.33983    -6.34568  0.00132596
          84    -6.38149     -6.3461    0.001377
          85    -6.34779    -6.34612  0.00136094
          86    -6.33751    -6.34602   0.0013488
          87    -6.34589    -6.34602   0.0013333
          88     -6.3197    -6.34572  0.00135127
          89    -6.34871    -6.34576  0.00133651
          90     -6.3486    -6.34579  0.00132203
          91    -6.34738    -6.34581  0.00130762
          92    -6.34865    -6.34584  0.00129377
          93    -6.34233     -6.3458  0.00128041
          94    -6.34387    -6.34578  0.00126695
          95    -6.34941    -6.34582  0.00125419
          96    -6.35638    -6.34593  0.00124594
          97    -6.32859    -6.34575  0.00124585
          98    -6.35711    -6.34586  0.00123852
          99    -6.34352    -6.34584  0.00122624
         100    -6.36939    -6.34608  0.00123638
