#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.44196     1.44196           0
           2     1.45823     1.45009  0.00575529
           3     1.51534     1.47184   0.0181669
           4     1.59819     1.50343   0.0305599
           5     1.64836     1.53242   0.0356356
           6     1.68132     1.55723   0.0373517
           7     1.70105     1.57778     0.03724
           8     1.71786     1.59529   0.0364698
           9     1.74803     1.61226   0.0361513
          10     1.79598     1.63063   0.0369104
          11     1.80034     1.64606   0.0366375
          12     1.76303     1.65581    0.034857
          13     1.74969     1.66303   0.0329152
          14     1.78839     1.67198   0.0317588
          15     1.78575     1.67957   0.0305338
          16      1.8068     1.68752   0.0296429
          17     1.80663     1.69453   0.0287153
          18     1.79091     1.69988   0.0276147
          19     1.78522     1.70437   0.0265241
          20     1.77762     1.70804   0.0254495
          21     1.77925     1.71143   0.0244625
          22     1.77662     1.71439   0.0235294
          23       1.754     1.71611   0.0225693
          24     1.76607     1.71819   0.0217247
          25     1.78015     1.72067   0.0209966
          26     1.79985     1.72372   0.0204087
          27     1.77966     1.72579   0.0197577
          28     1.79562     1.72828   0.0192088
          29     1.80814     1.73104   0.0187428
          30     1.76242     1.73208   0.0181472
          31     1.74347     1.73245   0.0175656
          32      1.7566     1.73321   0.0170328
          33     1.75165     1.73376   0.0165258
          34     1.75327     1.73434   0.0160498
          35     1.72262       1.734   0.0155947
          36     1.73396       1.734   0.0151615
          37     1.74822     1.73439   0.0147566
          38     1.77508     1.73546   0.0144071
          39     1.80013     1.73712   0.0141328
          40      1.7887     1.73841   0.0138382
          41     1.79593     1.73981   0.0135716
          42     1.79512     1.74113   0.0133122
          43     1.76476     1.74167    0.013014
          44     1.74545     1.74176   0.0127185
          45     1.76563     1.74229   0.0124469
          46     1.78047     1.74312    0.012204
          47     1.76813     1.74365   0.0119559
          48     1.77531     1.74431    0.011725
          49     1.78461     1.74513   0.0115145
          50     1.77862      1.7458   0.0113037
          51       1.769     1.74626   0.0110912
          52     1.77075     1.74673   0.0108879
          53     1.78864     1.74752   0.0107111
          54      1.8237     1.74893   0.0106053
          55     1.83943     1.75058   0.0105393
          56       1.846     1.75228    0.010488
          57     1.83582     1.75375   0.0104058
          58       1.821     1.75491   0.0102908
          59     1.82335     1.75607   0.0101816
          60     1.84599     1.75757   0.0101216
          61     1.87993     1.75957   0.0101525
          62     1.89228     1.76171   0.0102119
          63     1.88515     1.76367    0.010236
          64     1.86392     1.76524   0.0101953
          65     1.86408     1.76676   0.0101512
          66     1.84644     1.76797   0.0100689
          67     1.81059      1.7686  0.00993873
          68     1.79905     1.76905  0.00980265
          69     1.81027     1.76965  0.00967877
          70     1.84613     1.77074  0.00960197
          71     1.82616     1.77152  0.00949841
          72     1.81136     1.77207  0.00938259
          73     1.79582      1.7724   0.0092597
          74     1.79769     1.77274  0.00914087
          75     1.81512     1.77331  0.00903644
          76     1.80261     1.77369  0.00892577
          77     1.79269     1.77394  0.00881326
          78     1.79412      1.7742  0.00870406
          79     1.80408     1.77457   0.0086021
          80     1.80809     1.77499  0.00850477
          81     1.83008     1.77567  0.00842693
          82     1.83169     1.77636   0.0083518
          83     1.85694     1.77733  0.00830741
          84     1.88149     1.77857  0.00830054
          85     1.86837     1.77962  0.00826986
          86     1.82687     1.78017  0.00819192
          87     1.80244     1.78043  0.00810176
          88     1.80499     1.78071   0.0080145
          89     1.82581     1.78122  0.00794046
          90     1.83202     1.78178  0.00787227
          91     1.81716     1.78217  0.00779536
          92      1.8021     1.78239  0.00771363
          93     1.81197      1.7827  0.00763725
          94     1.83594     1.78327  0.00757697
          95     1.84082     1.78388  0.00752139
          96     1.85368      1.7846   0.0074781
          97     1.83906     1.78516  0.00742205
          98     1.83703     1.78569  0.00736517
          99     1.84204     1.78626  0.00731273
         100     1.85713     1.78697  0.00727386
         101     1.87654     1.78786  0.00725569
         102     1.87663     1.78873  0.00723657
         103     1.84243     1.78925  0.00718507
         104     1.77872     1.78915   0.0071167
         105     1.77905     1.78905  0.00704957
         106     1.77873     1.78896  0.00698374
         107     1.77654     1.78884  0.00691943
         108     1.74564     1.78844  0.00686691
         109     1.76775     1.78825  0.00680653
         110     1.80847     1.78843  0.00674714
         111     1.79888     1.78853  0.00668701
         112     1.80768      1.7887  0.00662949
         113     1.80477     1.78884  0.00657235
         114     1.79407     1.78889  0.00651485
         115     1.76232     1.78866   0.0064623
         116     1.76736     1.78847  0.00640919
         117     1.77362     1.78834  0.00635567
         118     1.75264     1.78804  0.00630901
         119     1.74326     1.78767   0.0062672
         120     1.76182     1.78745  0.00621868
         121     1.78909     1.78746   0.0061673
         122     1.78377     1.78743  0.00611682
         123     1.78277      1.7874  0.00606721
         124     1.77054     1.78726   0.0060198
         125     1.76941     1.78712  0.00597334
         126     1.75622     1.78687  0.00593096
         127      1.7436     1.78653  0.00589404
         128     1.74298     1.78619   0.0058578
         129      1.7536     1.78594  0.00581784
         130     1.74474     1.78562  0.00578171
         131      1.7408     1.78528  0.00574769
         132     1.73986     1.78494  0.00571444
         133     1.73582     1.78457   0.0056834
         134     1.77807     1.78452  0.00564119
         135     1.80147     1.78464   0.0056008
         136     1.77568     1.78458  0.00556001
         137     1.74614      1.7843   0.0055265
         138     1.72893      1.7839    0.005501
         139      1.7287      1.7835  0.00547574
         140     1.73223     1.78313  0.00544885
         141     1.75627     1.78294  0.00541354
         142      1.7571     1.78276  0.00537847
         143     1.71984     1.78232  0.00535883
         144     1.72472     1.78192  0.00533652
         145     1.75157     1.78171  0.00530382
         146     1.74246     1.78144   0.0052743
         147     1.70821     1.78094   0.0052619
         148      1.7174     1.78051  0.00524383
         149     1.73429      1.7802  0.00521781
         150      1.7712     1.78014  0.00518337
         151     1.77414      1.7801  0.00514919
         152     1.76258     1.77999  0.00511661
         153     1.74037     1.77973  0.00508971
         154     1.73574     1.77944  0.00506467
         155     1.76125     1.77933  0.00503336
         156     1.76932     1.77926   0.0050015
         157     1.75665     1.77912  0.00497172
         158      1.7635     1.77902  0.00494124
         159     1.72703     1.77869  0.00492096
         160     1.70563     1.77824  0.00491135
         161     1.71775     1.77786  0.00489519
         162     1.73353     1.77759  0.00487262
         163     1.72331     1.77725  0.00485409
         164     1.72768     1.77695   0.0048339
         165     1.76631     1.77689  0.00480503
         166     1.78163     1.77692  0.00477617
         167     1.77764     1.77692  0.00474757
         168     1.73503     1.77667  0.00472585
         169     1.70654     1.77626  0.00471608
         170     1.70431     1.77583  0.00470729
         171     1.72786     1.77555  0.00468811
         172     1.76943     1.77552  0.00466099
         173     1.80074     1.77566  0.00463633
         174     1.79037     1.77575  0.00461045
         175      1.8178     1.77599  0.00459037
         176     1.82429     1.77626  0.00457248
         177     1.80935     1.77645  0.00455047
         178     1.77987     1.77647  0.00452494
         179     1.76068     1.77638  0.00450052
         180     1.78538     1.77643   0.0044758
         181     1.79309     1.77652  0.00445202
         182     1.81056     1.77671  0.00443148
         183     1.81012     1.77689  0.00441103
         184     1.77609     1.77689  0.00438705
         185     1.74689     1.77672  0.00436634
         186     1.74866     1.77657  0.00434547
         187     1.74448      1.7764  0.00432562
         188      1.7321     1.77617  0.00430902
         189     1.74523       1.776  0.00428933
         190     1.76176     1.77593  0.00426741
         191      1.7771     1.77593  0.00424507
