#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0490352   0.0490352           0
           2   0.0495781   0.0493066 0.000191958
           3   0.0515245   0.0500459  0.00061704
           4   0.0543195   0.0511143  0.00103453
           5   0.0558739   0.0520662  0.00118738
           6   0.0569832   0.0528857  0.00124045
           7   0.0577431   0.0535796  0.00124227
           8   0.0581441   0.0541502  0.00121094
           9   0.0592819   0.0547204  0.00120317
          10   0.0606471   0.0553131  0.00122012
          11   0.0607033   0.0558031  0.00120359
          12   0.0594545   0.0561074   0.0011411
          13   0.0591102   0.0563384  0.00107645
          14    0.059945    0.056596  0.00102993
          15   0.0601919   0.0568357 0.000988772
          16   0.0607658   0.0570813 0.000956998
          17   0.0611463   0.0573204 0.000930097
          18   0.0603196   0.0574871 0.000893224
          19    0.059873   0.0576126 0.000854994
          20    0.060698   0.0577669 0.000826045
          21   0.0608247   0.0579125  0.00079944
          22   0.0602098   0.0580169 0.000769892
          23   0.0596289    0.058087 0.000739601
          24   0.0604861    0.058187 0.000715507
          25   0.0606655   0.0582861 0.000693722
          26   0.0617061   0.0584177 0.000679396
          27   0.0607998   0.0585059 0.000659937
          28   0.0605632   0.0585794 0.000640445
          29   0.0613533    0.058675 0.000625463
          30   0.0613584   0.0587645 0.000610977
          31   0.0616487   0.0588575  0.00059831
          32   0.0624784   0.0589707 0.000590215
          33   0.0630972   0.0590957 0.000585427
          34   0.0635794   0.0592276 0.000582872
          35   0.0625312    0.059322  0.00057381
          36   0.0613099   0.0593772 0.000560522
          37    0.061608   0.0594375 0.000548606
          38   0.0610379   0.0594796 0.000535783
          39   0.0611483   0.0595224  0.00052375
          40   0.0620376   0.0595853 0.000514418
          41   0.0616847   0.0596365 0.000504413
          42    0.062594   0.0597069 0.000497294
          43   0.0634916   0.0597949 0.000493456
          44    0.063001   0.0598678 0.000487592
          45   0.0622719   0.0599212 0.000479674
          46   0.0623801   0.0599747 0.000472216
          47   0.0621529    0.060021 0.000464437
          48   0.0617792   0.0600576 0.000456204
          49   0.0618505   0.0600942 0.000448358
          50    0.062758   0.0601475 0.000442545
          51   0.0618606   0.0601811 0.000435141
          52   0.0607247   0.0601915 0.000426898
          53   0.0595263    0.060179 0.000419028
          54   0.0600553   0.0601767 0.000411274
          55    0.060223   0.0601775 0.000403797
          56   0.0595579   0.0601665 0.000396738
          57   0.0605138   0.0601726 0.000389825
          58   0.0608717   0.0601846  0.00038329
          59    0.060642   0.0601924 0.000376872
          60   0.0611638   0.0602086 0.000370938
          61    0.061491   0.0602296 0.000365453
          62   0.0608127    0.060239 0.000359679
          63   0.0604455   0.0602423 0.000353985
          64   0.0615861   0.0602633 0.000349076
          65   0.0629559   0.0603047 0.000346155
          66   0.0640944   0.0603621  0.00034564
          67   0.0627465   0.0603977 0.000342308
          68   0.0620916   0.0604226 0.000338179
          69   0.0632018   0.0604629 0.000335668
          70   0.0645195   0.0605208 0.000335838
          71   0.0651021   0.0605854  0.00033725
          72   0.0635027   0.0606259 0.000334991
          73   0.0616954   0.0606405 0.000330722
          74   0.0610982   0.0606467 0.000326311
          75   0.0603174   0.0606423  0.00032199
          76   0.0618432   0.0606581 0.000318141
          77   0.0626547   0.0606841 0.000315064
          78    0.063055   0.0607145 0.000312487
          79   0.0630681   0.0607442 0.000309949
          80   0.0632715   0.0607758  0.00030768
          81   0.0637019    0.060812 0.000305995
          82   0.0633449   0.0608429 0.000303818
          83   0.0620647   0.0608576 0.000300514
          84   0.0606367   0.0608549 0.000296948
          85   0.0604026   0.0608496 0.000293502
          86   0.0608824     0.06085  0.00029009
          87   0.0618561   0.0608616 0.000286986
          88   0.0608445   0.0608614 0.000283725
          89   0.0605895   0.0608583 0.000280553
          90   0.0617487   0.0608682  0.00027761
          91   0.0626213   0.0608875 0.000275227
          92   0.0625693   0.0609058 0.000272842
          93   0.0627004   0.0609251  0.00027059
          94   0.0631702   0.0609489 0.000268763
          95   0.0629339   0.0609698 0.000266745
          96    0.061614   0.0609765 0.000264051
          97   0.0611626   0.0609785 0.000261336
          98   0.0615533   0.0609843 0.000258735
          99   0.0620409    0.060995 0.000256342
         100   0.0622842   0.0610079 0.000254102
         101   0.0626127   0.0610238 0.000252083
         102    0.062455   0.0610378 0.000250001
         103   0.0629447   0.0610563 0.000248259
         104   0.0627142   0.0610723 0.000246383
         105   0.0629648   0.0610903 0.000244695
         106   0.0620941   0.0610998  0.00024257
         107   0.0614047   0.0611026 0.000240319
         108    0.061496   0.0611063 0.000238122
