#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0341519  -0.0341519           0
           2  -0.0524619  -0.0433069  0.00647357
           3   -0.114319  -0.0669776   0.0198031
           4   -0.197379  -0.0995779    0.031901
           5   -0.241374   -0.127937    0.035982
           6   -0.277117     -0.1528   0.0376066
           7   -0.298334   -0.173591   0.0375438
           8   -0.310015   -0.190644    0.036519
           9     -0.3406   -0.207306   0.0360625
          10   -0.383804   -0.224956   0.0365209
          11   -0.376434   -0.238726   0.0357028
          12   -0.361818   -0.248984   0.0341693
          13   -0.360349   -0.257551   0.0325971
          14   -0.338946   -0.263364   0.0307828
          15   -0.343198   -0.268687   0.0291871
          16   -0.346917   -0.273576   0.0277694
          17   -0.386891   -0.280242    0.026924
          18   -0.399609   -0.286873   0.0262322
          19   -0.359839   -0.290714   0.0251311
          20   -0.319648    -0.29216   0.0239162
          21   -0.344299   -0.294643   0.0229058
          22   -0.368952   -0.298021   0.0221123
          23    -0.38422   -0.301769   0.0214661
          24   -0.336026   -0.303196   0.0206191
          25   -0.313516   -0.303609   0.0197985
          26   -0.333893   -0.304774   0.0190712
          27   -0.321961    -0.30541   0.0183755
          28   -0.328868   -0.306248   0.0177383
          29   -0.350307   -0.307767   0.0171916
          30   -0.354715   -0.309332   0.0166896
          31   -0.391417    -0.31198     0.01636
          32   -0.410623   -0.315063   0.0161365
          33   -0.419426   -0.318225   0.0159544
          34    -0.43575   -0.321682   0.0158552
          35   -0.410692   -0.324225   0.0156048
          36    -0.39895   -0.326301   0.0153088
          37   -0.383874   -0.327857   0.0149739
          38   -0.375269   -0.329104   0.0146317
          39   -0.374674   -0.330273   0.0143031
          40   -0.354052   -0.330867   0.0139579
          41   -0.356149   -0.331484   0.0136311
          42   -0.419939    -0.33359   0.0134683
          43   -0.449721   -0.336291   0.0134231
          44   -0.423795   -0.338279   0.0132645
          45    -0.40172   -0.339689   0.0130445
          46   -0.415513   -0.341338   0.0128646
          47   -0.396674   -0.342515   0.0126447
          48   -0.397768   -0.343666   0.0124335
          49   -0.406345   -0.344945   0.0122454
          50   -0.405339   -0.346153   0.0120599
          51   -0.396999    -0.34715   0.0118646
          52   -0.405511   -0.348272   0.0116894
          53   -0.414179   -0.349516   0.0115348
          54   -0.375691   -0.350001   0.0113314
          55    -0.36584   -0.350289    0.011129
          56   -0.375998   -0.350748   0.0109397
          57   -0.396546   -0.351551   0.0107773
          58   -0.387297   -0.352167   0.0106091
          59   -0.350287   -0.352136   0.0104293
          60   -0.339747   -0.351929   0.0102575
          61   -0.360782   -0.352074   0.0100904
          62   -0.361541   -0.352227  0.00992879
          63   -0.387593   -0.352788  0.00978705
          64   -0.401465   -0.353549  0.00966363
          65   -0.393245    -0.35416  0.00953424
          66   -0.392519   -0.354741  0.00940748
          67   -0.374995   -0.355043  0.00927192
          68   -0.347894   -0.354938  0.00913617
          69   -0.312588   -0.354324  0.00902435
          70   -0.300208   -0.353551  0.00892848
          71   -0.333052   -0.353262   0.0088074
          72   -0.350804   -0.353228  0.00868514
          73   -0.368847   -0.353442   0.0085688
          74   -0.380093   -0.353802  0.00846057
          75   -0.378255   -0.354128  0.00835404
          76   -0.351705   -0.354097  0.00824418
          77   -0.307822   -0.353496  0.00815899
          78   -0.320476   -0.353072  0.00806536
          79    -0.31799   -0.352628  0.00797548
          80   -0.301876   -0.351994  0.00790098
          81    -0.31667   -0.351558  0.00781547
          82   -0.310881   -0.351062  0.00773588
          83     -0.3114   -0.350584  0.00765742
          84   -0.339658   -0.350454  0.00756737
          85   -0.386047   -0.350872  0.00748992
          86   -0.442008   -0.351932  0.00747742
          87   -0.440398   -0.352949  0.00746029
          88   -0.404017   -0.353529  0.00739805
          89   -0.370858   -0.353724  0.00731749
          90   -0.361912   -0.353815  0.00723675
          91   -0.381988   -0.354125  0.00716384
          92    -0.38719   -0.354484  0.00709498
          93   -0.361178   -0.354556  0.00701906
          94   -0.364012   -0.354657  0.00694511
          95   -0.375521   -0.354876  0.00687547
          96   -0.394984   -0.355294  0.00681654
          97   -0.384086   -0.355591  0.00675272
          98   -0.364472   -0.355681  0.00668442
          99   -0.342276   -0.355546  0.00661828
         100   -0.306235   -0.355053  0.00657044
         101   -0.320926   -0.354715  0.00651407
         102    -0.37046   -0.354869  0.00645203
         103   -0.401628   -0.355323  0.00640534
         104   -0.436286   -0.356102  0.00639088
         105   -0.436065   -0.356863  0.00637523
         106   -0.445656   -0.357701  0.00636988
         107   -0.453416   -0.358596  0.00637285
         108   -0.445561   -0.359401  0.00636451
         109   -0.443951   -0.360176  0.00635322
