#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.49794     1.49794           0
           2     1.49737     1.49765 0.000201427
           3     1.49711     1.49747 0.000199427
           4     1.49711     1.49738 0.000168782
           5     1.49724     1.49735 0.000137342
           6     1.49723     1.49733 0.000115993
           7     1.49718     1.49731 0.000101531
           8     1.49718     1.49729  9.0222e-05
           9     1.49721     1.49728  8.0724e-05
          10      1.4971     1.49727 7.46437e-05
          11     1.49723     1.49726 6.79107e-05
          12     1.49719     1.49726 6.25163e-05
          13     1.49709     1.49724 5.89682e-05
          14     1.49726     1.49725 5.47738e-05
          15     1.49699     1.49723  5.3625e-05
          16     1.49705     1.49722 5.13995e-05
          17     1.49699      1.4972 5.00327e-05
          18     1.49705      1.4972 4.80134e-05
          19     1.49723      1.4972 4.55239e-05
          20     1.49711     1.49719 4.34672e-05
          21     1.49719     1.49719 4.13973e-05
          22     1.49726      1.4972 3.96151e-05
          23     1.49714     1.49719 3.79687e-05
          24     1.49721     1.49719 3.63966e-05
          25     1.49721     1.49719  3.4944e-05
          26     1.49712     1.49719 3.37198e-05
          27     1.49714     1.49719 3.25364e-05
          28     1.49707     1.49719 3.16725e-05
          29     1.49708     1.49718 3.07908e-05
          30     1.49707     1.49718 2.99894e-05
          31     1.49717     1.49718 2.90233e-05
          32     1.49698     1.49717 2.87629e-05
          33     1.49706     1.49717 2.80728e-05
          34     1.49708     1.49717  2.7362e-05
          35     1.49708     1.49716 2.66997e-05
          36     1.49705     1.49716 2.61395e-05
          37     1.49697     1.49716 2.59149e-05
          38     1.49714     1.49715 2.52342e-05
          39     1.49704     1.49715 2.47566e-05
          40     1.49708     1.49715 2.42077e-05
          41     1.49709     1.49715 2.36613e-05
          42     1.49687     1.49714 2.40306e-05
          43     1.49715     1.49714 2.34737e-05
          44     1.49729     1.49715  2.3175e-05
          45     1.49706     1.49714 2.27294e-05
          46     1.49709     1.49714 2.22691e-05
          47     1.49704     1.49714 2.19009e-05
          48     1.49705     1.49714 2.15243e-05
          49     1.49702     1.49714 2.12173e-05
          50      1.4971     1.49714 2.08059e-05
          51     1.49705     1.49713 2.04644e-05
          52     1.49702     1.49713 2.01931e-05
          53     1.49706     1.49713 1.98516e-05
          54     1.49704     1.49713 1.95518e-05
          55     1.49709     1.49713 1.92092e-05
          56     1.49712     1.49713  1.8867e-05
          57     1.49703     1.49713 1.86214e-05
          58     1.49714     1.49713 1.83029e-05
          59     1.49719     1.49713 1.80207e-05
          60     1.49713     1.49713 1.77207e-05
          61     1.49713     1.49713 1.74305e-05
          62     1.49711     1.49713 1.71526e-05
          63      1.4971     1.49713 1.68845e-05
          64     1.49722     1.49713 1.66778e-05
          65     1.49709     1.49713 1.64302e-05
          66     1.49713     1.49713 1.61813e-05
          67     1.49715     1.49713  1.5942e-05
          68     1.49712     1.49713 1.57076e-05
          69     1.49724     1.49713 1.55666e-05
          70     1.49708     1.49713 1.53571e-05
          71     1.49707     1.49713 1.51662e-05
          72     1.49714     1.49713 1.49559e-05
          73     1.49708     1.49713 1.47653e-05
          74     1.49711     1.49713 1.45678e-05
          75     1.49726     1.49713 1.44759e-05
          76     1.49717     1.49713 1.42936e-05
          77      1.4972     1.49713 1.41347e-05
          78     1.49708     1.49713 1.39696e-05
          79     1.49715     1.49713 1.37956e-05
          80     1.49721     1.49713 1.36563e-05
          81     1.49712     1.49713 1.34889e-05
          82     1.49708     1.49713 1.33398e-05
          83     1.49713     1.49713 1.31791e-05
          84     1.49718     1.49713 1.30345e-05
          85     1.49698     1.49713  1.2994e-05
          86     1.49701     1.49713 1.29212e-05
          87     1.49717     1.49713 1.27812e-05
          88     1.49721     1.49713 1.26706e-05
          89      1.4972     1.49713 1.25542e-05
          90     1.49718     1.49713 1.24282e-05
          91     1.49709     1.49713 1.22976e-05
          92     1.49718     1.49713 1.21749e-05
          93     1.49725     1.49713 1.21139e-05
          94     1.49717     1.49713 1.19933e-05
          95     1.49705     1.49713 1.18944e-05
          96     1.49721     1.49713 1.18013e-05
          97     1.49721     1.49713 1.17104e-05
          98     1.49711     1.49713 1.15941e-05
          99     1.49723     1.49713 1.15171e-05
         100     1.49709     1.49713 1.14117e-05
         101     1.49711     1.49713 1.13005e-05
         102     1.49702     1.49713 1.12469e-05
         103     1.49706     1.49713   1.116e-05
         104     1.49709     1.49713 1.10614e-05
         105     1.49706     1.49713 1.09793e-05
         106     1.49714     1.49713 1.08765e-05
         107      1.4972     1.49713 1.07967e-05
         108     1.49708     1.49713 1.07056e-05
         109     1.49701     1.49713 1.06667e-05
         110     1.49714     1.49713   1.057e-05
         111     1.49734     1.49713 1.06362e-05
         112     1.49703     1.49713 1.05815e-05
         113     1.49705     1.49713 1.05118e-05
         114     1.49706     1.49713 1.04369e-05
         115     1.49707     1.49713 1.03601e-05
         116     1.49722     1.49713 1.03026e-05
         117     1.49707     1.49713 1.02261e-05
         118     1.49709     1.49713 1.01456e-05
         119     1.49709     1.49713 1.00645e-05
         120     1.49709     1.49713 9.98512e-06
         121     1.49689     1.49713 1.00888e-05
         122     1.49692     1.49712 1.01414e-05
         123      1.4971     1.49712 1.00606e-05
         124      1.4971     1.49712 9.98116e-06
         125     1.49688     1.49712 1.00861e-05
         126     1.49705     1.49712 1.00218e-05
         127     1.49699     1.49712 9.99666e-06
         128     1.49699     1.49712 9.97163e-06
         129     1.49715     1.49712 9.89711e-06
         130     1.49708     1.49712 9.82568e-06
         131     1.49711     1.49712 9.75102e-06
         132      1.4972     1.49712 9.69484e-06
         133     1.49711     1.49712 9.62203e-06
         134     1.49718     1.49712 9.55935e-06
         135     1.49711     1.49712 9.48903e-06
         136     1.49727     1.49712 9.48123e-06
         137     1.49717     1.49712 9.41877e-06
         138     1.49712     1.49712 9.35059e-06
         139     1.49714     1.49712 9.28405e-06
         140     1.49716     1.49712 9.22196e-06
         141     1.49714     1.49712 9.15741e-06
         142     1.49709     1.49712 9.09518e-06
         143     1.49718     1.49712 9.03962e-06
         144     1.49715     1.49712 8.97862e-06
         145     1.49719     1.49712 8.92873e-06
         146     1.49713     1.49712 8.86773e-06
         147      1.4971     1.49712 8.80904e-06
         148      1.4971     1.49712 8.75101e-06
         149     1.49705     1.49712 8.70557e-06
         150     1.49704     1.49712 8.66419e-06
         151     1.49713     1.49712 8.60694e-06
         152     1.49698     1.49712 8.60054e-06
         153     1.49711     1.49712  8.5444e-06
         154     1.49732     1.49712 8.58339e-06
         155      1.4971     1.49712 8.52933e-06
         156     1.49731     1.49712 8.55731e-06
         157     1.49721     1.49712 8.51906e-06
         158     1.49707     1.49712 8.47248e-06
         159     1.49719     1.49712 8.42973e-06
         160      1.4973     1.49712 8.45057e-06
         161     1.49702     1.49712 8.42298e-06
         162     1.49698     1.49712 8.41674e-06
         163     1.49697     1.49712 8.41804e-06
         164     1.49693     1.49712  8.4487e-06
         165     1.49708     1.49712 8.40038e-06
         166     1.49688     1.49712 8.47113e-06
         167     1.49706     1.49712 8.42707e-06
         168     1.49704     1.49712 8.39154e-06
         169     1.49689     1.49712 8.45132e-06
         170     1.49696     1.49712 8.45202e-06
         171     1.49683     1.49711 8.56922e-06
         172     1.49699     1.49711 8.55128e-06
         173     1.49705     1.49711 8.50939e-06
         174     1.49702     1.49711 8.47579e-06
         175     1.49697     1.49711 8.46665e-06
         176     1.49712     1.49711  8.4186e-06
         177     1.49709     1.49711 8.37171e-06
         178     1.49711     1.49711 8.32467e-06
         179     1.49712     1.49711 8.27849e-06
         180     1.49721     1.49711  8.2487e-06
         181     1.49721     1.49711 8.22188e-06
         182     1.49714     1.49711 8.17857e-06
         183      1.4972     1.49711 8.14778e-06
         184      1.4972     1.49711 8.11768e-06
         185     1.49718     1.49711 8.08055e-06
         186     1.49709     1.49711 8.03784e-06
         187     1.49714     1.49711 7.99593e-06
         188     1.49706     1.49711 7.95787e-06
         189     1.49718     1.49711 7.92382e-06
         190     1.49699     1.49711  7.9086e-06
         191     1.49709     1.49711 7.86803e-06
         192     1.49708     1.49711 7.82908e-06
         193     1.49705     1.49711 7.79582e-06
         194     1.49702     1.49711 7.77073e-06
         195     1.49691     1.49711 7.80341e-06
         196     1.49692     1.49711 7.82353e-06
         197      1.4969     1.49711 7.85621e-06
         198     1.49725     1.49711  7.8486e-06
         199     1.49689     1.49711 7.88381e-06
         200     1.49707     1.49711 7.84626e-06
         201     1.49719     1.49711 7.81652e-06
         202     1.49711     1.49711 7.77783e-06
         203     1.49714     1.49711 7.74112e-06
         204     1.49713     1.49711  7.7041e-06
         205     1.49705     1.49711 7.67207e-06
         206     1.49701     1.49711 7.65107e-06
         207     1.49708     1.49711 7.61512e-06
         208     1.49726     1.49711 7.61186e-06
         209     1.49722     1.49711 7.59524e-06
         210     1.49719     1.49711 7.56944e-06
         211     1.49727     1.49711 7.57166e-06
         212     1.49733     1.49711 7.60893e-06
         213     1.49723     1.49711 7.59183e-06
         214     1.49718     1.49711 7.56314e-06
         215     1.49719     1.49711 7.53574e-06
         216     1.49712     1.49711 7.50093e-06
         217     1.49719     1.49711 7.47435e-06
         218     1.49711     1.49711 7.44011e-06
         219     1.49707     1.49711 7.40871e-06
         220     1.49704     1.49711 7.38308e-06
         221     1.49696     1.49711 7.38174e-06
         222     1.49715     1.49711 7.35085e-06
         223     1.49696     1.49711 7.35027e-06
         224     1.49699     1.49711 7.33759e-06
         225     1.49727     1.49711 7.33933e-06
         226      1.4971     1.49711 7.30716e-06
         227     1.49706     1.49711 7.27931e-06
         228     1.49705     1.49711 7.25273e-06
         229     1.49727     1.49711  7.2521e-06
         230     1.49726     1.49711 7.24865e-06
         231     1.49738     1.49711 7.30735e-06
         232     1.49719     1.49711 7.28229e-06
         233     1.49721     1.49711 7.26281e-06
         234     1.49729     1.49712 7.27061e-06
         235     1.49731     1.49712 7.28469e-06
         236     1.49712     1.49712 7.25384e-06
         237     1.49718     1.49712 7.22793e-06
         238     1.49698     1.49712 7.22137e-06
         239     1.49719     1.49712 7.19865e-06
         240     1.49714     1.49712 7.16922e-06
         241     1.49702     1.49712 7.14972e-06
         242     1.49704     1.49712 7.12628e-06
