#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.02537     1.02537           0
           2    0.888007    0.956687   0.0485641
           3    0.889229    0.934201   0.0372194
           4    0.897929    0.925133   0.0289982
           5    0.882964    0.916699   0.0243942
           6    0.885398    0.911482   0.0208789
           7     0.88002    0.906988   0.0183736
           8    0.882617    0.903941   0.0163275
           9    0.902716    0.903805   0.0145139
          10    0.875526    0.900977   0.0133351
          11    0.876036     0.89871   0.0123141
          12     0.89097    0.898065   0.0113048
          13    0.895301    0.897852   0.0104372
          14    0.881523    0.896686  0.00975664
          15    0.884028    0.895842  0.00914262
          16    0.910408    0.896752  0.00861641
          17    0.900215    0.896956  0.00811197
          18     0.94833     0.89981  0.00814795
          19    0.862678    0.897856  0.00795003
          20     0.86288    0.896107  0.00774248
          21    0.874017    0.895055  0.00744491
          22    0.918831    0.896136  0.00718451
          23    0.860675    0.894594  0.00703562
          24    0.891531    0.894467  0.00674363
          25    0.869533    0.893469  0.00654722
          26    0.865544    0.892395  0.00638289
          27    0.876708    0.891814  0.00617288
          28    0.898636    0.892058  0.00595722
          29    0.891142    0.892026  0.00575189
          30    0.900895    0.892322  0.00556775
          31     0.88257    0.892007  0.00539702
          32     0.87955    0.891618  0.00524239
          33    0.860621    0.890679  0.00516699
          34    0.885968     0.89054  0.00501688
          35    0.877289    0.890161   0.0048878
          36    0.884723     0.89001  0.00475436
          37    0.919164    0.890798  0.00469071
          38     0.90036     0.89105  0.00457401
          39    0.884075    0.890871  0.00446022
          40    0.877787    0.890544  0.00436069
          41    0.868448    0.890005  0.00428751
          42    0.857066    0.889221  0.00425655
          43    0.855547    0.888438  0.00422898
          44    0.873291    0.888093  0.00414686
          45    0.888697    0.888107  0.00405473
          46    0.878168    0.887891  0.00397233
          47    0.855347    0.887198   0.0039477
          48    0.910742    0.887689  0.00389581
          49    0.880029    0.887533  0.00381944
          50    0.899067    0.887763  0.00375001
          51    0.873893    0.887491  0.00368633
          52    0.900607    0.887744  0.00362406
          53    0.888553    0.887759  0.00355571
          54    0.875287    0.887528  0.00349736
          55     0.85729    0.886978  0.00347671
          56    0.861082    0.886516  0.00344524
          57    0.850574    0.885885  0.00344202
          58    0.828312    0.884892   0.0035229
          59    0.903108    0.885201  0.00347669
          60    0.887705    0.885243    0.003419
          61     0.89678    0.885432  0.00336818
          62    0.887905    0.885472  0.00331409
          63    0.856598    0.885014  0.00329302
          64    0.888177    0.885063  0.00324194
          65    0.897985    0.885262  0.00319815
          66     0.86558    0.884964  0.00316357
          67    0.851342    0.884462   0.0031559
          68    0.857045    0.884059  0.00313514
          69    0.878591    0.883979   0.0030907
          70    0.891367    0.884085  0.00304835
          71    0.876299    0.883975  0.00300739
          72    0.891534     0.88408  0.00296745
          73    0.895108    0.884231  0.00293064
          74    0.886008    0.884255  0.00289114
          75    0.865722    0.884008  0.00286313
          76    0.921637    0.884503  0.00286795
          77    0.896085    0.884654  0.00283465
          78     0.87376    0.884514  0.00280174
          79    0.912982    0.884874  0.00278935
          80    0.880241    0.884816  0.00275509
          81    0.863752    0.884556  0.00273332
          82     0.85615     0.88421  0.00272185
          83    0.899852    0.884398  0.00269558
          84    0.876854    0.884309  0.00266498
          85    0.833813    0.883715  0.00269903
          86    0.881187    0.883685  0.00266781
