#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.93961     1.93961           0
           2     1.65329     1.79645     0.10123
           3     1.65808     1.75033   0.0772828
           4     1.67666     1.73191   0.0601167
           5     1.65552     1.71663    0.049997
           6     1.67804      1.7102    0.042076
           7      1.6782     1.70563   0.0363126
           8     1.58537      1.6906   0.0347457
           9     1.63362     1.68426   0.0314564
          10     1.62132     1.67797   0.0289337
          11       1.668     1.67706   0.0263176
          12     1.62059     1.67236   0.0245416
          13     1.70788     1.67509   0.0228054
          14     1.61077     1.67049   0.0216343
          15     1.63735     1.66829   0.0203046
          16     1.63909     1.66646   0.0191174
          17     1.65683     1.66589   0.0180012
          18     1.67016     1.66613   0.0170027
          19     1.63646     1.66457   0.0161794
          20     1.60118      1.6614   0.0156778
          21     1.67511     1.66205   0.0149448
          22     1.55673     1.65727   0.0150127
          23     1.67073     1.65785   0.0143714
          24     1.53453     1.65271   0.0146624
          25     1.64458     1.65239   0.0140795
          26      1.6546     1.65247   0.0135383
          27     1.67786     1.65341   0.0130695
          28     1.63831     1.65287   0.0126138
          29     1.66862     1.65342   0.0121906
          30     1.62598      1.6525   0.0118185
          31     1.65784     1.65267   0.0114385
          32     1.62095     1.65168   0.0111239
          33     1.65585     1.65181   0.0107875
          34     1.66018     1.65206   0.0104731
          35     1.65363      1.6521   0.0101739
          36     1.68898     1.65312  0.00994275
          37      1.6313     1.65253  0.00969151
          38     1.61233     1.65148  0.00949406
          39     1.65806     1.65165  0.00925212
          40     1.62202      1.6509  0.00905041
          41     1.66512     1.65125  0.00883631
          42     1.68839     1.65214  0.00867004
          43     1.68962     1.65301  0.00851213
          44     1.61206     1.65208  0.00836939
          45     1.63341     1.65166  0.00819367
          46     1.60981     1.65075   0.0080659
          47     1.69559     1.65171  0.00795049
          48     1.55609     1.64971  0.00803055
          49     1.70252     1.65079  0.00793865
          50     1.59471     1.64967   0.0078587
          51     1.60699     1.64883  0.00774904
          52     1.68475     1.64952  0.00763074
          53     1.63669     1.64928  0.00749061
          54      1.5865     1.64812  0.00744157
          55     1.58352     1.64694  0.00739837
          56     1.61244     1.64633  0.00729187
          57      1.5923     1.64538  0.00722528
          58       1.633     1.64517  0.00710385
          59     1.68038     1.64576  0.00700848
          60     1.69641     1.64661  0.00694232
          61     1.66429      1.6469  0.00683456
          62     1.69242     1.64763  0.00676365
          63     1.63079     1.64736  0.00666157
          64     1.62609     1.64703  0.00656577
          65     1.60064     1.64632  0.00650343
          66     1.65668     1.64648  0.00640679
          67     1.60442     1.64585  0.00634185
          68      1.5982     1.64515  0.00628717
          69     1.63992     1.64507  0.00619651
          70     1.60299     1.64447  0.00613708
          71     1.53738     1.64296  0.00623324
          72     1.63236     1.64281  0.00614841
          73     1.64642     1.64286  0.00606438
          74      1.6282     1.64267  0.00598567
          75      1.5904     1.64197  0.00594629
          76     1.61391      1.6416  0.00587951
          77      1.6745     1.64203  0.00581866
          78     1.60797     1.64159  0.00576041
          79     1.62222     1.64135  0.00569271
          80     1.65706     1.64154  0.00562494
          81     1.62601     1.64135  0.00555876
          82     1.64856     1.64144  0.00549167
          83     1.59774     1.64091  0.00545069
          84     1.69984     1.64161  0.00543075
          85     1.65272     1.64174  0.00536843
          86     1.64517     1.64178  0.00530615
          87     1.61994     1.64153   0.0052511
          88     1.64952     1.64162  0.00519221
          89     1.67655     1.64202  0.00514868
          90     1.70041     1.64266   0.0051322
          91     1.65154     1.64276  0.00507673
          92     1.68294      1.6432  0.00504029
