#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.30696    -5.30696           0
           2    -5.01357    -5.16026    0.103728
           3    -5.02157    -5.11403   0.0787831
           4    -5.04529    -5.09685   0.0609332
           5    -5.04229    -5.08593    0.049714
           6    -5.03477    -5.07741   0.0421533
           7    -4.99813    -5.06608   0.0376219
           8     -4.9649    -5.05343   0.0349806
           9    -5.02041    -5.04976   0.0312858
          10     -5.0711     -5.0519   0.0282299
