#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.31401     1.31401           0
           2     1.12125     1.21763    0.068151
           3     1.12615     1.18714   0.0518086
           4     1.14127     1.17567   0.0401055
           5     1.14033      1.1686   0.0327015
           6     1.13552     1.16309   0.0277123
           7     1.11142     1.15571   0.0247168
           8      1.0893     1.14741   0.0229787
           9      1.1245     1.14486    0.020566
          10     1.15952     1.14633   0.0185616
