#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.19271    -7.19271           0
           2    -7.19623    -7.19447  0.00124653
           3    -7.20246    -7.19713  0.00232803
           4    -7.18743    -7.19471  0.00273215
           5    -7.20542    -7.19685  0.00290656
           6    -7.19978    -7.19734  0.00246284
           7    -7.19678    -7.19726  0.00211229
           8    -7.19709    -7.19724  0.00184836
           9    -7.19956     -7.1975  0.00166095
          10    -7.19663    -7.19741   0.0014971
          11    -7.19107    -7.19683  0.00146778
          12    -7.20109    -7.19719  0.00138757
          13    -7.19921    -7.19734  0.00128949
          14    -7.18768    -7.19665  0.00136957
          15    -7.19844    -7.19677  0.00128341
          16    -7.19758    -7.19682   0.0012042
          17    -7.19938    -7.19697  0.00114274
          18    -7.19205     -7.1967  0.00111152
          19    -7.19819    -7.19678  0.00105579
          20    -7.20579    -7.19723  0.00109487
          21    -7.18968    -7.19687  0.00110018
          22    -7.20141    -7.19708  0.00106935
          23    -7.20001     -7.1972  0.00103044
          24    -7.19646    -7.19717 0.000987972
          25    -7.18985    -7.19688 0.000990964
          26    -7.19903    -7.19696 0.000956295
          27    -7.19687    -7.19696 0.000920883
          28    -7.19795    -7.19699  0.00088868
          29    -7.19384    -7.19689 0.000864684
          30    -7.19087    -7.19668 0.000858822
          31    -7.19513    -7.19663 0.000832574
          32    -7.20217    -7.19681 0.000824314
          33    -7.19369    -7.19671 0.000804731
          34    -7.19273     -7.1966 0.000789558
          35    -7.20275    -7.19677 0.000786324
          36    -7.20527    -7.19701 0.000799134
          37    -7.18821    -7.19677 0.000812137
          38    -7.20134    -7.19689 0.000799619
          39    -7.19779    -7.19691 0.000779446
          40    -7.19637     -7.1969 0.000760079
          41    -7.19039    -7.19674 0.000757927
          42    -7.20929    -7.19704 0.000796638
          43    -7.20184    -7.19715 0.000785888
          44     -7.1868    -7.19692 0.000802475
          45    -7.20485    -7.19709  0.00080379
          46    -7.20008    -7.19716 0.000788942
          47    -7.18283    -7.19685 0.000828939
          48    -7.20381      -7.197 0.000824238
          49    -7.19878    -7.19703 0.000808217
          50    -7.18991    -7.19689 0.000804498
          51    -7.19431    -7.19684 0.000790314
          52    -7.19337    -7.19677 0.000777925
          53    -7.19819     -7.1968 0.000763707
          54    -7.19873    -7.19684 0.000750397
