#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.943526    0.943526           0
           2    0.974114     0.95882   0.0108145
           3    0.958934    0.958858  0.00720974
           4     0.97386    0.962609  0.00630783
           5    0.965527    0.963192   0.0050732
           6    0.967893    0.963976  0.00428774
           7    0.965084    0.964134  0.00367813
           8    0.969399    0.964792  0.00327672
           9    0.978803    0.966349  0.00326156
          10    0.964081    0.966122  0.00294328
          11    0.962245     0.96577  0.00269674
          12    0.969791    0.966105  0.00249274
          13    0.969248    0.966347  0.00231269
          14    0.955959    0.965605  0.00226339
          15    0.965308    0.965585  0.00211258
          16    0.970512    0.965893  0.00200287
          17    0.963273    0.965739  0.00189097
          18    0.967625    0.965843  0.00178882
          19    0.979636    0.966569  0.00183606
          20    0.963168    0.966399  0.00175212
          21    0.973637    0.966744  0.00170225
          22    0.954547     0.96619  0.00171278
          23    0.969775    0.966345  0.00164539
          24     0.97183    0.966574  0.00159262
          25    0.969826    0.966704  0.00153422
          26    0.965304     0.96665  0.00147616
          27    0.962988    0.966515   0.0014277
          28    0.971553    0.966694  0.00138801
          29    0.963355    0.966579  0.00134491
          30    0.974875    0.966856   0.0013282
          31    0.966915    0.966858  0.00128536
          32    0.956033    0.966519  0.00128893
          33    0.966832    0.966529  0.00124991
          34    0.964536     0.96647  0.00121452
          35    0.983605     0.96696  0.00127468
          36    0.958464    0.966724  0.00126093
          37    0.964591    0.966666  0.00122817
          38    0.970585    0.966769  0.00120017
          39    0.968632    0.966817  0.00117034
          40    0.964152    0.966751  0.00114298
          41    0.979261    0.967056  0.00115511
          42    0.967667     0.96707   0.0011277
          43    0.950619    0.966688  0.00116457
          44    0.969389    0.966749  0.00113972
          45    0.970042    0.966822  0.00111674
          46    0.948913    0.966433  0.00115834
          47    0.975038    0.966616  0.00114808
          48    0.955517    0.966385  0.00114721
          49    0.965533    0.966367  0.00112393
          50    0.974229    0.966525  0.00111239
          51     0.97719    0.966734  0.00111006
          52    0.935235    0.966128  0.00124305
          53    0.972166    0.966242  0.00122481
          54    0.973648    0.966379  0.00120978
          55    0.970955    0.966462  0.00119064
          56    0.961986    0.966382  0.00117206
          57    0.968253    0.966415  0.00115196
          58    0.953098    0.966186  0.00115475
          59    0.969544    0.966242  0.00113658
          60    0.984492    0.966547  0.00115762
          61    0.950385    0.966282  0.00116857
          62    0.959722    0.966176   0.0011545
          63    0.974478    0.966308  0.00114367
          64     0.97543     0.96645  0.00113464
          65    0.962206    0.966385  0.00111907
          66    0.963873    0.966347  0.00110276
          67     0.98105    0.966566  0.00110792
          68    0.942191    0.966208  0.00114815
          69    0.962752    0.966158   0.0011326
          70    0.981315    0.966374  0.00113693
          71    0.967684    0.966393  0.00112107
