#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.37456    -5.37456           0
           2    -5.37298    -5.37377 0.000556391
           3    -5.37403    -5.37386 0.000377679
           4    -5.37286    -5.37361 0.000355951
           5    -5.37222    -5.37333 0.000378029
           6    -5.37137      -5.373 0.000433534
           7    -5.37227     -5.3729 0.000384137
           8    -5.37189    -5.37277  0.00035613
           9    -5.37139    -5.37262 0.000348123
          10     -5.3748    -5.37284 0.000375416
