Generation;	Mean Loss;	Best Loss
0;35.7766;30.7091
10;22.2446;21.2259
20;17.7553;17.2328
30;15.7377;14.8786
40;14.4932;14.1111
50;14.0707;13.1146
60;12.2437;11.5075
70;11.7212;11.2399
80;8.31511;7.89264
90;8.14602;7.53927
100;8.2858;6.96478
110;8.12902;6.96478
120;8.28824;6.96478
130;7.94504;6.47125
140;7.63418;6.47125
150;7.26412;6.47125
160;7.94991;6.23672
170;7.42766;6.23672
180;7.54176;6.23672
190;7.37761;6.23672
200;6.97033;6.23672
210;7.31523;6.23672
220;7.53805;6.23672
230;6.99037;6.23672
240;7.00842;6.23672
250;7.25658;6.23672
260;7.21049;6.23672
270;7.51687;6.23672
280;7.63524;6.23672
290;7.41755;6.23672
300;7.05128;6.23672
310;7.54805;6.23672
320;7.29452;6.23672
330;7.09298;6.23672
340;7.30821;6.23672
350;7.09893;6.23672
360;7.46635;6.23672
370;7.85469;6.23672
380;8.11577;6.23672
390;7.0276;6.23672
400;7.34307;6.23672
410;7.33851;6.23672
420;7.25216;6.23672
430;7.40863;6.23672
440;7.11105;6.23672
450;7.77542;6.23672
460;7.87447;6.23672
470;7.32363;6.23672
480;7.00332;6.23672
490;7.80338;6.23672
