Generation;	Mean Loss;	Best Loss
0;29.2135;25.8202
10;19.6461;18.9859
20;15.7103;15.0196
30;14.8403;13.9149
40;14.0714;13.7776
50;14.9193;13.5749
60;12.9169;12.4255
70;13.2184;12.4255
80;12.9113;12.4013
90;12.3067;11.8342
100;12.5827;11.6866
110;12.4733;11.6232
120;12.3756;11.4734
130;11.6939;10.9887
140;12.0027;10.9341
150;11.5375;10.9134
160;11.0495;10.4539
170;11.1356;10.4539
180;10.7861;10.451
190;10.8644;10.451
200;11.0139;10.4346
210;11.5208;10.4346
220;11.2561;10.4109
230;11.0998;10.4109
240;10.9919;10.4109
250;10.7499;10.2509
260;10.8764;10.2509
270;10.8919;10.2509
280;10.9724;10.2509
290;10.7284;10.2509
300;11.3015;10.2509
310;10.913;10.2509
320;10.947;10.2509
330;10.7693;10.2509
340;10.7274;10.2509
350;11.0154;10.2509
360;10.7684;10.2509
370;11.1314;10.2509
380;10.9773;10.2509
390;11.1258;10.2509
400;11.1383;10.2509
410;11.2364;10.2509
420;10.9219;10.2509
430;10.8918;10.2509
440;10.9111;10.2509
450;11.0878;10.2509
460;11.0436;10.2509
470;10.7103;10.2509
480;10.6967;10.2509
490;10.8821;10.2509
