#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0630608   0.0630608           0
           2   0.0632505   0.0631556 6.70643e-05
           3   0.0623329   0.0628814 0.000228338
           4   0.0609689   0.0624033 0.000448072
           5   0.0615641   0.0622354 0.000388625
           6   0.0612777   0.0620758 0.000355123
           7   0.0613923   0.0619782 0.000317532
           8   0.0607478   0.0618244 0.000312878
           9   0.0609681   0.0617292  0.00029222
          10   0.0620509   0.0617614 0.000264763
          11   0.0613361   0.0617227 0.000243501
          12    0.060206   0.0615963 0.000253901
          13   0.0592069   0.0614125 0.000293453
          14   0.0588065   0.0612264 0.000326231
          15   0.0585591   0.0610486 0.000349601
          16   0.0579292   0.0608536 0.000378226
          17   0.0588082   0.0607333 0.000374626
          18   0.0603565   0.0607124 0.000354398
          19    0.060835   0.0607188 0.000335804
          20   0.0605749   0.0607116 0.000319091
          21    0.060622   0.0607073 0.000303925
          22   0.0593526   0.0606458 0.000296283
          23   0.0588974   0.0605698  0.00029299
          24   0.0590273   0.0605055 0.000287745
          25   0.0586762   0.0604323 0.000285387
          26   0.0577681   0.0603298 0.000292229
          27   0.0580201   0.0602443  0.00029366
          28   0.0589665   0.0601987 0.000286696
          29   0.0591852   0.0601637 0.000278932
          30   0.0596666   0.0601471 0.000270126
          31   0.0601377   0.0601468 0.000261412
          32   0.0604862   0.0601574 0.000253458
          33   0.0605791   0.0601702   0.0002461
          34   0.0602317    0.060172 0.000238868
          35   0.0610107    0.060196 0.000233242
          36   0.0614648   0.0602312 0.000229411
          37   0.0623502   0.0602885 0.000230248
          38   0.0625601   0.0603483 0.000231819
          39   0.0622187   0.0603962 0.000230782
          40    0.061689   0.0604286 0.000227264
          41   0.0609692   0.0604417 0.000222103
          42   0.0612096     0.06046 0.000217566
          43   0.0610054   0.0604727 0.000212876
          44   0.0611998   0.0604892 0.000208678
          45   0.0618432   0.0605193 0.000206199
          46   0.0629827   0.0605729 0.000208554
          47   0.0632607   0.0606301 0.000211812
          48   0.0628924   0.0606772 0.000212579
          49   0.0631229   0.0607271  0.00021402
          50   0.0635107   0.0607828 0.000216859
          51   0.0640558    0.060847   0.0002219
          52   0.0641452   0.0609104 0.000226517
          53   0.0642771   0.0609739 0.000230978
          54   0.0642164    0.061034 0.000234376
          55   0.0651438   0.0611087 0.000241733
          56   0.0640482   0.0611612 0.000243049
          57   0.0637285   0.0612062 0.000242922
          58   0.0623211   0.0612254 0.000239493
          59   0.0621891   0.0612418  0.00023599
          60    0.063047   0.0612719 0.000233967
          61   0.0642188   0.0613202 0.000235066
          62   0.0640015   0.0613634  0.00023522
          63   0.0623284   0.0613787 0.000231984
          64   0.0611919   0.0613758 0.000228378
          65   0.0602489   0.0613585 0.000225521
          66   0.0598071    0.061335 0.000223326
          67   0.0604321   0.0613215 0.000220399
          68   0.0603649   0.0613074 0.000217606
          69   0.0606422   0.0612978 0.000214666
          70   0.0604774   0.0612861 0.000211919
          71   0.0589912   0.0612537 0.000211385
          72   0.0594234   0.0612283 0.000209972
          73   0.0604848   0.0612181 0.000207342
          74   0.0600555   0.0612024 0.000205135
          75     0.06004   0.0611869 0.000202984
          76   0.0599777    0.061171 0.000200936
          77   0.0599207   0.0611548 0.000198982
          78   0.0597812   0.0611372 0.000197208
          79    0.059905   0.0611216 0.000195328
          80   0.0600437   0.0611081  0.00019335
          81   0.0596966   0.0610907 0.000191747
          82   0.0615754   0.0610966   0.0001895
          83   0.0631928   0.0611218 0.000188892
          84   0.0621552   0.0611341 0.000187043
          85   0.0621064   0.0611456 0.000185192
          86   0.0635466   0.0611735 0.000185131
          87   0.0622092   0.0611854 0.000183386
          88   0.0612669   0.0611863 0.000181304
          89   0.0609111   0.0611832 0.000179294
          90   0.0605832   0.0611766 0.000177425
          91   0.0602208   0.0611661 0.000175786
          92   0.0611853   0.0611663 0.000173876
          93   0.0620633   0.0611759 0.000172273
          94   0.0616022   0.0611805   0.0001705
          95   0.0600122   0.0611682 0.000169148
          96   0.0597356   0.0611532 0.000168043
          97   0.0610806   0.0611525 0.000166313
          98   0.0618949   0.0611601 0.000164788
          99   0.0609357   0.0611578 0.000163139
         100   0.0611369   0.0611576 0.000161508
         101   0.0616269   0.0611622 0.000159976
         102   0.0613477   0.0611641 0.000158418
         103   0.0613285   0.0611656 0.000156888
         104   0.0612399   0.0611664 0.000155381
         105   0.0615919   0.0611704 0.000153954
         106   0.0617787   0.0611762 0.000152608
         107   0.0613998   0.0611782 0.000151196
         108   0.0620081   0.0611859 0.000149991
         109   0.0625492   0.0611984 0.000149136
         110   0.0609202   0.0611959 0.000147802
         111   0.0599158   0.0611844 0.000146919
         112    0.059172   0.0611664 0.000146702
         113   0.0588112   0.0611456 0.000146877
         114   0.0598912   0.0611346    0.000146
         115   0.0601872   0.0611263 0.000144963
         116   0.0603322   0.0611195 0.000143875
         117   0.0606379   0.0611154 0.000142704
         118    0.061191    0.061116 0.000141496
         119   0.0622456   0.0611255 0.000140625
         120   0.0611596   0.0611258 0.000139453
         121   0.0605762   0.0611212 0.000138375
         122   0.0602862   0.0611144  0.00013741
         123   0.0600664   0.0611059 0.000136556
         124   0.0599669   0.0610967 0.000135764
         125   0.0598872    0.061087 0.000135022
         126   0.0598573   0.0610773 0.000134303
         127   0.0592765   0.0610631 0.000133991
         128    0.059522    0.061051 0.000133484
         129   0.0604987   0.0610468 0.000132518
         130   0.0598869   0.0610378 0.000131799
         131   0.0593914   0.0610253 0.000131391
         132   0.0582804   0.0610045 0.000132031
         133   0.0574985   0.0609781 0.000133644
         134   0.0582492   0.0609577 0.000134189
         135   0.0585396   0.0609398 0.000134385
         136   0.0592972   0.0609278 0.000133938
         137   0.0601794   0.0609223 0.000133072
         138   0.0603912   0.0609184 0.000132164
         139    0.060291   0.0609139  0.00013129
         140    0.059141   0.0609013 0.000130961
         141   0.0584194   0.0608837  0.00013121
         142   0.0593281   0.0608727 0.000130743
         143   0.0588799   0.0608588 0.000130569
         144   0.0588733    0.060845 0.000130388
         145   0.0598338    0.060838 0.000129675
         146   0.0599277   0.0608318 0.000128937
         147   0.0595384    0.060823  0.00012836
         148   0.0594198   0.0608135 0.000127842
         149   0.0593667   0.0608038 0.000127352
         150   0.0597985   0.0607971 0.000126679
         151   0.0593066   0.0607872 0.000126225
         152   0.0587237   0.0607736 0.000126122
         153   0.0595094   0.0607654 0.000125568
         154   0.0601855   0.0607616 0.000124809
         155    0.061215   0.0607645 0.000124038
         156   0.0610685   0.0607665 0.000123258
         157   0.0594601   0.0607582 0.000122754
         158   0.0592898   0.0607489 0.000122328
         159     0.05984   0.0607431 0.000121692
         160   0.0589632    0.060732 0.000121439
         161   0.0578058   0.0607138 0.000122037
         162   0.0581197   0.0606978  0.00012233
         163   0.0596173   0.0606912 0.000121759
         164   0.0603229    0.060689 0.000121037
         165   0.0592091     0.06068 0.000120636
         166   0.0585876   0.0606674 0.000120566
         167   0.0589993   0.0606574 0.000120257
         168   0.0608589   0.0606586 0.000119547
         169   0.0626338   0.0606703  0.00011941
         170   0.0623078   0.0606799 0.000119095
         171   0.0609381   0.0606814 0.000118408
         172   0.0602347   0.0606788 0.000117748
         173   0.0590061   0.0606692 0.000117464
         174    0.059048   0.0606598 0.000117158
         175   0.0594071   0.0606527 0.000116707
         176   0.0604637   0.0606516 0.000116049
         177    0.060698   0.0606519 0.000115393
         178   0.0607596   0.0606525 0.000114746
         179   0.0615163   0.0606573 0.000114207
         180   0.0607518   0.0606578 0.000113574
         181   0.0605035    0.060657 0.000112949
         182   0.0598656   0.0606526 0.000112412
         183   0.0594234   0.0606459 0.000111999
         184   0.0585482   0.0606345 0.000111969
         185    0.058234   0.0606215 0.000112113
         186   0.0589727   0.0606127  0.00011186
         187   0.0587497   0.0606027 0.000111705
         188   0.0579826   0.0605888 0.000111976
         189   0.0575186   0.0605725 0.000112556
         190   0.0580282   0.0605591 0.000112757
         191   0.0586352   0.0605491 0.000112616
         192     0.05833   0.0605375 0.000112621
         193   0.0571192   0.0605198 0.000113422
         194   0.0571603   0.0605025 0.000114151
         195   0.0578432   0.0604888 0.000114378
         196   0.0573454   0.0604728 0.000114913
         197   0.0573693   0.0604571 0.000115404
         198   0.0574639   0.0604419 0.000115807
         199   0.0583696   0.0604315 0.000115693
         200   0.0597076   0.0604279 0.000115171
         201   0.0594704   0.0604231 0.000114696
         202   0.0590129   0.0604162 0.000114341
         203   0.0592949   0.0604106 0.000113911
         204    0.058456   0.0604011 0.000113755
         205    0.058277   0.0603907 0.000113671
         206   0.0589781   0.0603838 0.000113326
         207   0.0598432   0.0603812 0.000112808
         208    0.061095   0.0603847 0.000112318
         209   0.0611605   0.0603884 0.000111842
         210   0.0597207   0.0603852 0.000111355
         211   0.0598999   0.0603829 0.000110851
         212    0.060688   0.0603843 0.000110337
         213    0.060813   0.0603863 0.000109837
         214   0.0608457   0.0603885 0.000109345
         215   0.0606994   0.0603899 0.000108846
         216   0.0605143   0.0603905 0.000108344
         217   0.0600728    0.060389 0.000107854
         218   0.0604926   0.0603895 0.000107361
         219   0.0613814    0.060394 0.000106966
         220   0.0616071   0.0603996 0.000106622
         221   0.0599159   0.0603974 0.000106162
         222   0.0590516   0.0603913 0.000105856
         223   0.0593247   0.0603865  0.00010549
         224   0.0588937   0.0603799 0.000105229
         225   0.0597123   0.0603769 0.000104803
         226    0.059789   0.0603743 0.000104372
         227   0.0596154   0.0603709 0.000103966
         228   0.0597901   0.0603684 0.000103541
         229   0.0588881   0.0603619  0.00010329
         230   0.0584946   0.0603538  0.00010316
         231   0.0593445   0.0603494 0.000102806
         232   0.0600283   0.0603481 0.000102372
         233   0.0595463   0.0603446  0.00010199
         234   0.0592965   0.0603401 0.000101653
         235   0.0587962   0.0603336 0.000101432
         236   0.0584017   0.0603254 0.000101332
         237   0.0591834   0.0603206 0.000101019
         238   0.0591266   0.0603156 0.000100719
         239    0.059494   0.0603121 0.000100356
         240   0.0592098   0.0603075 0.000100043
         241   0.0600616   0.0603065 9.96333e-05
         242   0.0611877   0.0603101 9.92881e-05
         243   0.0608504   0.0603124 9.89044e-05
         244   0.0615272   0.0603173 9.86243e-05
         245   0.0634924   0.0603303 9.90696e-05
         246   0.0629988   0.0603412  9.9259e-05
         247   0.0607425   0.0603428 9.88704e-05
         248   0.0596819   0.0603401 9.85076e-05
         249   0.0597159   0.0603376 9.81439e-05
         250   0.0595334   0.0603344 9.78041e-05
         251   0.0600059   0.0603331 9.74232e-05
         252   0.0603186    0.060333 9.70366e-05
         253    0.060702   0.0603345  9.6664e-05
         254   0.0603773   0.0603347 9.62836e-05
         255   0.0618897   0.0603407 9.60989e-05
         256   0.0631124   0.0603516 9.63315e-05
         257   0.0632601   0.0603629 9.66191e-05
         258   0.0633808   0.0603746 9.69501e-05
         259   0.0619591   0.0603807 9.67686e-05
         260    0.061268   0.0603841 9.64566e-05
         261   0.0616516    0.060389 9.62092e-05
         262   0.0607465   0.0603903 9.58517e-05
         263   0.0604777   0.0603907 9.54878e-05
         264   0.0595721   0.0603876 9.51764e-05
         265   0.0593689   0.0603837 9.48949e-05
         266   0.0589045   0.0603782 9.47009e-05
         267   0.0581515   0.0603698 9.47127e-05
         268   0.0581746   0.0603616 9.47129e-05
         269   0.0598244   0.0603596 9.43819e-05
         270   0.0593971   0.0603561 9.40996e-05
         271   0.0588621   0.0603506 9.39137e-05
         272   0.0597606   0.0603484 9.35935e-05
         273   0.0611959   0.0603515 9.33021e-05
         274   0.0602937   0.0603513 9.29618e-05
         275   0.0597593   0.0603491 9.26487e-05
