#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39185     1.39185           0
           2     1.39175      1.3918 3.58524e-05
           3     1.39183     1.39181 2.59298e-05
           4     1.39164     1.39177 4.07492e-05
           5     1.39169     1.39175 3.53825e-05
           6     1.39154     1.39172 4.41829e-05
           7     1.39164      1.3917  3.9322e-05
           8      1.3916     1.39169 3.64047e-05
           9     1.39152     1.39167 3.71626e-05
          10     1.39153     1.39166 3.59355e-05
          11      1.3916     1.39165 3.30339e-05
          12     1.39168     1.39166 3.03781e-05
          13     1.39167     1.39166 2.80705e-05
          14     1.39167     1.39166 2.60817e-05
          15     1.39172     1.39166 2.46386e-05
          16     1.39174     1.39167 2.35947e-05
          17     1.39161     1.39166 2.24468e-05
          18     1.39162     1.39166 2.13634e-05
          19     1.39166     1.39166 2.02394e-05
          20     1.39161     1.39166 1.93926e-05
          21     1.39168     1.39166 1.84865e-05
          22     1.39189     1.39167 2.02845e-05
          23     1.39164     1.39167  1.9458e-05
          24     1.39177     1.39167 1.90807e-05
          25     1.39185     1.39168 1.95271e-05
          26     1.39175     1.39168 1.89715e-05
          27     1.39178     1.39169 1.86233e-05
          28     1.39165     1.39168 1.79995e-05
          29     1.39173     1.39169 1.74606e-05
          30     1.39168     1.39169 1.68788e-05
          31     1.39173     1.39169 1.63986e-05
          32     1.39178     1.39169 1.61362e-05
          33     1.39177     1.39169 1.58234e-05
          34     1.39174     1.39169  1.5414e-05
          35     1.39175      1.3917 1.50544e-05
          36     1.39163     1.39169 1.47578e-05
          37     1.39182      1.3917 1.47698e-05
          38     1.39188      1.3917 1.51282e-05
          39     1.39187     1.39171  1.5354e-05
          40     1.39196     1.39171 1.61996e-05
          41     1.39187     1.39172 1.62639e-05
          42     1.39182     1.39172 1.60493e-05
          43     1.39171     1.39172  1.5677e-05
          44     1.39171     1.39172  1.5321e-05
          45     1.39164     1.39172 1.50768e-05
          46     1.39162     1.39172 1.48982e-05
          47     1.39147     1.39171 1.54968e-05
          48     1.39153     1.39171 1.56108e-05
          49     1.39151      1.3917 1.58131e-05
          50      1.3911     1.39169  1.9535e-05
          51      1.3913     1.39168 2.06198e-05
          52     1.39135     1.39168 2.11645e-05
          53     1.39135     1.39167  2.1628e-05
          54     1.39151     1.39167 2.14244e-05
          55     1.39155     1.39166  2.1141e-05
          56     1.39166     1.39166 2.07637e-05
          57     1.39175     1.39167 2.04558e-05
          58      1.3916     1.39167 2.01363e-05
          59     1.39159     1.39166 1.98379e-05
          60     1.39152     1.39166 1.96578e-05
          61     1.39153     1.39166 1.94568e-05
          62     1.39174     1.39166  1.9192e-05
          63     1.39165     1.39166 1.88885e-05
          64     1.39165     1.39166 1.85936e-05
          65     1.39169     1.39166 1.83136e-05
          66      1.3917     1.39166 1.80478e-05
          67     1.39179     1.39166 1.78812e-05
          68     1.39182     1.39167 1.77637e-05
          69     1.39185     1.39167  1.7707e-05
          70     1.39199     1.39167 1.80389e-05
          71     1.39195     1.39168 1.82166e-05
          72     1.39179     1.39168 1.80321e-05
          73     1.39185     1.39168 1.79414e-05
          74     1.39181     1.39168 1.77826e-05
          75     1.39172     1.39168 1.75538e-05
          76     1.39175     1.39168 1.73419e-05
          77     1.39154     1.39168 1.72113e-05
          78     1.39155     1.39168 1.70695e-05
          79      1.3915     1.39168 1.70009e-05
          80      1.3916     1.39168 1.68149e-05
          81      1.3916     1.39168 1.66341e-05
          82      1.3916     1.39168 1.64554e-05
          83      1.3916     1.39167 1.62797e-05
          84     1.39183     1.39168 1.61896e-05
          85     1.39172     1.39168 1.60062e-05
          86     1.39176     1.39168 1.58493e-05
          87       1.392     1.39168 1.60898e-05
          88     1.39187     1.39168 1.60552e-05
          89     1.39189     1.39169 1.60369e-05
          90     1.39181     1.39169 1.59198e-05
          91     1.39188     1.39169 1.58857e-05
          92      1.3918     1.39169  1.5756e-05
          93     1.39186     1.39169 1.56916e-05
          94     1.39198      1.3917 1.58101e-05
          95     1.39198      1.3917 1.59193e-05
          96     1.39203      1.3917  1.6113e-05
          97     1.39174      1.3917 1.59515e-05
          98     1.39204     1.39171 1.61521e-05
          99     1.39206     1.39171 1.63727e-05
         100     1.39186     1.39171 1.62763e-05
         101     1.39188     1.39171 1.62039e-05
         102      1.3919     1.39171 1.61475e-05
         103     1.39197     1.39172   1.618e-05
         104     1.39172     1.39172 1.60244e-05
         105     1.39183     1.39172 1.59093e-05
         106     1.39187     1.39172 1.58223e-05
         107     1.39161     1.39172 1.57077e-05
         108     1.39174     1.39172  1.5564e-05
         109     1.39179     1.39172 1.54348e-05
         110     1.39198     1.39172 1.54761e-05
         111     1.39187     1.39172 1.53981e-05
         112     1.39188     1.39172 1.53266e-05
         113      1.3917     1.39172 1.51925e-05
         114     1.39185     1.39173 1.51007e-05
         115     1.39191     1.39173 1.50527e-05
         116     1.39177     1.39173 1.49279e-05
         117     1.39187     1.39173 1.48526e-05
         118     1.39187     1.39173 1.47725e-05
         119     1.39179     1.39173 1.46558e-05
         120     1.39193     1.39173  1.4627e-05
         121     1.39183     1.39173   1.453e-05
         122     1.39187     1.39173 1.44538e-05
         123     1.39185     1.39173 1.43688e-05
         124     1.39183     1.39174 1.42719e-05
         125     1.39184     1.39174 1.41806e-05
         126     1.39189     1.39174 1.41201e-05
         127     1.39185     1.39174 1.40392e-05
         128     1.39175     1.39174 1.39299e-05
         129     1.39192     1.39174 1.38903e-05
         130     1.39186     1.39174 1.38137e-05
         131     1.39184     1.39174 1.37273e-05
