#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.05581    -5.05581           0
           2     -4.9734     -5.0146   0.0291367
           3    -5.00249    -5.01057   0.0197025
           4    -4.98611    -5.00445   0.0156967
           5     -5.1086    -5.02528   0.0224668
           6    -5.03027    -5.02611   0.0187377
           7    -4.97397    -5.01866   0.0174788
           8    -5.02347    -5.01926   0.0153043
           9    -4.97589    -5.01444   0.0143425
          10    -5.04355    -5.01736   0.0132003
          11    -5.03188    -5.01868   0.0120661
          12    -4.98554    -5.01591   0.0113722
          13    -5.10779    -5.02298   0.0125019
          14    -5.01532    -5.02243   0.0116209
          15    -5.03178    -5.02306   0.0108629
          16    -5.01127    -5.02232   0.0102089
          17    -5.02802    -5.02266  0.00961385
          18    -5.06957    -5.02526  0.00942642
          19    -4.97776    -5.02276  0.00925592
          20      -4.985    -5.02087  0.00898366
          21      -5.024    -5.02102   0.0085571
          22    -5.03342    -5.02159  0.00818667
          23    -5.00385    -5.02081  0.00786697
          24    -5.06372     -5.0226  0.00773961
          25    -5.01946    -5.02248  0.00743105
          26    -5.03891    -5.02311  0.00717208
          27    -4.99941    -5.02223  0.00695996
          28    -4.97643     -5.0206  0.00690094
          29    -5.06409    -5.02209  0.00682399
          30    -5.00416     -5.0215  0.00662267
          31    -5.05678    -5.02264  0.00650612
          32    -4.98721    -5.02153   0.0063963
          33    -5.01965    -5.02147  0.00620272
          34    -5.03876    -5.02198  0.00604109
          35    -5.06649    -5.02325  0.00600087
          36    -5.02011    -5.02316  0.00583482
          37    -4.94769    -5.02112  0.00602312
          38    -5.03209    -5.02141  0.00587152
          39    -5.04901    -5.02212  0.00576344
          40    -5.05894    -5.02304  0.00569238
          41    -5.01061    -5.02274  0.00556161
          42    -4.97693    -5.02165  0.00553509
          43    -5.05267    -5.02237  0.00545319
          44    -5.07611    -5.02359  0.00546432
          45    -5.05172    -5.02422  0.00537853
          46    -5.05571     -5.0249  0.00530501
          47    -4.92555    -5.02279  0.00559747
          48    -4.98783    -5.02206  0.00552804
          49    -4.97337    -5.02106  0.00550379
          50    -5.07544    -5.02215  0.00550011
          51    -5.05314    -5.02276  0.00542572
          52     -4.9761    -5.02186  0.00539507
          53    -5.01109    -5.02166   0.0052971
          54    -5.00222     -5.0213  0.00521122
          55    -5.08571    -5.02247  0.00524641
          56    -5.00856    -5.02222   0.0051586
          57    -5.01085    -5.02202  0.00507196
          58    -5.05286    -5.02255   0.0050123
          59    -5.00645    -5.02228  0.00493477
          60    -5.05381    -5.02281  0.00488042
          61    -5.04303    -5.02314  0.00481166
          62    -5.08797    -5.02418  0.00484633
          63    -4.99576    -5.02373  0.00479035
          64    -5.07018    -5.02446  0.00477015
