#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.903925    0.903925           0
           2    0.865657    0.884791   0.0135297
           3    0.879394    0.882992  0.00913864
           4    0.869509    0.879621  0.00744976
           5    0.929104    0.889518   0.0106712
           6    0.893882    0.890245  0.00891739
           7     0.86788     0.88705  0.00819589
           8    0.893351    0.887838  0.00720915
           9     0.86852    0.885691  0.00672007
          10    0.899446    0.887067  0.00618722
          11     0.89729    0.887996  0.00569412
          12    0.875117    0.886923   0.0053198
          13    0.930954     0.89031  0.00589096
          14    0.886885    0.890065  0.00547525
          15    0.892805    0.890248  0.00511328
          16    0.882671    0.889774  0.00481558
          17    0.891438    0.889872  0.00453331
          18    0.910691    0.891029  0.00442654
          19     0.86498    0.889658  0.00440076
          20    0.869923    0.888671  0.00428992
          21    0.890565    0.888761  0.00408659
          22    0.891568    0.888889  0.00390282
          23    0.879026     0.88846  0.00375662
          24     0.90732    0.889246  0.00368137
          25     0.88459     0.88906  0.00353882
          26    0.895815    0.889319  0.00341224
          27    0.876185    0.888833  0.00332035
          28    0.866882    0.888049  0.00329302
          29    0.907359    0.888715  0.00324609
          30    0.877608    0.888345  0.00315892
          31    0.904988    0.888881  0.00310231
          32    0.871203    0.888329  0.00305416
          33    0.887952    0.888318  0.00296163
          34    0.901313      0.8887  0.00289908
          35    0.911596    0.889354  0.00288912
          36    0.889605    0.889361  0.00280888
          37    0.851632    0.888341  0.00291218
          38    0.892741    0.888457  0.00283784
          39    0.900656     0.88877  0.00278226
          40    0.905089    0.889178  0.00274246
          41     0.88059    0.888968  0.00268355
          42    0.868435     0.88848  0.00266382
          43    0.904986    0.888863  0.00262938
          44    0.915268    0.889463  0.00263722
          45    0.905644    0.889823  0.00260301
          46    0.908618    0.890232  0.00257829
          47    0.841671    0.889198   0.0027226
          48    0.871815    0.888836  0.00268985
          49    0.864722    0.888344   0.0026796
          50    0.913642     0.88885  0.00267335
          51    0.908069    0.889227  0.00264736
          52    0.866781    0.888795   0.0026314
          53    0.886251    0.888747  0.00258219
          54    0.880712    0.888598  0.00253866
          55    0.921221    0.889192  0.00256086
          56    0.882666    0.889075  0.00251778
          57    0.881068    0.888935  0.00247752
          58    0.904118    0.889196   0.0024486
          59    0.881361    0.889064  0.00241069
          60    0.905034     0.88933  0.00238516
          61    0.898623    0.889482  0.00235092
          62    0.921761    0.890003  0.00236995
          63     0.87754    0.889805  0.00234058
          64    0.912954    0.890167  0.00233179
          65    0.928804    0.890761  0.00237047
          66    0.888697     0.89073  0.00233476
          67    0.851424    0.890143  0.00237247
          68     0.87565     0.88993  0.00234714
          69    0.893211    0.889978   0.0023136
          70    0.883228    0.889881  0.00228256
          71    0.908216    0.890139  0.00226497
          72      0.8851    0.890069  0.00223459
          73    0.907942    0.890314  0.00221735
          74    0.900272    0.890449  0.00219147
          75    0.916082    0.890791  0.00218874
          76     0.86601    0.890464  0.00218409
          77    0.911578    0.890739  0.00217287
          78    0.916522    0.891069  0.00217001
          79     0.89433    0.891111  0.00214293
          80    0.882528    0.891003  0.00211883
          81    0.893395    0.891033  0.00209288
          82    0.902145    0.891168  0.00207174
          83    0.899469    0.891268  0.00204919
          84    0.884621    0.891189  0.00202632
          85    0.881294    0.891073  0.00200582
          86     0.92726    0.891493  0.00202616
          87    0.916953    0.891786  0.00202389
          88    0.924978    0.892163  0.00203573
          89    0.891153    0.892152  0.00201289
          90      0.9018    0.892259  0.00199338
          91    0.861233    0.891918  0.00200042
          92    0.870806    0.891689  0.00199179
          93     0.91066    0.891893   0.0019808
          94    0.886541    0.891836  0.00196054
          95    0.875251    0.891661  0.00194766
          96    0.848337     0.89121  0.00197897
          97    0.847008    0.890754  0.00201035
          98    0.897052    0.890818  0.00199086
          99    0.886831    0.890778  0.00197116
         100     0.88357    0.890706  0.00195276
         101    0.894304    0.890742  0.00193375
         102    0.893461    0.890768  0.00191498
         103     0.87844    0.890649  0.00190012
         104    0.923649    0.890966  0.00190816
         105     0.89622    0.891016  0.00189065
         106    0.905668    0.891154  0.00187786
         107    0.872888    0.890984  0.00186805
         108     0.90232    0.891089   0.0018537
         109    0.884677     0.89103  0.00183763
         110    0.886259    0.890986  0.00182143
         111    0.879267    0.890881  0.00180808
         112    0.898194    0.890946  0.00179312
         113    0.863217    0.890701  0.00179396
         114    0.872933    0.890545  0.00178498
         115     0.90066    0.890633  0.00177162
         116    0.888056    0.890611  0.00175649
         117    0.894347    0.890643  0.00174177
         118    0.892848    0.890661  0.00172711
         119    0.879934    0.890571  0.00171495
         120    0.916987    0.890791  0.00171472
         121    0.856544    0.890508  0.00172375
         122    0.907556    0.890648  0.00171528
         123    0.894201    0.890677  0.00170158
         124    0.891025     0.89068  0.00168786
         125    0.883182     0.89062  0.00167542
         126    0.888856    0.890606  0.00166218
         127    0.901202    0.890689  0.00165119
         128    0.884748    0.890643  0.00163894
         129    0.835099    0.890212  0.00168184
         130    0.877947    0.890118  0.00167155
         131    0.885756    0.890084  0.00165912
         132    0.875254    0.889972  0.00165035
         133    0.920915    0.890205  0.00165426
         134    0.941504    0.890588  0.00168563
         135     0.90327    0.890681  0.00167576
         136     0.87553     0.89057  0.00166714
         137    0.890247    0.890568  0.00165497
         138    0.881823    0.890504  0.00164419
         139    0.880821    0.890435  0.00163384
         140    0.882861    0.890381  0.00162306
         141    0.896687    0.890425  0.00161217
         142    0.888229     0.89041  0.00160089
         143    0.881064    0.890345  0.00159102
         144    0.889774    0.890341  0.00157998
         145    0.918529    0.890535    0.001581
         146    0.886448    0.890507  0.00157042
         147     0.89775    0.890556  0.00156051
         148     0.88042    0.890488  0.00155147
         149    0.886948    0.890464  0.00154124
         150    0.885235    0.890429  0.00153135
         151    0.904822    0.890524  0.00152418
         152    0.931027    0.890791  0.00153727
         153    0.898954    0.890844  0.00152814
         154    0.872706    0.890726  0.00152275
         155    0.876233    0.890633   0.0015158
         156    0.897807    0.890679  0.00150678
         157    0.905586    0.890774  0.00150017
         158    0.931491    0.891032  0.00151265
         159    0.891495    0.891035  0.00150314
         160    0.917765    0.891202    0.001503
         161     0.86221    0.891022  0.00150441
         162    0.903002    0.891095  0.00149694
         163    0.909029    0.891205  0.00149179
         164    0.876175    0.891114  0.00148551
         165     0.89163    0.891117  0.00147651
         166    0.897529    0.891156  0.00146812
         167    0.896388    0.891187  0.00145966
         168    0.874686    0.891089  0.00145428
         169    0.880306    0.891025  0.00144707
         170     0.90401    0.891101  0.00144057
         171     0.90176    0.891164   0.0014335
         172      0.9007    0.891219  0.00142623
         173    0.862075    0.891051   0.0014279
         174    0.896473    0.891082  0.00142004
         175    0.894929    0.891104  0.00141209
         176    0.920444     0.89127  0.00141388
         177    0.886182    0.891242  0.00140618
         178    0.902627    0.891306  0.00139973
         179    0.920373    0.891468   0.0014013
         180     0.88874    0.891453   0.0013936
         181    0.897915    0.891489  0.00138636
         182      0.8876    0.891467   0.0013789
         183    0.898899    0.891508  0.00137197
         184    0.899974    0.891554  0.00136528
         185    0.873937    0.891459  0.00136122
         186    0.881271    0.891404    0.001355
         187    0.885836    0.891374  0.00134808
         188    0.906452    0.891454   0.0013433
         189    0.898811    0.891493  0.00133675
         190    0.880819    0.891437   0.0013309
         191    0.881923    0.891387  0.00132486
         192    0.878705    0.891321  0.00131961
         193    0.894711    0.891339  0.00131289
         194    0.901369     0.89139  0.00130714
         195    0.904553    0.891458  0.00130217
         196    0.877293    0.891386  0.00129753
         197    0.857703    0.891215  0.00130216
         198    0.886444    0.891191  0.00129581
         199    0.860445    0.891036  0.00129848
         200    0.887953    0.891021  0.00129208
         201    0.898384    0.891057  0.00128617
         202    0.878649    0.890996  0.00128127
         203    0.915296    0.891116  0.00128053
         204    0.917882    0.891247  0.00128096
         205    0.900671    0.891293  0.00127554
         206    0.924997    0.891456   0.0012798
         207    0.910039    0.891546  0.00127676
         208    0.912969    0.891649  0.00127477
         209    0.900402    0.891691  0.00126935
         210    0.914285    0.891799  0.00126786
         211     0.90074    0.891841  0.00126256
         212    0.906343    0.891909  0.00125846
         213    0.846278    0.891695  0.00127065
         214     0.92363    0.891844  0.00127345
         215    0.895104     0.89186  0.00126762
         216    0.935558    0.892062  0.00127779
         217    0.914582    0.892166  0.00127611
         218    0.895054    0.892179  0.00127032
         219    0.887497    0.892158   0.0012647
         220    0.900096    0.892194  0.00125947
         221    0.932052    0.892374  0.00126662
         222    0.882741    0.892331  0.00126165
         223    0.865669    0.892211  0.00126165
         224    0.916552     0.89232  0.00126069
         225    0.934989    0.892509  0.00126927
         226    0.865973    0.892392  0.00126907
         227    0.870047    0.892293  0.00126729
         228    0.884508    0.892259  0.00126219
         229    0.873991     0.89218   0.0012592
         230    0.909075    0.892253  0.00125587
         231    0.907298    0.892318  0.00125212
         232    0.884578    0.892285  0.00124716
         233    0.890178    0.892276  0.00124184
         234    0.883467    0.892238  0.00123711
         235    0.898016    0.892263  0.00123209
         236    0.916627    0.892366  0.00123118
         237    0.892187    0.892365  0.00122599
         238    0.920835    0.892485  0.00122666
         239    0.853982    0.892324  0.00123206
         240    0.880045    0.892272  0.00122799
         241    0.904719    0.892324  0.00122398
         242    0.871887     0.89224  0.00122183
         243    0.888364    0.892224  0.00121691
         244     0.88093    0.892177   0.0012128
         245    0.906391    0.892235  0.00120924
         246    0.880003    0.892186  0.00120534
         247    0.896265    0.892202  0.00120058
         248    0.907879    0.892265   0.0011974
         249    0.884682    0.892235  0.00119298
         250    0.874733    0.892165  0.00119026
         251    0.902123    0.892205  0.00118618
         252    0.916231      0.8923   0.0011853
         253    0.885597    0.892274  0.00118091
         254    0.876583    0.892212  0.00117787
         255     0.88965    0.892202   0.0011733
         256    0.863361    0.892089  0.00117411
         257    0.883589    0.892056  0.00117001
         258    0.897359    0.892077  0.00116565
         259    0.899774    0.892106  0.00116153
         260    0.904848    0.892155   0.0011581
         261    0.884192    0.892125  0.00115406
         262    0.896489    0.892141  0.00114978
         263    0.916234    0.892233  0.00114905
         264    0.919586    0.892337  0.00114936
         265    0.894905    0.892346  0.00114506
         266    0.881856    0.892307  0.00114143
         267    0.890727    0.892301  0.00113718
         268    0.867323    0.892208  0.00113674
         269    0.892714     0.89221  0.00113252
         270    0.881208    0.892169  0.00112906
         271    0.901338    0.892203   0.0011254
         272    0.872479     0.89213   0.0011236
         273    0.881749    0.892092  0.00112012
         274    0.894618    0.892101  0.00111607
         275    0.870625    0.892023  0.00111474
         276    0.895544    0.892036  0.00111078
         277    0.904865    0.892082  0.00110773
         278    0.893295    0.892087  0.00110376
         279    0.890697    0.892082  0.00109981
         280    0.917941    0.892174  0.00109976
         281     0.88071    0.892133   0.0010966
         282    0.914525    0.892213  0.00109558
         283    0.903527    0.892253  0.00109244
         284    0.921423    0.892355  0.00109341
         285    0.881237    0.892316  0.00109027
         286    0.889925    0.892308  0.00108649
         287    0.876837    0.892254  0.00108404
         288    0.904782    0.892298  0.00108115
         289    0.913323     0.89237  0.00107985
         290    0.846578    0.892212  0.00108761
         291    0.900035    0.892239  0.00108421
         292    0.875827    0.892183  0.00108195
         293    0.871503    0.892113  0.00108056
         294    0.890092    0.892106   0.0010769
         295    0.875672     0.89205  0.00107469
         296    0.891548    0.892048  0.00107106
         297     0.92125    0.892147  0.00107196
