#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37929    -3.37929           0
           2    -3.37794    -3.37861 0.000476739
           3    -3.37851    -3.37858 0.000319078
           4    -3.37889    -3.37866 0.000248409
           5    -3.37974    -3.37887 0.000277571
           6    -3.37693    -3.37855  0.00037522
           7    -3.37728    -3.37837 0.000362598
           8    -3.37392    -3.37781 0.000609576
           9    -3.37585     -3.3776 0.000579361
          10    -3.37877    -3.37771 0.000533199
          11    -3.37616    -3.37757 0.000502983
          12    -3.37485    -3.37735 0.000509491
          13    -3.37784    -3.37738 0.000471746
          14    -3.37879    -3.37748 0.000448616
          15    -3.38022    -3.37767 0.000454354
          16    -3.37868    -3.37773  0.00043038
          17    -3.37622    -3.37764 0.000414079
          18    -3.37889    -3.37771 0.000396836
          19    -3.38166    -3.37792 0.000427029
          20    -3.37848    -3.37795 0.000406585
          21    -3.37503    -3.37781 0.000410205
          22    -3.38193      -3.378 0.000432224
          23    -3.38056    -3.37811 0.000427567
          24    -3.37952    -3.37817 0.000413804
          25    -3.38212    -3.37832   0.0004264
          26    -3.37811    -3.37832 0.000410081
          27    -3.37889    -3.37834 0.000395435
          28    -3.37642    -3.37827 0.000387209
          29    -3.38127    -3.37837 0.000387408
          30    -3.37889    -3.37839 0.000374881
          31    -3.37756    -3.37836 0.000363743
          32    -3.37905    -3.37838 0.000353005
          33     -3.3783    -3.37838 0.000342316
          34    -3.37339    -3.37823  0.00036241
          35    -3.37444    -3.37813 0.000367941
          36    -3.37466    -3.37803 0.000370075
          37    -3.37816    -3.37803 0.000360089
          38    -3.37883    -3.37805 0.000351229
          39    -3.38045    -3.37812  0.00034757
          40    -3.37881    -3.37813 0.000339309
          41    -3.38062    -3.37819 0.000336392
          42    -3.37563    -3.37813 0.000333888
          43    -3.37516    -3.37806  0.00033321
          44    -3.37791    -3.37806 0.000325656
          45    -3.37589    -3.37801 0.000321981
          46    -3.37437    -3.37793 0.000324593
          47    -3.37773    -3.37793 0.000317715
          48    -3.37582    -3.37788 0.000314128
          49     -3.3777    -3.37788  0.00030774
          50    -3.37744    -3.37787 0.000301712
          51    -3.37455    -3.37781 0.000302738
          52      -3.379    -3.37783  0.00029778
          53    -3.37523    -3.37778 0.000296183
