#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.21275     1.21275           0
           2     1.18764     1.20019  0.00887826
           3     1.18852      1.1963  0.00671785
           4     1.21701     1.20148  0.00674527
           5     1.20848     1.20288  0.00553956
           6     1.15919      1.1956  0.00809296
           7     1.18116     1.19353  0.00719476
           8     1.21521     1.19624  0.00678666
           9     1.19645     1.19627  0.00603263
          10     1.19944     1.19658  0.00543771
          11     1.20407     1.19726  0.00498573
          12     1.19275     1.19689   0.0045844
          13     1.21776     1.19849  0.00450413
          14     1.18874      1.1978  0.00423594
          15     1.20657     1.19838  0.00399372
          16     1.19325     1.19806  0.00375695
          17     1.21197     1.19888  0.00362395
          18     1.18175     1.19793  0.00354538
          19     1.19627     1.19784  0.00335985
          20      1.1985     1.19787  0.00319202
          21      1.1829     1.19716  0.00311869
          22     1.21332      1.1979  0.00306221
          23     1.18945     1.19753  0.00295102
          24     1.19673      1.1975  0.00282825
          25     1.21415     1.19816  0.00279245
          26     1.17405     1.19723  0.00283482
          27     1.22186     1.19815  0.00287283
          28      1.2084     1.19851  0.00279346
          29     1.19066     1.19824  0.00271021
          30     1.21941     1.19895  0.00271015
          31     1.18785     1.19859  0.00264627
          32     1.20759     1.19887  0.00257849
          33     1.20586     1.19908  0.00250904
          34     1.20216     1.19917  0.00243688
          35     1.21546     1.19964  0.00241128
          36       1.181     1.19912  0.00239921
          37     1.19344     1.19897  0.00233928
          38      1.2039      1.1991  0.00228132
          39      1.2173     1.19956  0.00227006
          40     1.18519      1.1992  0.00224158
          41     1.18727     1.19891  0.00220572
          42     1.20302     1.19901  0.00215537
          43     1.18773     1.19875  0.00212113
          44     1.20767     1.19895  0.00208258
          45     1.18938     1.19874  0.00204715
          46     1.19991     1.19876   0.0020028
          47     1.19749     1.19874  0.00196037
          48     1.21073     1.19899   0.0019354
          49     1.21001     1.19921  0.00190894
          50     1.16363      1.1985  0.00199901
          51     1.21177     1.19876  0.00197667
          52     1.20375     1.19886  0.00194099
          53     1.19378     1.19876  0.00190673
          54     1.19044     1.19861  0.00187763
          55     1.19058     1.19846  0.00184916
          56     1.22209     1.19888  0.00186365
          57     1.18111     1.19857  0.00185686
          58     1.20442     1.19867  0.00182758
          59      1.2171     1.19898  0.00182309
          60     1.17213     1.19854  0.00184683
          61     1.20605     1.19866  0.00182065
          62     1.21497     1.19892  0.00181019
          63     1.19271     1.19882  0.00178414
          64     1.18493     1.19861  0.00176942
          65     1.20201     1.19866  0.00174297
          66     1.20303     1.19873  0.00171782
          67     1.17569     1.19838  0.00172625
          68     1.20174     1.19843  0.00170157
          69     1.20565     1.19854  0.00168012
          70     1.21406     1.19876  0.00167069
          71     1.18156     1.19851  0.00166463
          72     1.20626     1.19862  0.00164498
          73     1.20593     1.19872  0.00162549
          74     1.21157      1.1989  0.00161278
          75     1.17397     1.19856  0.00162516
          76     1.21872     1.19883  0.00162527
          77     1.19633      1.1988  0.00160449
          78     1.16088     1.19831  0.00165592
          79     1.20166     1.19835   0.0016355
          80     1.21434     1.19855  0.00162722
          81       1.197     1.19853  0.00160725
          82      1.1575     1.19803  0.00166371
          83     1.21143     1.19819  0.00165148
          84     1.21899     1.19844  0.00165028
          85     1.20272     1.19849  0.00163163
          86     1.20356     1.19855  0.00161372
          87      1.1969     1.19853  0.00159529
          88     1.19595      1.1985  0.00157743
          89     1.20398     1.19856  0.00156091
          90      1.1971     1.19855  0.00154365
          91     1.19633     1.19852  0.00152688
          92     1.19731     1.19851  0.00151034
          93     1.20259     1.19855  0.00149473
          94     1.20258      1.1986  0.00147944
          95     1.16914     1.19829  0.00149601
          96     1.21592     1.19847  0.00149167
          97     1.19106     1.19839  0.00147824
          98     1.21278     1.19854  0.00147043
          99     1.18356     1.19839  0.00146334
         100     1.19568     1.19836  0.00144895
         101     1.19809     1.19836  0.00143461
         102      1.2086     1.19846  0.00142406
         103     1.19757     1.19845  0.00141026
         104      1.2026     1.19849  0.00139726
         105     1.17943     1.19831  0.00139569
         106      1.1893     1.19823  0.00138512
         107     1.20307     1.19827  0.00137291
         108     1.20235     1.19831  0.00136072
         109     1.18265     1.19816   0.0013558
         110     1.19833     1.19817  0.00134347
         111     1.20546     1.19823  0.00133297
         112     1.18771     1.19814  0.00132438
         113     1.19775     1.19813  0.00131266
         114     1.21936     1.19832  0.00131429
         115     1.19125     1.19826   0.0013043
         116     1.19468     1.19823  0.00129342
         117     1.20642      1.1983  0.00128426
         118     1.20754     1.19838  0.00127576
         119     1.17841     1.19821  0.00127602
         120     1.20959      1.1983  0.00126891
         121     1.18884     1.19823  0.00126083
         122     1.23316     1.19851   0.0012826
         123      1.1735     1.19831  0.00128819
         124     1.20163     1.19834  0.00127808
         125     1.20749     1.19841  0.00126996
         126     1.21733     1.19856  0.00126873
         127     1.18953     1.19849  0.00126073
         128     1.20244     1.19852  0.00125126
         129     1.18804     1.19844  0.00124419
         130     1.17843     1.19828   0.0012441
         131     1.20562     1.19834  0.00123586
         132     1.20102     1.19836  0.00122667
         133     1.19105     1.19831  0.00121867
         134     1.19366     1.19827  0.00121007
         135     1.20625     1.19833  0.00120255
         136     1.19404      1.1983  0.00119412
         137     1.18037     1.19817  0.00119256
         138     1.21955     1.19832  0.00119394
         139     1.19929     1.19833  0.00118537
         140     1.17375     1.19815  0.00118983
         141     1.19963     1.19816  0.00118144
         142     1.19488     1.19814  0.00117335
         143     1.20841     1.19821  0.00116734
         144     1.19473     1.19819  0.00115948
         145     1.19341     1.19816  0.00115196
         146     1.19816     1.19816  0.00114407
         147     1.19818     1.19816  0.00113628
         148     1.17939     1.19803  0.00113566
         149     1.23545     1.19828  0.00115548
         150     1.19333     1.19825  0.00114825
         151     1.21585     1.19836  0.00114654
         152     1.19383     1.19833  0.00113939
         153      1.1987     1.19834  0.00113194
         154     1.20308     1.19837  0.00112501
         155     1.18251     1.19826  0.00112239
         156     1.19681     1.19826  0.00111524
         157     1.20319     1.19829  0.00110858
         158     1.20672     1.19834  0.00110285
         159     1.20986     1.19841  0.00109829
         160     1.19488     1.19839  0.00109164
         161     1.19216     1.19835  0.00108555
         162     1.18708     1.19828  0.00108108
         163     1.19133     1.19824  0.00107528
         164     1.21806     1.19836   0.0010755
         165     1.19065     1.19831  0.00106999
         166     1.20564     1.19836  0.00106446
         167     1.18796      1.1983   0.0010599
         168     1.22244     1.19844  0.00106329
         169     1.18643     1.19837  0.00105937
         170     1.19742     1.19836  0.00105315
         171     1.19579     1.19835   0.0010471
         172     1.18624     1.19828  0.00104338
         173     1.16649     1.19809   0.0010534
         174     1.21518     1.19819  0.00105192
         175      1.1899     1.19814  0.00104697
         176     1.19904     1.19815  0.00104104
         177     1.20428     1.19818  0.00103573
         178     1.19405     1.19816  0.00103017
         179      1.2058      1.1982   0.0010253
         180      1.1862     1.19814  0.00102177
         181      1.2015     1.19816  0.00101629
         182     1.20666      1.1982  0.00101178
         183     1.18345     1.19812  0.00100946
         184     1.19653     1.19811  0.00100401
         185     1.20229     1.19814 0.000998839
         186     1.19971     1.19814 0.000993505
         187       1.193     1.19812 0.000988573
         188     1.18928     1.19807 0.000984432
         189     1.20415      1.1981  0.00097975
         190     1.20649     1.19815 0.000975586
         191     1.21439     1.19823 0.000974178
         192     1.17505     1.19811 0.000976558
         193      1.1841     1.19804 0.000974192
         194     1.21739     1.19814 0.000974263
         195     1.18576     1.19807 0.000971331
         196     1.20599     1.19811 0.000967215
         197     1.21049     1.19818 0.000964342
         198     1.20259      1.1982  0.00095973
         199     1.19213     1.19817 0.000955391
         200     1.19279     1.19814 0.000950992
         201     1.20892      1.1982  0.00094777
         202     1.19212     1.19817 0.000943556
         203     1.21162     1.19823 0.000941233
         204     1.20602     1.19827 0.000937393
         205     1.20588     1.19831 0.000933555
         206     1.19495     1.19829 0.000929165
         207     1.19125     1.19826 0.000925299
