#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.969441    0.969441           0
           2    0.952224    0.960833  0.00608734
           3    0.952842    0.958169  0.00460424
           4    0.972239    0.961687  0.00460477
           5    0.966652     0.96268  0.00378939
           6    0.932917    0.957719  0.00552054
           7    0.948007    0.956332  0.00490314
           8    0.971242    0.958196  0.00463096
           9    0.958196    0.958196  0.00411641
          10    0.960569    0.958433   0.0037116
          11    0.963591    0.958902  0.00340367
          12    0.955774    0.958641     0.00313
          13    0.972641    0.959718  0.00306891
          14    0.953023     0.95924  0.00288672
          15    0.965309    0.959645  0.00272248
          16    0.956167    0.959427  0.00256099
          17    0.968828     0.95998  0.00246932
          18    0.948308    0.959332  0.00241577
          19    0.957925    0.959258  0.00228976
          20    0.959436    0.959267  0.00217529
          21    0.948898    0.958773    0.002127
          22    0.969704     0.95927  0.00208755
          23    0.953304     0.95901  0.00201284
          24    0.958397    0.958985  0.00192913
          25    0.970284    0.959437  0.00190417
          26    0.942883      0.9588  0.00193445
          27    0.975652    0.959424  0.00196091
          28     0.96648    0.959676    0.001907
          29     0.95446    0.959496  0.00184971
          30      0.9736    0.959966  0.00184683
          31    0.952319     0.95972  0.00180365
          32    0.965812     0.95991  0.00175731
          33    0.964694    0.960055  0.00171002
          34    0.962318    0.960122  0.00166102
          35    0.971222    0.960439  0.00164357
          36    0.947812    0.960088  0.00163491
          37    0.956408    0.959989  0.00159375
          38    0.963262    0.960075  0.00155413
          39    0.972407    0.960391  0.00154612
          40    0.950608    0.960146  0.00152668
          41    0.952056    0.959949  0.00150215
          42    0.962547    0.960011  0.00146765
          43    0.952037    0.959825  0.00144519
          44    0.966022    0.959966  0.00141919
          45    0.953509    0.959823  0.00139489
          46    0.960387    0.959835  0.00136462
          47    0.958874    0.959815  0.00133574
          48      0.9679    0.959983  0.00131849
          49    0.967267    0.960132  0.00129993
          50    0.935805    0.959645  0.00136194
          51    0.968653    0.959822  0.00134664
          52    0.963269    0.959888  0.00132238
          53    0.956644    0.959827  0.00129884
          54    0.954067     0.95972  0.00127916
          55     0.95438    0.959623  0.00125958
          56    0.975792    0.959912  0.00126975
          57    0.947904    0.959701  0.00126483
          58    0.963708     0.95977  0.00124491
          59    0.972402    0.959984  0.00124208
          60    0.941628    0.959678   0.0012585
          61    0.964655     0.95976  0.00124051
          62    0.970881    0.959939   0.0012334
          63    0.955678    0.959872  0.00121567
          64     0.95044    0.959724  0.00120558
          65    0.962064     0.95976  0.00118757
          66    0.962843    0.959807  0.00117049
          67    0.944191    0.959574    0.001176
          68    0.961853    0.959608  0.00115918
          69    0.964492    0.959678  0.00114454
          70     0.97037    0.959831  0.00113834
          71    0.948166    0.959667   0.0011341
          72    0.964907     0.95974  0.00112068
          73    0.964828    0.959809  0.00110749
          74    0.968497    0.959927  0.00109873
          75    0.942982    0.959701  0.00110707
          76    0.973231    0.959879  0.00110672
          77    0.958031    0.959855  0.00109261
          78    0.933772     0.95952  0.00112861
          79    0.961513    0.959546  0.00111461
          80     0.97038    0.959681  0.00110887
          81    0.958467    0.959666  0.00109528
          82    0.931642    0.959324  0.00113399
          83    0.968478    0.959435  0.00112568
          84     0.97367    0.959604  0.00112496
          85    0.962715    0.959641  0.00111232
          86    0.963342    0.959684  0.00110022
          87    0.958575    0.959671  0.00108765
          88    0.957651    0.959648  0.00107553
          89    0.963386     0.95969  0.00106427
          90     0.95868    0.959679   0.0010525
          91    0.958117    0.959662  0.00104108
          92    0.959108    0.959656  0.00102978
          93    0.962461    0.959686  0.00101915
          94    0.962509    0.959716  0.00100875
          95    0.939614    0.959504  0.00102008
          96    0.971356    0.959628   0.0010169
          97    0.954423    0.959574  0.00100783
          98    0.969184    0.959672   0.0010023
          99    0.949278    0.959567 0.000997663
         100    0.957522    0.959547 0.000987896
         101    0.959263    0.959544 0.000978119
         102    0.966343     0.95961 0.000970798
         103    0.958965    0.959604 0.000961393
         104     0.96235    0.959631 0.000952512
         105      0.9464    0.959505 0.000951738
         106    0.953376    0.959447 0.000944513
         107    0.962812    0.959478  0.00093621
         108    0.962216    0.959504 0.000927884
         109     0.94863    0.959404 0.000924718
         110    0.959323    0.959403 0.000916312
         111    0.964186    0.959446  0.00090907
         112    0.952335    0.959383 0.000903168
         113     0.95889    0.959378 0.000895185
         114    0.973705    0.959504 0.000896111
         115    0.954961    0.959464 0.000889189
         116    0.957062    0.959444 0.000881765
         117     0.96512    0.959492 0.000875562
         118      0.9658    0.959546 0.000869772
         119    0.945943    0.959431 0.000869942
         120    0.967103    0.959495 0.000865038
         121    0.953097    0.959442 0.000859504
         122    0.982991    0.959635 0.000873865
         123    0.942717    0.959498 0.000877518
         124    0.961547    0.959514 0.000870597
         125     0.96581    0.959565 0.000865088
         126    0.972428    0.959667 0.000864225
         127    0.953343    0.959617 0.000858853
         128    0.962221    0.959637 0.000852384
         129    0.952384    0.959581 0.000847629
         130    0.946113    0.959478 0.000847416
         131     0.96442    0.959515 0.000841787
         132    0.961216    0.959528 0.000835508
         133    0.954511    0.959491 0.000830078
         134     0.95631    0.959467 0.000824222
         135    0.964875    0.959507  0.00081909
         136    0.956703    0.959486 0.000813326
         137    0.947507    0.959399 0.000812076
         138    0.973854    0.959504 0.000812919
         139    0.960182    0.959508 0.000807085
         140    0.943012    0.959391 0.000809876
         141    0.960545    0.959399 0.000804173
         142    0.957414    0.959385 0.000798631
         143    0.966452    0.959434 0.000794574
         144    0.957078    0.959418 0.000789225
         145    0.956434    0.959397  0.00078405
         146    0.959407    0.959397  0.00077868
         147    0.959429    0.959398 0.000773383
         148    0.946804    0.959312 0.000772824
         149    0.984692    0.959483 0.000786184
         150    0.956215    0.959461 0.000781244
         151    0.971554    0.959541 0.000780165
         152    0.956381     0.95952 0.000775309
         153    0.959709    0.959522 0.000770243
         154    0.962896    0.959543 0.000765553
         155    0.948915    0.959475 0.000763678
         156    0.958489    0.959469 0.000758809
         157    0.962601    0.959489 0.000754238
         158    0.965383    0.959526 0.000750387
         159    0.967449    0.959576  0.00074732
         160    0.957284    0.959561 0.000742787
         161    0.955271    0.959535 0.000738651
         162    0.951825    0.959487 0.000735623
         163    0.954558    0.959457 0.000731731
         164    0.973272    0.959541 0.000732102
         165     0.95432    0.959509 0.000728349
         166    0.964597     0.95954 0.000724606
         167    0.952462    0.959498 0.000721505
         168    0.975818    0.959595 0.000723721
         169    0.951501    0.959547 0.000721021
         170    0.959042    0.959544 0.000716786
         171     0.95786    0.959534 0.000712662
         172    0.951432    0.959487 0.000710074
         173    0.937885    0.959362 0.000716864
         174    0.970876    0.959428 0.000715792
         175    0.953571    0.959395 0.000712484
         176    0.959874    0.959398 0.000708441
         177    0.963684    0.959422 0.000704852
         178    0.956767    0.959407  0.00070105
         179    0.964942    0.959438 0.000697815
         180    0.951221    0.959392  0.00069543
         181    0.961609    0.959404 0.000691696
         182     0.96507    0.959436 0.000688596
         183    0.949277     0.95938 0.000687066
         184    0.958094    0.959373 0.000683368
         185    0.962496     0.95939 0.000679882
         186    0.960732    0.959397 0.000676265
         187     0.95599    0.959379 0.000672895
         188    0.953284    0.959347 0.000670096
         189    0.963295    0.959367 0.000666876
         190     0.96519    0.959398  0.00066407
         191    0.970567    0.959457 0.000663163
         192    0.943546    0.959374 0.000664866
         193    0.949848    0.959324 0.000663251
         194    0.972381    0.959392 0.000663238
         195    0.950866    0.959348 0.000661276
         196    0.964914    0.959376 0.000658512
         197     0.96797     0.95942 0.000656612
         198    0.962411    0.959435  0.00065347
         199    0.955184    0.959414 0.000650535
         200    0.955837    0.959396 0.000647528
         201    0.966652    0.959432 0.000645312
         202    0.955268    0.959411 0.000642447
         203    0.968528    0.959456  0.00064085
         204    0.964859    0.959483 0.000638255
         205    0.964627    0.959508 0.000635635
         206    0.957197    0.959497 0.000632648
         207    0.954691    0.959473 0.000630018
         208    0.967994    0.959514 0.000628319
         209    0.961394    0.959523 0.000625377
         210    0.967999    0.959564   0.0006237
         211    0.968998    0.959608 0.000622345
         212    0.948286    0.959555 0.000621697
         213    0.960926    0.959561 0.000618811
         214    0.955878    0.959544 0.000616159
         215    0.950256    0.959501 0.000614806
         216    0.983261    0.959611 0.000621722
         217    0.946059    0.959549 0.000621986
