#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0340078  -0.0340078           0
           2  -0.0508496  -0.0424287  0.00595449
           3   -0.108198  -0.0643517    0.018335
           4   -0.191067  -0.0960305    0.030688
           5    -0.24113    -0.12505   0.0357274
           6   -0.274148     -0.1499   0.0374301
           7    -0.29392   -0.170474   0.0373114
           8   -0.310637   -0.187995   0.0365301
           9   -0.340919   -0.204986   0.0362079
          10    -0.38883   -0.223371   0.0369609
          11   -0.393033   -0.238794   0.0366781
          12   -0.355848   -0.248549   0.0348946
          13   -0.342519   -0.255777   0.0329506
          14   -0.381338   -0.264746   0.0317941
          15   -0.378645   -0.272339   0.0305678
          16   -0.399707     -0.2803   0.0296757
          17   -0.399515   -0.287312   0.0287467
          18   -0.383695   -0.292667   0.0276439
          19   -0.378089   -0.297163    0.026552
          20   -0.370603   -0.300835   0.0254771
          21   -0.372159   -0.304231   0.0244892
          22   -0.369548     -0.3072   0.0235554
          23   -0.346988    -0.30893   0.0225946
          24   -0.359044   -0.311018   0.0217495
          25   -0.373149   -0.313503    0.021021
          26   -0.392648   -0.316547   0.0204317
          27   -0.372511    -0.31862   0.0197798
          28   -0.388506   -0.321116   0.0192303
          29   -0.400868   -0.323866   0.0187628
          30   -0.355157   -0.324909   0.0181663
          31   -0.336329   -0.325278    0.017584
          32   -0.349479   -0.326034   0.0170508
          33   -0.344449   -0.326592   0.0165432
          34   -0.346054   -0.327164   0.0160665
          35   -0.315413   -0.326829    0.015611
          36   -0.326824   -0.326828   0.0151774
          37   -0.341071   -0.327213   0.0147721
          38   -0.368057   -0.328288   0.0144224
          39   -0.392944   -0.329946   0.0141475
          40   -0.381579   -0.331237   0.0138526
          41   -0.388807   -0.332641   0.0135857
          42   -0.387942   -0.333958   0.0133259
          43   -0.357581   -0.334507   0.0130273
          44   -0.338295   -0.334593   0.0127315
          45   -0.358518   -0.335125   0.0124597
          46   -0.373311   -0.335955   0.0122165
          47   -0.361031   -0.336489   0.0119682
          48   -0.368216    -0.33715   0.0117371
          49   -0.377457   -0.337972   0.0115263
          50    -0.37156   -0.338644   0.0113154
          51   -0.362051   -0.339103   0.0111028
          52    -0.36372   -0.339576   0.0108994
          53   -0.381675   -0.340371   0.0107226
          54   -0.416732   -0.341785   0.0106169
          55   -0.432417   -0.343433    0.010551
          56   -0.438894   -0.345137   0.0104994
          57   -0.428819   -0.346605   0.0104173
          58   -0.413882   -0.347765   0.0103021
          59   -0.416337   -0.348927   0.0101928
          60   -0.439075    -0.35043   0.0101331
          61   -0.472893   -0.352437   0.0101639
          62   -0.485257    -0.35458   0.0102232
          63   -0.478065    -0.35654   0.0102471
          64   -0.456888   -0.358108   0.0102062
          65   -0.457092   -0.359631   0.0101622
          66   -0.439486   -0.360841     0.01008
          67   -0.403488   -0.361477  0.00994963
          68   -0.391892   -0.361924  0.00981336
          69   -0.403228   -0.362523  0.00968937
          70   -0.438925   -0.363614  0.00961223
          71   -0.418909   -0.364393  0.00950835
          72   -0.404172   -0.364946  0.00939232
          73   -0.388699   -0.365271   0.0092693
          74   -0.390526   -0.365612  0.00915032
          75   -0.407989   -0.366177  0.00904574
          76   -0.395466   -0.366563  0.00893492
          77   -0.385443   -0.366808  0.00882225
          78   -0.386974   -0.367066  0.00871293
          79   -0.396988   -0.367445  0.00861087
          80   -0.400887   -0.367863  0.00851337
          81   -0.422874   -0.368542  0.00843531
          82   -0.424512   -0.369225  0.00836001
          83    -0.44994   -0.370197  0.00831566
          84    -0.47428   -0.371437  0.00830847
          85   -0.461066   -0.372491  0.00827736
          86   -0.419516   -0.373038  0.00819916
          87   -0.395331   -0.373294  0.00810892
          88   -0.397905   -0.373574  0.00802159
          89   -0.418767   -0.374081  0.00794752
          90   -0.424911   -0.374646  0.00787925
          91   -0.409928   -0.375034   0.0078022
          92   -0.395013   -0.375251  0.00772041
          93    -0.40485   -0.375569  0.00764396
          94   -0.428885   -0.376137  0.00758365
          95   -0.433677   -0.376742  0.00752797
          96   -0.446665   -0.377471  0.00748471
          97    -0.43198   -0.378033  0.00742861
          98   -0.429912   -0.378562  0.00737165
          99   -0.435063   -0.379133  0.00731925
         100   -0.450016   -0.379841   0.0072803
         101   -0.469497   -0.380729  0.00726213
         102   -0.469467   -0.381599  0.00724285
