#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.50204     1.50204           0
           2     1.51929     1.51067  0.00609725
           3     1.57935     1.53356   0.0191291
           4     1.66235     1.56576    0.031359
           5     1.70856     1.59432   0.0358041
           6     1.74367     1.61921   0.0375044
           7     1.76507     1.64005   0.0374908
           8     1.77682     1.65714    0.036495
           9     1.81272     1.67443   0.0363038
          10     1.84812      1.6918   0.0365931
          11     1.84573     1.70579   0.0358423
          12      1.8254     1.71576   0.0342133
          13     1.82267     1.72398   0.0325549
          14     1.83948     1.73223   0.0312574
          15     1.84434     1.73971   0.0300537
          16     1.85831     1.74712   0.0290751
          17     1.85844     1.75367   0.0280925
          18     1.85079     1.75906    0.027045
          19      1.8468     1.76368   0.0260128
          20     1.84859     1.76793   0.0250562
          21     1.82769     1.77077   0.0240241
          22      1.8003     1.77211   0.0229696
          23     1.81129     1.77382   0.0220339
          24     1.80371     1.77506   0.0211511
          25     1.82356       1.777   0.0203938
          26     1.80503     1.77808   0.0196379
          27     1.78374     1.77829   0.0189117
          28     1.78239     1.77844   0.0182368
          29     1.80643      1.7794   0.0176335
          30     1.80108     1.78013   0.0170605
          31     1.79243     1.78052   0.0165148
          32     1.78652     1.78071   0.0159998
          33      1.8058     1.78147    0.015533
          34     1.84683     1.78339   0.0151946
          35      1.8522     1.78536   0.0148871
          36     1.84947     1.78714   0.0145797
          37     1.81218     1.78782   0.0142014
          38     1.79974     1.78813   0.0138311
          39     1.82802     1.78915   0.0135143
          40     1.86613     1.79108   0.0133127
          41     1.87942     1.79323   0.0131612
          42     1.90973     1.79601   0.0131369
          43     1.89879      1.7984    0.013047
          44     1.88689     1.80041   0.0129046
          45     1.85775     1.80168   0.0126806
          46     1.86479     1.80305   0.0124789
          47     1.88268     1.80475   0.0123278
          48     1.84857     1.80566   0.0121048
          49     1.80078     1.80556   0.0118582
          50     1.81528     1.80576   0.0116226
          51     1.84632     1.80655   0.0114219
          52     1.85488     1.80748     0.01124
          53     1.87403     1.80874   0.0110978
          54     1.89732     1.81038   0.0110129
          55       1.908     1.81215   0.0109547
          56     1.90328     1.81378   0.0108793
          57     1.88652     1.81505    0.010763
          58     1.85865     1.81581   0.0106037
          59      1.8547     1.81647   0.0104444
          60     1.84349     1.81692   0.0102801
          61     1.86148     1.81765   0.0101375
          62     1.88669     1.81876   0.0100349
          63     1.89815     1.82002  0.00995445
          64     1.91695     1.82153  0.00991346
          65     1.90766     1.82286  0.00984909
          66     1.88837     1.82385  0.00974975
          67     1.85338     1.82429  0.00961418
          68     1.87313     1.82501  0.00949958
          69     1.90996     1.82624  0.00944135
          70     1.90338     1.82734  0.00937056
          71     1.90105     1.82838   0.0092959
          72     1.89052     1.82925  0.00920676
          73     1.88639     1.83003  0.00911386
          74     1.86013     1.83043  0.00899978
          75     1.82316     1.83034   0.0088803
          76     1.81908     1.83019  0.00876469
          77      1.8557     1.83052  0.00865713
          78     1.88333      1.8312  0.00857257
          79     1.86812     1.83167  0.00847679
          80     1.84006     1.83177  0.00837148
          81     1.85128     1.83201  0.00827159
          82     1.87748     1.83257  0.00818928
          83     1.88994     1.83326  0.00811974
          84     1.91375     1.83422  0.00807942
          85     1.89523     1.83493  0.00801619
          86     1.87929     1.83545  0.00793955
          87     1.85916     1.83572  0.00785297
          88     1.83819     1.83575  0.00776378
          89     1.82146     1.83559  0.00767821
          90     1.83645      1.8356   0.0075929
          91     1.82658      1.8355  0.00751011
          92     1.82678      1.8354  0.00742908
          93       1.812     1.83515  0.00735346
          94     1.80364     1.83482  0.00728286
          95      1.8148     1.83461  0.00720925
          96     1.82919     1.83455  0.00713437
          97     1.83355     1.83454  0.00706083
          98     1.80247     1.83421  0.00699636
          99     1.80639     1.83393  0.00693133
         100     1.80731     1.83367  0.00686713
         101     1.83831     1.83371  0.00679929
         102     1.87646     1.83413  0.00674554
         103     1.87421     1.83452  0.00669126
         104     1.83079     1.83448  0.00662702
         105     1.79883     1.83414   0.0065726
         106     1.81609     1.83397   0.0065128
         107     1.83941     1.83403  0.00645213
         108     1.80009     1.83371  0.00640004
         109     1.80029      1.8334  0.00634866
         110     1.80694     1.83316   0.0062955
         111     1.80065     1.83287   0.0062456
         112      1.8018     1.83259  0.00619599
         113     1.78606     1.83218  0.00615483
         114      1.8092     1.83198  0.00610414
         115     1.81417     1.83182  0.00605303
         116     1.83627     1.83186  0.00600097
         117     1.83774     1.83191  0.00594989
         118     1.85339      1.8321  0.00590225
         119     1.86125     1.83234  0.00585773
         120     1.85447     1.83252  0.00581182
         121     1.85335      1.8327  0.00576633
         122      1.9119     1.83335   0.0057555
         123     1.92881     1.83412   0.0057608
         124     1.91218     1.83475  0.00574863
         125     1.88077     1.83512  0.00571442
         126     1.87118     1.83541  0.00567623
         127     1.90877     1.83598  0.00566085
         128     1.92954     1.83671  0.00566362
         129     1.95418     1.83763  0.00569245
         130     1.95141      1.8385  0.00571556
         131     1.92169     1.83914  0.00570709
         132       1.894     1.83955  0.00567897
         133     1.88511     1.83989   0.0056466
         134     1.84223     1.83991  0.00560448
         135     1.79678     1.83959  0.00557207
         136      1.7754     1.83912  0.00555105
         137      1.8022     1.83885  0.00551707
         138     1.79946     1.83856  0.00548447
         139     1.81722     1.83841  0.00544716
         140     1.81048     1.83821   0.0054119
         141     1.80257     1.83796  0.00537942
         142     1.80256     1.83771  0.00534731
         143     1.77433     1.83727  0.00532826
         144     1.76603     1.83677  0.00531417
         145     1.79344     1.83647  0.00528591
         146     1.80041     1.83623  0.00525548
         147     1.82055     1.83612  0.00522081
         148     1.82315     1.83603  0.00518627
         149      1.8454     1.83609  0.00515184
         150     1.89143     1.83646  0.00513069
         151     1.91361     1.83697  0.00512208
         152     1.91169     1.83747  0.00511192
         153     1.92611     1.83805  0.00511123
         154     1.91365     1.83854  0.00510156
         155     1.89463      1.8389  0.00508147
         156     1.89157     1.83924   0.0050601
         157     1.88233     1.83951  0.00503531
         158     1.87299     1.83972  0.00500789
         159     1.84617     1.83976  0.00497656
         160     1.87035     1.83995  0.00494913
         161     1.91391     1.84041  0.00493966
         162      1.9325     1.84098  0.00494177
         163     1.90224     1.84136  0.00492572
         164     1.91115     1.84178  0.00491403
         165     1.90417     1.84216  0.00489878
         166     1.89107     1.84246  0.00487812
         167     1.90619     1.84284  0.00486382
         168     1.89999     1.84318  0.00484675
         169     1.89077     1.84346  0.00482624
         170     1.87789     1.84366   0.0048021
         171     1.87782     1.84386  0.00477817
         172     1.88826     1.84412  0.00475736
         173      1.9091      1.8445  0.00474466
         174     1.90809     1.84486  0.00473145
         175     1.89984     1.84517  0.00471483
         176     1.87373     1.84534  0.00469083
         177       1.865     1.84545  0.00466565
         178     1.84999     1.84547   0.0046395
         179     1.83102     1.84539  0.00461429
         180     1.83929     1.84536  0.00458878
         181     1.87586     1.84553  0.00456652
         182     1.86266     1.84562   0.0045424
         183     1.85743     1.84569  0.00451804
         184     1.87937     1.84587  0.00449719
         185     1.90633      1.8462  0.00448474
         186     1.91739     1.84658  0.00447693
         187     1.90619      1.8469  0.00446432
         188     1.90273     1.84719  0.00445044
         189     1.94106     1.84769  0.00445452
         190     1.95029     1.84823  0.00446369
         191     1.90703     1.84854  0.00445092
         192     1.86309     1.84861  0.00442838
         193     1.87208     1.84874  0.00440711
         194     1.89288     1.84896  0.00439026
         195     1.92462     1.84935  0.00438486
         196     1.89648     1.84959  0.00436907
         197     1.86583     1.84967  0.00434767
         198     1.87679     1.84981  0.00432787
         199     1.84769      1.8498  0.00430613
         200     1.82625     1.84968  0.00428621
         201     1.85075     1.84969  0.00426489
         202     1.88553     1.84987  0.00424747
         203     1.86674     1.84995  0.00422736
         204     1.83143     1.84986  0.00420761
         205     1.86403     1.84993  0.00418765
         206      1.9215     1.85028  0.00418171
         207     1.88377     1.85044  0.00416464
         208     1.81123     1.85025  0.00414888
         209     1.80314     1.85002  0.00413515
         210     1.86192     1.85008  0.00411585
         211     1.87021     1.85018  0.00409745
         212     1.84899     1.85017  0.00407812
         213     1.84352     1.85014   0.0040591
         214     1.86835     1.85022  0.00404102
         215     1.88476     1.85038  0.00402541
         216     1.93028     1.85075  0.00402374
         217     1.95871     1.85125  0.00403583
         218     1.92232     1.85158  0.00403046
         219     1.87382     1.85168  0.00401334
         220     1.85283     1.85168   0.0039951
         221      1.8733     1.85178  0.00397822
         222     1.89439     1.85197  0.00396493
         223     1.88897     1.85214  0.00395061
         224     1.90548     1.85238  0.00394015
         225     1.89652     1.85257  0.00392752
         226     1.91424     1.85285   0.0039196
         227     1.92214     1.85315  0.00391421
         228      1.8931     1.85333  0.00390096
         229     1.87713     1.85343  0.00388531
         230     1.87861     1.85354  0.00386996
         231      1.8737     1.85363  0.00385419
         232     1.85848     1.85365  0.00383763
         233     1.86154     1.85368  0.00382131
         234     1.92927     1.85401  0.00381861
         235     1.91076     1.85425  0.00380999
         236     1.87602     1.85434  0.00379496
         237     1.85971     1.85436  0.00377902
         238     1.84081     1.85431  0.00376357
         239      1.8696     1.85437  0.00374836
         240     1.87546     1.85446  0.00373378
         241      1.8678     1.85451  0.00371869
         242     1.83076     1.85441  0.00370462
         243     1.80465     1.85421  0.00369503
         244     1.80067     1.85399   0.0036864
         245     1.81538     1.85383  0.00367472
         246     1.80476     1.85363  0.00366519
         247     1.78833     1.85337  0.00365987
         248     1.83046     1.85328  0.00364628
         249     1.85171     1.85327  0.00363164
         250      1.8524     1.85327  0.00361712
         251     1.83051     1.85318  0.00360385
         252     1.79688     1.85295  0.00359646
         253     1.80982     1.85278  0.00358629
         254     1.82743     1.85268  0.00357356
         255     1.80707      1.8525  0.00356401
         256     1.80411     1.85231   0.0035551
         257     1.81497     1.85217  0.00354424
         258     1.79406     1.85194  0.00353765
         259     1.77165     1.85163  0.00353755
         260     1.77193     1.85133   0.0035372
         261     1.79391     1.85111  0.00353048
         262     1.79364     1.85089  0.00352382
         263     1.80795     1.85072   0.0035142
         264     1.81527     1.85059  0.00350345
         265     1.83559     1.85053  0.00349069
         266      1.8402     1.85049  0.00347778
         267     1.85425     1.85051  0.00346478
         268     1.85799     1.85054  0.00345197
         269     1.84435     1.85051  0.00343921
         270     1.86127     1.85055   0.0034267
         271     1.88467     1.85068  0.00341637
         272     1.88812     1.85082  0.00340658
         273     1.85694     1.85084  0.00339418
         274     1.82704     1.85075   0.0033829
         275     1.84151     1.85072  0.00337077
         276     1.86679     1.85078  0.00335906
         277     1.86574     1.85083  0.00334737
         278     1.82276     1.85073  0.00333685
         279     1.80443     1.85056  0.00332901
         280     1.81319     1.85043   0.0033198
         281     1.84729     1.85042    0.003308
         282     1.88378     1.85054  0.00329839
         283      1.8741     1.85062  0.00328778
         284     1.81951     1.85051  0.00327803
         285     1.80995     1.85037  0.00326961
         286     1.80571     1.85021  0.00326191
         287      1.8561     1.85023  0.00325061
         288     1.89183     1.85038  0.00324253
         289     1.89225     1.85052  0.00323454
         290     1.87222      1.8506  0.00322425
         291     1.84054     1.85056  0.00321336
