#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46459     1.46459           0
           2     1.46402     1.46431 0.000200707
           3     1.46377     1.46413 0.000198108
           4     1.46376     1.46404 0.000168246
           5     1.46389     1.46401  0.00013723
           6     1.46387     1.46398 0.000116261
           7      1.4638     1.46396 0.000102697
           8     1.46386     1.46394 9.05139e-05
           9     1.46385     1.46393  8.1089e-05
          10     1.46374     1.46391 7.51806e-05
          11     1.46389     1.46391 6.83891e-05
          12     1.46385     1.46391 6.29073e-05
          13     1.46377      1.4639 5.89407e-05
          14     1.46381     1.46389 5.50364e-05
          15     1.46379     1.46388 5.17619e-05
          16     1.46359     1.46387 5.16538e-05
          17     1.46374     1.46386 4.91481e-05
          18     1.46379     1.46385  4.6573e-05
          19     1.46367     1.46384 4.50697e-05
          20     1.46372     1.46384 4.32549e-05
          21     1.46386     1.46384  4.1203e-05
          22     1.46383     1.46384 3.93317e-05
          23     1.46371     1.46383 3.80005e-05
          24     1.46388     1.46384 3.64752e-05
          25     1.46377     1.46383 3.51136e-05
          26     1.46382     1.46383 3.37658e-05
          27     1.46383     1.46383 3.25154e-05
          28      1.4637     1.46383 3.16684e-05
          29     1.46371     1.46382 3.08497e-05
          30     1.46368     1.46382 3.01812e-05
          31     1.46379     1.46382 2.92187e-05
          32     1.46364     1.46381 2.88091e-05
          33     1.46356      1.4638 2.89177e-05
          34     1.46345     1.46379 2.98606e-05
          35      1.4637     1.46379 2.91273e-05
          36      1.4637     1.46379 2.84242e-05
          37     1.46368     1.46379 2.78029e-05
          38     1.46369     1.46378 2.71876e-05
          39     1.46359     1.46378 2.69191e-05
          40     1.46366     1.46378 2.64098e-05
          41     1.46366     1.46377 2.59091e-05
          42     1.46361     1.46377 2.55653e-05
          43     1.46377     1.46377 2.49709e-05
          44     1.46387     1.46377 2.45093e-05
          45     1.46385     1.46377 2.40295e-05
          46     1.46381     1.46377 2.35189e-05
          47     1.46381     1.46377  2.3031e-05
          48     1.46393     1.46378 2.27746e-05
          49     1.46382     1.46378 2.23266e-05
          50     1.46382     1.46378 2.18932e-05
          51     1.46387     1.46378 2.15329e-05
          52     1.46382     1.46378  2.1131e-05
          53     1.46382     1.46378 2.07423e-05
          54      1.4638     1.46378 2.03619e-05
          55     1.46379     1.46378 1.99921e-05
          56     1.46388     1.46379 1.97139e-05
          57      1.4639     1.46379 1.94662e-05
          58     1.46375     1.46379 1.91416e-05
          59      1.4638     1.46379 1.88191e-05
          60     1.46394     1.46379 1.86754e-05
          61     1.46378     1.46379 1.83704e-05
          62     1.46394     1.46379 1.82412e-05
          63      1.4639     1.46379 1.80352e-05
          64     1.46387     1.46379 1.77891e-05
          65     1.46385      1.4638 1.75345e-05
          66     1.46394      1.4638 1.73986e-05
          67     1.46382      1.4638 1.71431e-05
          68     1.46379      1.4638 1.68918e-05
          69      1.4638      1.4638 1.66471e-05
          70      1.4638      1.4638 1.64093e-05
          71     1.46385      1.4638  1.6193e-05
          72     1.46385      1.4638 1.59855e-05
          73     1.46378      1.4638 1.57695e-05
          74     1.46389      1.4638 1.56079e-05
          75     1.46395      1.4638  1.5533e-05
          76     1.46372      1.4638 1.53627e-05
          77     1.46372      1.4638 1.52016e-05
          78      1.4638      1.4638 1.50067e-05
          79     1.46388      1.4638 1.48472e-05
          80     1.46379      1.4638 1.46627e-05
          81     1.46368      1.4638 1.45532e-05
          82     1.46381      1.4638 1.43762e-05
          83     1.46372      1.4638  1.4232e-05
          84     1.46381      1.4638 1.40634e-05
          85     1.46379      1.4638  1.3898e-05
          86     1.46383      1.4638 1.37402e-05
          87     1.46381      1.4638  1.3583e-05
          88     1.46391      1.4638 1.34868e-05
          89     1.46391      1.4638  1.3393e-05
          90     1.46374      1.4638 1.32626e-05
          91     1.46379      1.4638 1.31171e-05
          92     1.46374      1.4638 1.29927e-05
          93     1.46392      1.4638  1.2922e-05
          94     1.46379      1.4638 1.27847e-05
          95     1.46369      1.4638 1.27025e-05
          96     1.46365      1.4638 1.26619e-05
          97     1.46373      1.4638 1.25519e-05
          98     1.46384      1.4638 1.24311e-05
          99     1.46369      1.4638 1.23566e-05
         100     1.46372      1.4638 1.22598e-05
         101     1.46363     1.46379 1.22481e-05
         102     1.46385      1.4638 1.21414e-05
         103     1.46372     1.46379 1.20447e-05
         104     1.46388      1.4638  1.1959e-05
         105     1.46375      1.4638 1.18517e-05
         106     1.46384      1.4638 1.17463e-05
         107     1.46383      1.4638 1.16406e-05
         108     1.46392      1.4638 1.15922e-05
         109     1.46375      1.4638 1.14928e-05
         110     1.46391      1.4638 1.14359e-05
         111     1.46384      1.4638 1.13387e-05
         112     1.46387      1.4638 1.12561e-05
         113     1.46379      1.4638 1.11568e-05
         114      1.4639      1.4638 1.10924e-05
         115     1.46389      1.4638 1.10229e-05
         116      1.4638      1.4638 1.09278e-05
         117     1.46382      1.4638 1.08364e-05
         118     1.46375      1.4638 1.07522e-05
         119     1.46387      1.4638 1.06787e-05
         120     1.46371      1.4638  1.0616e-05
         121     1.46368      1.4638 1.05752e-05
         122      1.4636      1.4638 1.06116e-05
         123     1.46367      1.4638 1.05744e-05
         124     1.46381      1.4638   1.049e-05
         125     1.46357     1.46379 1.05593e-05
         126     1.46367     1.46379 1.05195e-05
         127      1.4635     1.46379 1.06845e-05
         128     1.46349     1.46379 1.08563e-05
         129     1.46362     1.46379 1.08535e-05
         130     1.46359     1.46379 1.08748e-05
         131     1.46374     1.46379 1.07974e-05
         132     1.46362     1.46378 1.07871e-05
         133     1.46386     1.46379 1.07215e-05
         134      1.4638     1.46379 1.06422e-05
         135     1.46379     1.46379 1.05634e-05
         136     1.46389     1.46379  1.0514e-05
         137     1.46381     1.46379 1.04384e-05
         138     1.46387     1.46379 1.03812e-05
         139     1.46379     1.46379 1.03067e-05
         140     1.46396     1.46379 1.03096e-05
         141      1.4639     1.46379 1.02672e-05
         142     1.46377     1.46379 1.01961e-05
         143     1.46392     1.46379 1.01667e-05
         144     1.46376     1.46379 1.00978e-05
         145     1.46361     1.46379 1.01063e-05
         146     1.46379     1.46379 1.00371e-05
         147     1.46374     1.46379 9.97503e-06
         148     1.46378     1.46379 9.90771e-06
         149     1.46376     1.46379 9.84273e-06
         150      1.4637     1.46379 9.79588e-06
         151     1.46372     1.46379 9.74054e-06
         152     1.46373     1.46379 9.68379e-06
         153     1.46373     1.46379 9.62743e-06
         154     1.46386     1.46379 9.57545e-06
         155     1.46377     1.46379   9.514e-06
         156     1.46386     1.46379 9.46494e-06
         157     1.46383     1.46379 9.40826e-06
         158     1.46385     1.46379 9.35662e-06
         159     1.46375     1.46379 9.30037e-06
         160     1.46374     1.46379 9.24788e-06
         161     1.46367     1.46379 9.21803e-06
         162     1.46374     1.46379  9.1665e-06
         163     1.46366     1.46378 9.14497e-06
         164     1.46369     1.46378 9.10816e-06
         165     1.46374     1.46378 9.05658e-06
         166     1.46372     1.46378 9.01005e-06
         167     1.46372     1.46378 8.96534e-06
         168     1.46373     1.46378 8.91799e-06
         169     1.46373     1.46378 8.87082e-06
         170     1.46367     1.46378 8.84311e-06
         171     1.46364     1.46378 8.83253e-06
         172     1.46358     1.46378 8.85762e-06
         173     1.46346     1.46378  9.0023e-06
         174     1.46365     1.46378 8.98016e-06
         175     1.46362     1.46378 8.97156e-06
         176     1.46372     1.46378 8.92543e-06
         177     1.46368     1.46378 8.89173e-06
         178     1.46382     1.46378 8.84464e-06
         179     1.46379     1.46378 8.79539e-06
         180     1.46364     1.46378 8.77987e-06
         181     1.46361     1.46377 8.78076e-06
         182     1.46382     1.46377 8.73554e-06
         183     1.46368     1.46377 8.70371e-06
         184     1.46368     1.46377 8.67256e-06
         185     1.46369     1.46377 8.63648e-06
         186     1.46374     1.46377 8.59228e-06
         187     1.46373     1.46377 8.54901e-06
         188     1.46352     1.46377 8.60966e-06
         189     1.46352     1.46377 8.66916e-06
         190     1.46373     1.46377 8.62646e-06
         191     1.46371     1.46377 8.58697e-06
         192     1.46365     1.46377 8.56348e-06
         193     1.46372     1.46377 8.52274e-06
         194     1.46364     1.46377  8.5057e-06
         195     1.46372     1.46377 8.46531e-06
         196     1.46382     1.46377 8.42714e-06
         197     1.46377     1.46377 8.38438e-06
         198     1.46382     1.46377 8.34569e-06
         199     1.46397     1.46377 8.36677e-06
         200     1.46381     1.46377 8.32804e-06
         201     1.46379     1.46377 8.28724e-06
         202     1.46385     1.46377 8.25596e-06
         203     1.46393     1.46377 8.25148e-06
         204     1.46387     1.46377 8.22556e-06
         205     1.46359     1.46377 8.23457e-06
         206     1.46376     1.46377 8.19467e-06
         207     1.46398     1.46377 8.21568e-06
         208      1.4638     1.46377 8.17748e-06
         209     1.46369     1.46377 8.14783e-06
         210     1.46363     1.46377 8.13547e-06
         211     1.46377     1.46377 8.09692e-06
         212     1.46378     1.46377 8.05878e-06
         213     1.46376     1.46377 8.02106e-06
         214     1.46379     1.46377 7.98417e-06
         215     1.46376     1.46377 7.94712e-06
         216     1.46378     1.46377 7.91047e-06
         217     1.46377     1.46377 7.87404e-06
         218     1.46381     1.46377 7.83969e-06
         219     1.46389     1.46377  7.8244e-06
         220     1.46374     1.46377 7.79053e-06
         221     1.46365     1.46377 7.77421e-06
         222     1.46374     1.46377 7.74077e-06
         223     1.46369     1.46377 7.71438e-06
         224      1.4636     1.46377 7.71852e-06
         225     1.46366     1.46377 7.69977e-06
         226     1.46365     1.46377 7.68305e-06
         227     1.46368     1.46377 7.65825e-06
         228     1.46379     1.46377 7.62516e-06
         229     1.46379     1.46377 7.59228e-06
         230     1.46373     1.46377 7.56093e-06
         231     1.46376     1.46377 7.52822e-06
         232      1.4639     1.46377 7.51883e-06
         233      1.4637     1.46377 7.49162e-06
         234     1.46363     1.46377 7.48141e-06
         235     1.46384     1.46377 7.45618e-06
         236     1.46387     1.46377 7.43703e-06
         237     1.46374     1.46377 7.40666e-06
         238     1.46378     1.46377 7.37575e-06
         239     1.46368     1.46377 7.35354e-06
         240      1.4637     1.46377 7.32824e-06
         241      1.4639     1.46377  7.3198e-06
         242     1.46383     1.46377 7.29349e-06
         243     1.46379     1.46377 7.26415e-06
         244     1.46367     1.46377 7.24499e-06
         245     1.46374     1.46377 7.21661e-06
         246     1.46383     1.46377 7.19234e-06
         247     1.46388     1.46377 7.17759e-06
         248     1.46383     1.46377 7.15274e-06
         249     1.46384     1.46377 7.12972e-06
         250     1.46395     1.46377 7.13952e-06
         251      1.4639     1.46377 7.13082e-06
         252     1.46389     1.46377 7.11748e-06
         253     1.46382     1.46377 7.09198e-06
         254     1.46385     1.46377 7.07123e-06
         255     1.46397     1.46377 7.08762e-06
         256     1.46378     1.46377 7.06003e-06
         257     1.46378     1.46377 7.03257e-06
         258     1.46389     1.46377 7.01967e-06
         259     1.46383     1.46377 6.99582e-06
         260      1.4637     1.46377 6.97475e-06
