#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26519     1.26519           0
           2     1.07675     1.17097   0.0666262
           3     1.07753     1.13982   0.0511828
           4     1.08649     1.12649   0.0400861
           5     1.05366     1.11192   0.0346145
           6     1.05939     1.10317   0.0299323
           7      1.0663      1.0979   0.0261154
           8     1.11711      1.1003   0.0229611
           9     1.06675     1.09657   0.0207103
          10     1.05146     1.09206   0.0191242
          11      1.0396     1.08729   0.0179704
          12     1.03587     1.08301   0.0169762
          13     1.08646     1.08327   0.0156724
          14     1.03785     1.08003    0.014885
          15     1.05391     1.07829   0.0139942
          16      1.0628     1.07732    0.013153
          17      1.1055     1.07898   0.0124833
          18     1.11301     1.08087   0.0119321
          19     1.08421     1.08104   0.0113054
          20     1.12145     1.08306   0.0109191
          21     1.05891     1.08191   0.0104595
          22     1.04008     1.08001   0.0101554
          23     1.06153     1.07921  0.00974564
          24     1.07926     1.07921  0.00933958
          25     1.02632      1.0771  0.00920247
          26     1.02313     1.07502  0.00907961
          27     1.08653     1.07545  0.00875333
          28     1.05895     1.07486  0.00846051
          29     1.05272     1.07409  0.00820314
          30     1.08836     1.07457  0.00794347
          31     1.10775     1.07564    0.007759
          32     1.05217     1.07491   0.0075511
          33     1.05542     1.07432  0.00734534
          34     1.01149     1.07247  0.00735808
          35     1.06678     1.07231  0.00714964
          36     1.07058     1.07226   0.0069512
          37     1.08176     1.07251  0.00676807
          38     1.07115     1.07248  0.00659006
          39     1.07496     1.07254  0.00642139
          40     1.07398     1.07258  0.00626096
          41     1.06481     1.07239  0.00611112
          42     1.09188     1.07285  0.00598322
          43     1.09129     1.07328  0.00585942
          44     1.08294      1.0735  0.00573036
          45     1.10479      1.0742  0.00564505
          46     1.12438     1.07529  0.00562677
          47     1.04616     1.07467  0.00554108
          48     1.13185     1.07586  0.00555224
          49     1.07364     1.07581  0.00543912
          50     1.09029      1.0761  0.00533803
          51     1.06835     1.07595  0.00523553
          52     1.03173      1.0751  0.00520345
          53      1.0628     1.07487  0.00511044
          54     1.08584     1.07507  0.00501984
          55     1.10273     1.07557  0.00495369
          56     1.05042     1.07513  0.00488555
          57     1.05694     1.07481  0.00481025
          58     1.02487     1.07395  0.00480374
          59     1.00458     1.07277  0.00486406
          60       1.077     1.07284   0.0047835
          61     1.06513     1.07271  0.00470675
          62     1.09272     1.07304  0.00464189
          63      1.0216     1.07222  0.00463945
          64     1.09014      1.0725   0.0045754
          65      1.0516     1.07218  0.00451629
          66     1.07044     1.07215  0.00444794
          67     1.11698     1.07282  0.00443158
          68     1.05775      1.0726  0.00437195
          69     1.04433     1.07219  0.00432775
          70     1.07635     1.07225  0.00426633
          71     1.03223     1.07169  0.00424331
          72     1.04395      1.0713  0.00420182
          73     1.03549     1.07081   0.0041728
          74     1.01308     1.07003   0.0041887
          75     1.07313     1.07007  0.00413306
          76     1.10559     1.07054  0.00410501
          77     1.07753     1.07063   0.0040527
          78     1.05084     1.07038  0.00400868
          79     1.07206      1.0704  0.00395799
          80     1.11859       1.071  0.00395409
          81     1.04337     1.07066  0.00391996
          82     1.05798      1.0705   0.0038752
          83     1.09895     1.07085  0.00384364
          84     1.04759     1.07057  0.00380784
          85      1.1342     1.07132  0.00383593
          86     1.01044     1.07061  0.00385609
          87     1.04488     1.07031   0.0038231
          88     1.10754     1.07074  0.00380299
          89     1.06962     1.07072  0.00376028
          90      1.0664     1.07068  0.00371881
          91     1.05331     1.07049  0.00368283
          92     1.05386     1.07031  0.00364723
          93     1.05544     1.07015  0.00361152
          94     1.06764     1.07012   0.0035732
          95     1.10799     1.07052  0.00355775
          96     1.05211     1.07033  0.00352585
          97     1.03901        1.07  0.00350426
          98     1.10943     1.07041  0.00349152
          99     1.07303     1.07043  0.00345635
         100     1.05037     1.07023   0.0034276
         101     1.10661     1.07059  0.00341254
         102      1.0562     1.07045    0.003382
         103     1.09132     1.07065  0.00335523
