#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.36596    -3.36596           0
           2    -3.36182    -3.36389  0.00146284
           3    -3.36249    -3.36342  0.00104696
           4    -3.36307    -3.36334 0.000789064
           5    -3.36212    -3.36309 0.000667428
           6    -3.36385    -3.36322 0.000567969
           7    -3.36168      -3.363 0.000527661
           8    -3.35886    -3.36248 0.000668742
           9    -3.36157    -3.36238 0.000602067
          10     -3.3632    -3.36246 0.000547372
          11    -3.36406    -3.36261 0.000516539
          12    -3.36243    -3.36259  0.00047371
          13     -3.3665    -3.36289 0.000524019
          14     -3.3627    -3.36288 0.000486762
          15    -3.36142    -3.36278 0.000463936
          16    -3.36415    -3.36287 0.000442721
          17    -3.36555    -3.36303 0.000443942
          18    -3.36034    -3.36288 0.000443714
          19    -3.36425    -3.36295 0.000426205
          20     -3.3637    -3.36299 0.000406551
          21    -3.36016    -3.36285  0.00040892
          22    -3.35972    -3.36271 0.000414353
          23    -3.35848    -3.36252 0.000435261
          24    -3.36313    -3.36255 0.000417854
          25    -3.36396    -3.36261 0.000404928
          26    -3.36393    -3.36266 0.000392549
          27    -3.36273    -3.36266  0.00037802
          28    -3.36437    -3.36272 0.000369431
          29    -3.36386    -3.36276 0.000358774
          30    -3.36684     -3.3629 0.000371688
          31    -3.35996     -3.3628 0.000371596
          32    -3.36127    -3.36275 0.000363045
          33    -3.36273    -3.36275 0.000352044
          34    -3.36594    -3.36285  0.00035393
          35    -3.36392    -3.36288 0.000345151
          36    -3.36093    -3.36282 0.000339778
          37    -3.36297    -3.36283 0.000330616
          38    -3.36459    -3.36287 0.000325155
          39    -3.36491    -3.36293 0.000320978
          40     -3.3637    -3.36295 0.000313533
          41    -3.36197    -3.36292 0.000306796
          42    -3.36381    -3.36294 0.000300226
          43    -3.36414    -3.36297 0.000294534
          44    -3.36294    -3.36297 0.000287841
          45    -3.36114    -3.36293 0.000284313
          46    -3.36272    -3.36292 0.000278167
          47    -3.36312    -3.36293  0.00027228
          48    -3.36505    -3.36297 0.000270164
          49    -3.36568    -3.36303 0.000270235
          50    -3.36559    -3.36308 0.000269654
          51    -3.36408     -3.3631 0.000265076
          52    -3.36503    -3.36314 0.000262568
          53      -3.366    -3.36319 0.000263112
          54    -3.36352     -3.3632 0.000258312
          55    -3.36393    -3.36321 0.000253963
          56     -3.3631    -3.36321 0.000249435
          57    -3.36413    -3.36322 0.000245583
          58    -3.36074    -3.36318  0.00024505
          59     -3.3623    -3.36317 0.000241351
          60    -3.36655    -3.36322 0.000243829
          61    -3.36357    -3.36323 0.000239899
          62    -3.36513    -3.36326 0.000237978
          63    -3.36274    -3.36325 0.000234343
          64    -3.36348    -3.36325 0.000230708
          65    -3.36542    -3.36329 0.000229554
          66     -3.3662    -3.36333 0.000230273
          67     -3.3666    -3.36338 0.000231947
          68    -3.36414    -3.36339 0.000228806
          69    -3.36307    -3.36339 0.000225538
          70    -3.36602    -3.36342 0.000225426
          71    -3.36408    -3.36343 0.000222441
          72    -3.36111     -3.3634 0.000221687
          73    -3.36376    -3.36341 0.000218705
          74    -3.36462    -3.36342 0.000216366
          75    -3.36336    -3.36342 0.000213482
          76    -3.36458    -3.36344 0.000211214
          77    -3.36169    -3.36341 0.000209684
          78    -3.36193     -3.3634 0.000207855
          79    -3.36475    -3.36341 0.000205925
          80    -3.36468    -3.36343 0.000203959
          81    -3.36211    -3.36341 0.000202091
          82    -3.36117    -3.36339 0.000201465
          83    -3.36353    -3.36339 0.000199046
          84     -3.3644     -3.3634 0.000197042
          85    -3.36353     -3.3634  0.00019473
          86    -3.36656    -3.36344 0.000195893
          87    -3.36343    -3.36344 0.000193641
          88    -3.36465    -3.36345 0.000191931
          89    -3.36325    -3.36345 0.000189787
          90      -3.365    -3.36347 0.000188461
          91    -3.36148    -3.36344 0.000187644
          92    -3.36099    -3.36342 0.000187494
          93    -3.36516    -3.36344 0.000186413
          94    -3.36809    -3.36349 0.000190884
          95    -3.36651    -3.36352 0.000191511
          96    -3.36254    -3.36351 0.000189784
          97    -3.36213    -3.36349 0.000188362
          98    -3.36228    -3.36348 0.000186848
          99    -3.36155    -3.36346 0.000185973
         100    -3.36098    -3.36344 0.000185766
         101    -3.36398    -3.36344 0.000184003
         102    -3.36541    -3.36346 0.000183205
         103    -3.36618    -3.36349 0.000183322
         104    -3.36252    -3.36348 0.000181794
         105    -3.35778    -3.36342 0.000187994
         106    -3.36336    -3.36342 0.000186222
         107    -3.35896    -3.36338 0.000189101
         108     -3.3584    -3.36334 0.000192886
         109     -3.3672    -3.36337 0.000194347
         110    -3.36677     -3.3634 0.000195018
         111     -3.3657    -3.36342  0.00019436
         112    -3.36342    -3.36342 0.000192625
         113    -3.36514    -3.36344  0.00019152
         114    -3.36746    -3.36347  0.00019306
         115    -3.36161    -3.36346 0.000192056
         116    -3.36176    -3.36344 0.000190957
         117    -3.36047    -3.36342  0.00019101
         118    -3.36047    -3.36339 0.000191021
         119    -3.36238    -3.36338 0.000189606
         120    -3.36127    -3.36337  0.00018884
