#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65452    -6.65452           0
           2    -6.69436    -6.67444   0.0140837
           3    -6.67598    -6.67495  0.00939846
           4    -6.69391    -6.67969  0.00815716
           5    -6.68298    -6.68035  0.00655222
           6    -6.68989    -6.68194  0.00564986
           7    -6.68567    -6.68247  0.00486788
           8    -6.68516    -6.68281  0.00427095
           9    -6.69438    -6.68409  0.00398531
          10    -6.67782    -6.68347  0.00363592
          11    -6.69638    -6.68464  0.00348981
          12    -6.70666    -6.68648  0.00364979
          13    -6.65702    -6.68421  0.00401099
          14    -6.68456    -6.68424  0.00372456
          15    -6.66787    -6.68314  0.00363258
          16    -6.68033    -6.68297  0.00340981
          17    -6.68804    -6.68327  0.00322229
          18    -6.70105    -6.68425  0.00319116
          19    -6.66811     -6.6834  0.00313431
          20    -6.70051    -6.68426  0.00309202
          21    -6.67313    -6.68373  0.00298986
          22    -6.66317     -6.6828  0.00299649
          23    -6.68879    -6.68306  0.00287751
          24    -6.70544    -6.68399  0.00290485
          25    -6.69371    -6.68438  0.00281454
          26    -6.67409    -6.68398  0.00273396
          27    -6.66251    -6.68319  0.00274594
          28    -6.69396    -6.68357  0.00267471
          29    -6.69196    -6.68386  0.00259808
          30    -6.68589    -6.68393  0.00251236
          31    -6.68734    -6.68404  0.00243373
          32    -6.69988    -6.68453  0.00240752
          33    -6.67644    -6.68429  0.00234702
          34    -6.68708    -6.68437  0.00227943
          35    -6.67186    -6.68401  0.00224217
          36    -6.71112    -6.68477  0.00230283
          37    -6.68253    -6.68471  0.00224139
          38    -6.69009    -6.68485  0.00218688
          39    -6.69335    -6.68506  0.00214166
          40    -6.67745    -6.68487  0.00209656
          41    -6.67258    -6.68457  0.00206677
          42    -6.64772     -6.6837  0.00219599
          43    -6.68872    -6.68381  0.00214802
          44     -6.6797    -6.68372  0.00210123
          45    -6.67622    -6.68355  0.00206114
          46    -6.68565     -6.6836  0.00201684
          47    -6.69934    -6.68393  0.00200155
          48    -6.66907    -6.68362  0.00198366
          49    -6.67887    -6.68353  0.00194555
          50    -6.68481    -6.68355  0.00190681
          51    -6.67825    -6.68345  0.00187226
          52    -6.69035    -6.68358  0.00184094
          53     -6.6955    -6.68381   0.0018199
          54    -6.65745    -6.68332  0.00185049
          55    -6.70475    -6.68371  0.00185743
          56    -6.69152    -6.68385  0.00182949
          57    -6.66507    -6.68352   0.0018268
          58    -6.66538    -6.68321  0.00182188
          59    -6.68672    -6.68327  0.00179197
          60    -6.68072    -6.68322  0.00176261
          61    -6.68359    -6.68323  0.00173372
          62     -6.6931    -6.68339  0.00171306
          63     -6.6765    -6.68328  0.00168935
          64    -6.67642    -6.68317  0.00166635
          65    -6.69238    -6.68331  0.00164672
          66    -6.67424    -6.68318  0.00162749
