#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.003296    0.003296           0
           2   -0.002158    0.000569  0.00192828
           3    0.001646    0.000928  0.00131852
           4     0.00169   0.0011185  0.00100255
           5   -0.005868  -0.0002788    0.001485
           6     0.00215    0.000126   0.0012915
           7   -0.000418 4.82857e-05  0.00110933
           8    0.001124  0.00018275 0.000978781
           9    0.001536 0.000333111 0.000881502
          10     0.00496   0.0007958 0.000906686
          11   -0.000506 0.000677455 0.000831948
          12   -0.000546   0.0005755 0.000768841
          13    -0.00025    0.000512 0.000712316
          14   -0.005416 8.85714e-05 0.000777164
          15    0.000548   0.0001192 0.000725956
          16    0.001804   0.0002245 0.000688178
          17    0.000248 0.000225882 0.000647699
          18    0.000628 0.000248222 0.000612101
          19    0.002402 0.000361579 0.000590288
          20   -0.002508   0.0002181 0.000577948
