#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.320028   -0.320028           0
           2   -0.319336   -0.319682 0.000244659
           3   -0.319464   -0.319609 0.000173562
           4   -0.322888   -0.320429 0.000721689
           5   -0.321456   -0.320634 0.000605876
           6   -0.321036   -0.320701  0.00050858
           7   -0.320516   -0.320675 0.000436615
           8   -0.322264   -0.320873 0.000424829
           9    -0.32096   -0.320883 0.000377734
          10    -0.31952   -0.320747 0.000363725
          11   -0.321004    -0.32077  0.00033141
          12   -0.319272   -0.320645 0.000326463
          13    -0.31996   -0.320593 0.000305577
          14   -0.321008   -0.320622 0.000285187
          15   -0.322324   -0.320736 0.000287856
          16   -0.320556   -0.320724 0.000270084
          17   -0.320896   -0.320735 0.000254385
          18   -0.320936   -0.320746 0.000240499
          19   -0.319344   -0.320672  0.00023889
          20   -0.322324   -0.320755 0.000240802
