#   N_BLOCK:  ACCEPTANCE:
           1     5.2e-05
           2     2.6e-05
           3 1.73333e-05
           4     1.3e-05
           5    1.04e-05
           6 8.66667e-06
           7 7.42857e-06
           8     6.5e-06
           9 5.77778e-06
          10     5.2e-06
          11 4.72727e-06
          12 4.33333e-06
          13       4e-06
          14 3.71429e-06
          15 3.46667e-06
          16    3.25e-06
          17 3.05882e-06
          18 2.88889e-06
          19 2.73684e-06
          20     2.6e-06
