#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.01989    -1.01989           0
           2       -1.02    -1.01995 3.75474e-05
           3       -1.02    -1.01996  2.8904e-05
           4       -1.02    -1.01997  2.2993e-05
           5       -1.02    -1.01998 1.89976e-05
           6       -1.02    -1.01998 1.61578e-05
           7       -1.02    -1.01998  1.4046e-05
           8       -1.02    -1.01999 1.24176e-05
           9       -1.02    -1.01999 1.11251e-05
          10       -1.02    -1.01999  1.0075e-05
          11       -1.02    -1.01999 9.20525e-06
          12       -1.02    -1.01999 8.47323e-06
          13       -1.02    -1.01999 7.84874e-06
          14       -1.02    -1.01999 7.30978e-06
          15       -1.02    -1.01999 6.83993e-06
          16       -1.02    -1.01999 6.42673e-06
          17       -1.02    -1.01999 6.06054e-06
          18       -1.02    -1.01999 5.73377e-06
          19       -1.02    -1.01999  5.4404e-06
          20       -1.02    -1.01999 5.17555e-06
