#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      49.982      49.982           0
           2          50      49.991  0.00635548
           3          50      49.994  0.00489245
           4          50     49.9955  0.00389192
           5          50     49.9964  0.00321564
           6          50      49.997  0.00273496
           7          50     49.9974  0.00237751
           8          50     49.9978  0.00210188
           9          50      49.998   0.0018831
          10          50     49.9982  0.00170535
          11          50     49.9984  0.00155813
          12          50     49.9985  0.00143423
          13          50     49.9986  0.00132852
          14          50     49.9987  0.00123729
          15          50     49.9988  0.00115776
          16          50     49.9989  0.00108782
          17          50     49.9989  0.00102584
          18          50      49.999  0.00097053
          19          50     49.9991 0.000920871
          20          50     49.9991 0.000876042
