#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01809     0.01809           0
           2    0.010592    0.014341  0.00265094
           3    0.011716    0.013466  0.00190624
           4    0.012288   0.0131715  0.00145225
           5    0.012972   0.0131316  0.00116235
           6    0.014134   0.0132987 0.000980557
           7    0.013946   0.0133911 0.000844827
           8    0.011624   0.0131703 0.000767558
           9    0.018122   0.0137204 0.000857075
          10    0.014578   0.0138062 0.000775645
          11    0.010874   0.0135396 0.000749538
          12     0.01279   0.0134772 0.000689675
          13    0.015284   0.0136162 0.000650477
          14    0.008262   0.0132337 0.000707564
          15    0.010522   0.0130529 0.000683097
          16    0.014712   0.0131566 0.000648226
          17    0.017258   0.0133979  0.00065345
          18    0.012208   0.0133318 0.000620482
          19    0.010612   0.0131886 0.000604111
          20    0.010946   0.0130765  0.00058422
