#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0971968   0.0971968           0
           2   0.0971897   0.0971933 2.52824e-06
           3   0.0973133   0.0972333 3.27055e-05
           4   0.0969639   0.0971659 6.32741e-05
           5   0.0969498   0.0971227 6.36916e-05
           6   0.0970573   0.0971118 5.40003e-05
           7   0.0970451   0.0971023  4.7119e-05
           8    0.096914   0.0970787 4.67378e-05
           9   0.0970915   0.0970802 4.15664e-05
          10   0.0971499   0.0970871 3.79903e-05
          11   0.0971694   0.0970946 3.52641e-05
          12   0.0972165   0.0971048 3.37555e-05
          13   0.0971795   0.0971105 3.16446e-05
          14   0.0971094   0.0971104 2.93844e-05
          15   0.0969124   0.0970972 3.02475e-05
          16   0.0970924   0.0970969 2.83585e-05
          17    0.097094   0.0970968 2.66909e-05
          18   0.0970143   0.0970922 2.55977e-05
          19   0.0971069    0.097093 2.42622e-05
          20   0.0970262   0.0970896 2.32777e-05
