#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4996.93     4996.93           0
           2        5000     4998.47     1.08428
           3        5000     4998.98    0.834677
           4        5000     4999.23    0.663982
           5        5000     4999.39    0.548606
           6        5000     4999.49    0.466599
           7        5000     4999.56    0.405615
           8        5000     4999.62    0.358591
           9        5000     4999.66    0.321267
          10        5000     4999.69    0.290942
          11        5000     4999.72    0.265825
          12        5000     4999.74    0.244686
          13        5000     4999.76    0.226653
          14        5000     4999.78    0.211089
          15        5000      4999.8    0.197521
          16        5000     4999.81    0.185589
          17        5000     4999.82    0.175014
          18        5000     4999.83    0.165577
          19        5000     4999.84    0.157105
          20        5000     4999.85    0.149457
