#   N_BLOCK:  ACCEPTANCE:
           1    0.000214
           2    0.000107
           3 7.13333e-05
           4    5.35e-05
           5    4.28e-05
           6 3.56667e-05
           7 3.05714e-05
           8   2.675e-05
           9 2.37778e-05
          10    2.14e-05
          11 1.94545e-05
          12 1.78333e-05
          13 1.64615e-05
          14 1.52857e-05
          15 1.42667e-05
          16  1.3375e-05
          17 1.25882e-05
          18 1.18889e-05
          19 1.12632e-05
          20    1.07e-05
