#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.132608    0.132608           0
           2           0    0.066304    0.046884
           3           0   0.0442027   0.0360913
           4           0    0.033152   0.0287105
           5           0   0.0265216   0.0237216
           6           0   0.0221013   0.0201757
           7           0    0.018944   0.0175387
           8           0    0.016576   0.0155054
           9           0   0.0147342   0.0138916
          10           0   0.0132608   0.0125803
          11           0   0.0120553   0.0114943
          12           0   0.0110507   0.0105802
          13           0   0.0102006  0.00980043
          14           0    0.009472  0.00912745
          15           0  0.00884053  0.00854077
          16           0    0.008288  0.00802482
          17           0  0.00780047  0.00756757
          18           0  0.00736711  0.00715955
          19           0  0.00697937  0.00679322
          20           0   0.0066304  0.00646251
