#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4999.56     4999.56           0
           2        5000     4999.78    0.156412
           3        5000     4999.85    0.120406
           4        5000     4999.89   0.0957824
           5        5000     4999.91   0.0791389
           6        5000     4999.93    0.067309
           7        5000     4999.94   0.0585118
           8        5000     4999.94   0.0517284
           9        5000     4999.95   0.0463443
          10        5000     4999.96   0.0419698
          11        5000     4999.96   0.0383465
          12        5000     4999.96   0.0352971
          13        5000     4999.97   0.0326957
          14        5000     4999.97   0.0304505
          15        5000     4999.97   0.0284933
          16        5000     4999.97    0.026772
          17        5000     4999.97   0.0252465
          18        5000     4999.98   0.0238853
          19        5000     4999.98   0.0226632
          20        5000     4999.98   0.0215599
