#   N_BLOCK:  ACCEPTANCE:
           1    0.000154
           2     7.7e-05
           3 5.13333e-05
           4    3.85e-05
           5    3.08e-05
           6 2.56667e-05
           7     2.2e-05
           8   1.925e-05
           9 1.71111e-05
          10    1.54e-05
          11     1.4e-05
          12 1.28333e-05
          13 1.18462e-05
          14     1.1e-05
          15 1.02667e-05
          16   9.625e-06
          17 9.05882e-06
          18 8.55556e-06
          19 8.10526e-06
          20     7.7e-06
