Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.10;	1;	0;	0;	0;	500;	0;	-1;	0
0.11;	1;	0;	0;	0;	454.545;	7.62939e-07;	-1;	0
0.12;	1;	0;	0;	0;	416.667;	1.32145e-06;	-1;	0
0.13;	1;	0;	0;	0;	384.615;	1.32145e-06;	-1;	0
0.14;	1;	0;	0;	0;	357.143;	2.32039e-06;	-1;	0
0.15;	1;	0;	0;	0;	333.333;	1.07896e-06;	-1;	0
0.16;	1;	0;	0;	0;	312.5;	0;	-1;	0
0.17;	1;	0;	0;	0;	294.118;	1.61844e-06;	-1;	0
0.18;	1;	0;	0;	0;	277.778;	1.86881e-06;	-1;	0
0.19;	1;	0;	0;	0;	263.158;	7.62939e-07;	-1;	0
0.20;	1;	0;	0;	0;	250;	0;	-1;	0
0.21;	1;	0;	0;	0;	238.095;	1.11217e-06;	-1;	0
0.22;	1;	0;	0;	0;	227.273;	3.8147e-07;	-1;	0
0.23;	1;	0;	0;	0;	217.391;	6.03157e-07;	-1;	0
0.24;	1;	0;	0;	0;	208.333;	6.60725e-07;	-1;	0
0.25;	1;	0;	0;	0;	200;	0;	-1;	0
0.26;	1;	0;	0;	0;	192.308;	6.60725e-07;	-1;	0
0.27;	1;	0;	0;	0;	185.185;	1.11217e-06;	-1;	0
0.28;	0.999993;	5.52464e-06;	0.000446327;	0.000323951;	178.569;	0.00189452;	-0.999991;	6.38949e-06
0.29;	0.999992;	5.57982e-06;	0.000530036;	0.000311987;	172.411;	0.00184832;	-0.999989;	6.59891e-06
0.30;	0.999991;	5.58799e-06;	0.000530809;	0.000293069;	166.664;	0.00178946;	-0.999988;	6.63325e-06
0.31;	0.999984;	7.22219e-06;	0.000828703;	0.000342061;	161.285;	0.00223293;	-0.99998;	8.26559e-06
0.32;	0.923884;	0.0366009;	0.0182771;	0.00942587;	155.325;	0.542722;	-0.99939;	0.000331134
0.33;	0.92385;	0.0366002;	0.0182892;	0.00886304;	150.609;	0.526145;	-0.99936;	0.000331007
0.34;	0.923209;	0.0365906;	0.023685;	0.00930402;	146.019;	0.523977;	-0.999146;	0.000360421
0.35;	0.923095;	0.0365932;	0.0232542;	0.00912783;	141.818;	0.523118;	-0.999099;	0.000379576
0.36;	0.92208;	0.0365747;	0.0302932;	0.00948933;	137.651;	0.52337;	-0.998811;	0.000404015
0.37;	-0.162086;	0.0971781;	0.041812;	0.0114197;	133.115;	0.689493;	-0.99817;	0.00054607
0.38;	-0.161433;	0.0967732;	0.0551747;	0.0125267;	128.825;	0.77845;	-0.997434;	0.000637191
0.39;	0.0805344;	0.0964242;	0.0764951;	0.0140552;	124.194;	0.933583;	-0.99617;	0.000776428
0.40;	0.630004;	0.073713;	0.073738;	0.0131863;	121.083;	0.92087;	-0.996141;	0.000771655
0.41;	0.308133;	0.0891605;	0.112684;	0.0158008;	114.126;	1.53197;	-0.992432;	0.00133042
0.42;	0.287374;	0.0887685;	0.131539;	0.0164296;	109.68;	1.66173;	-0.990611;	0.00148714
0.43;	-0.220547;	0.0885915;	0.153234;	0.01567;	104.956;	1.77034;	-0.988656;	0.00154407
0.44;	-0.22326;	0.0869953;	0.174007;	0.0159566;	100.544;	1.86546;	-0.98649;	0.00165696
0.45;	-0.147401;	0.086181;	0.202387;	0.0162003;	95.6696;	1.92512;	-0.983684;	0.00173402
0.46;	-0.211568;	0.0824836;	0.224548;	0.0148774;	90.2733;	2.00075;	-0.980258;	0.00182344
0.47;	-0.205706;	0.0793585;	0.250794;	0.0147925;	84.2497;	2.17083;	-0.975954;	0.0019727
0.48;	-0.219399;	0.078083;	0.249495;	0.0143107;	81.3904;	2.25427;	-0.974447;	0.00210099
0.49;	-0.282696;	0.073829;	0.266345;	0.013112;	76.7758;	2.22271;	-0.97093;	0.00210342
0.50;	-0.250696;	0.071565;	0.279325;	0.0117468;	71.6633;	2.28276;	-0.966486;	0.00219706
0.51;	-0.121594;	0.0733599;	0.292388;	0.0119656;	70.0253;	2.08868;	-0.965334;	0.00213254
0.52;	-0.0212472;	0.0694084;	0.311366;	0.0119992;	64.7639;	2.04024;	-0.959982;	0.00214149
0.53;	-0.016352;	0.0668071;	0.321799;	0.0116355;	60.9621;	2.00568;	-0.956216;	0.00217688
0.54;	0.0388668;	0.0644971;	0.320685;	0.0116118;	58.484;	1.98598;	-0.95385;	0.00220552
0.55;	0.01581;	0.0620764;	0.33746;	0.0111487;	55.3469;	1.87827;	-0.949932;	0.00212681
0.56;	-0.0270468;	0.0592509;	0.340222;	0.0102469;	51.8744;	1.80341;	-0.946216;	0.0020389
0.57;	-0.031298;	0.0570988;	0.343164;	0.010063;	49.1137;	1.76371;	-0.942734;	0.00205709
0.58;	-0.0244004;	0.0547532;	0.35115;	0.0104693;	46.2454;	1.65495;	-0.938549;	0.00199991
0.59;	-0.0379064;	0.0533726;	0.354709;	0.00998357;	45.0281;	1.59864;	-0.936469;	0.00198917
0.60;	-0.0702912;	0.0499034;	0.360081;	0.0105192;	41.8032;	1.57683;	-0.931291;	0.00203628
0.61;	-0.102246;	0.0468176;	0.379721;	0.011364;	39.9021;	1.41697;	-0.92729;	0.00188456
0.62;	-0.106601;	0.0445649;	0.392207;	0.0105395;	38.5772;	1.31387;	-0.924324;	0.00182411
0.63;	-0.0828404;	0.0417817;	0.393862;	0.0101764;	36.2272;	1.28764;	-0.919789;	0.00184036
0.64;	-0.068054;	0.0398185;	0.395706;	0.0096206;	33.9643;	1.22503;	-0.915789;	0.00179929
0.65;	-0.0495836;	0.0396177;	0.398617;	0.0092688;	32.2665;	1.12245;	-0.91212;	0.00173507
0.66;	-0.0630108;	0.0367033;	0.402287;	0.0087369;	30.7177;	1.03114;	-0.90877;	0.00158473
0.67;	-0.048818;	0.0355683;	0.41228;	0.00877484;	29.7675;	0.96046;	-0.905462;	0.0015445
0.68;	-0.055476;	0.0330241;	0.416213;	0.00804993;	27.8254;	0.92213;	-0.900519;	0.00160211
0.69;	-0.043152;	0.0317854;	0.418356;	0.00775425;	26.1547;	0.840104;	-0.896222;	0.00143485
0.70;	-0.0282924;	0.0302277;	0.422432;	0.00736052;	24.334;	0.777695;	-0.891302;	0.0013725
0.71;	-0.0117932;	0.027382;	0.42805;	0.00740341;	22.9397;	0.758172;	-0.886101;	0.00142778
0.72;	-0.0175908;	0.0258346;	0.430829;	0.00726215;	21.8201;	0.684793;	-0.882441;	0.00136907
0.73;	-0.0068168;	0.0243418;	0.42686;	0.00731727;	20.9081;	0.653687;	-0.878587;	0.00132696
0.74;	-0.0163052;	0.0250399;	0.431827;	0.00670991;	20.7641;	0.625962;	-0.875706;	0.00128288
0.75;	-0.0098848;	0.0234888;	0.429857;	0.00650446;	19.4737;	0.577868;	-0.870356;	0.00124552
0.76;	-0.0193216;	0.0216534;	0.428619;	0.00576201;	18.0804;	0.505351;	-0.864943;	0.00122375
0.77;	-0.0202336;	0.0206113;	0.430926;	0.00592913;	17.362;	0.45544;	-0.860687;	0.00122421
0.78;	-0.0244668;	0.0196754;	0.430407;	0.00582008;	16.4908;	0.41832;	-0.856007;	0.00120909
0.79;	-0.0225596;	0.0181931;	0.430072;	0.00582549;	15.7046;	0.405035;	-0.851909;	0.00115447
0.80;	-0.0214264;	0.0169602;	0.430675;	0.00561791;	14.8077;	0.375474;	-0.847325;	0.00114727
0.81;	-0.034754;	0.0168845;	0.43419;	0.0053433;	14.5318;	0.367157;	-0.843631;	0.00114161
0.82;	-0.02585;	0.0167604;	0.436523;	0.00537666;	13.8755;	0.349384;	-0.839576;	0.00112877
0.83;	-0.0146368;	0.0161266;	0.437148;	0.00533425;	13.3443;	0.332451;	-0.834838;	0.00111538
0.84;	-0.0167224;	0.0156685;	0.437748;	0.00519712;	12.6683;	0.326036;	-0.83015;	0.00108953
0.85;	-0.0126428;	0.0153841;	0.436102;	0.00499211;	12.1794;	0.300103;	-0.82625;	0.00101552
0.86;	-0.0118028;	0.0142163;	0.435033;	0.00502038;	11.5644;	0.281909;	-0.82127;	0.00102691
0.87;	-0.0094348;	0.0133872;	0.434648;	0.00470009;	11.0383;	0.286328;	-0.816923;	0.000998935
0.88;	-0.0097168;	0.0128426;	0.432581;	0.00428099;	10.8447;	0.263144;	-0.81272;	0.00102177
0.89;	-0.008806;	0.0127132;	0.433907;	0.00443636;	10.5504;	0.265167;	-0.808947;	0.000997157
0.90;	-0.0040128;	0.0125628;	0.431068;	0.00443663;	10.0445;	0.243909;	-0.804657;	0.000950276
0.91;	-0.002672;	0.0119608;	0.428197;	0.00425358;	9.79522;	0.226548;	-0.801033;	0.000935672
0.92;	-0.0002364;	0.0112042;	0.427162;	0.00404492;	9.37728;	0.202848;	-0.796312;	0.000890505
0.93;	0.0061636;	0.0111129;	0.424938;	0.00399265;	9.04162;	0.192661;	-0.791702;	0.000894186
0.94;	0.0027652;	0.0109361;	0.42201;	0.00385961;	8.74231;	0.180978;	-0.787053;	0.000839567
0.95;	0.0042716;	0.010255;	0.419801;	0.00365916;	8.37931;	0.178452;	-0.782491;	0.00085981
0.96;	0.0009012;	0.0100048;	0.418853;	0.00337477;	8.15638;	0.170447;	-0.778069;	0.000823283
0.97;	0.0004724;	0.00947666;	0.416954;	0.00305683;	7.93225;	0.161944;	-0.774251;	0.000777726
0.98;	-0.0043808;	0.00886944;	0.416429;	0.00333638;	7.69533;	0.145444;	-0.770232;	0.00074503
0.99;	-0.002836;	0.00857081;	0.413135;	0.00327253;	7.48555;	0.137279;	-0.766046;	0.000776645
1.00;	0.0034676;	0.00835982;	0.413902;	0.00325049;	7.32472;	0.129749;	-0.761905;	0.000809528
1.01;	0.0024368;	0.00821604;	0.412173;	0.00332766;	7.1288;	0.122338;	-0.758114;	0.000856218
1.02;	-0.000558;	0.00802405;	0.411045;	0.00330811;	6.91118;	0.118309;	-0.754088;	0.000846936
1.03;	0.000136;	0.00819954;	0.409411;	0.00332514;	6.81647;	0.120332;	-0.750753;	0.000837597
1.04;	-0.000128;	0.00767852;	0.407379;	0.0033622;	6.68727;	0.119441;	-0.747055;	0.000865586
1.05;	0.0006676;	0.00761082;	0.404511;	0.0032446;	6.53996;	0.116171;	-0.743261;	0.000836429
1.06;	0.0012344;	0.00740937;	0.400578;	0.00309824;	6.35327;	0.109639;	-0.739022;	0.000828923
1.07;	-0.001218;	0.00714125;	0.399221;	0.00297016;	6.20376;	0.0993682;	-0.735132;	0.00078883
1.08;	-0.0007132;	0.00696519;	0.397889;	0.00303082;	6.05393;	0.0977478;	-0.731;	0.000766848
1.09;	0.0033416;	0.00655805;	0.397138;	0.00303439;	5.88684;	0.0988703;	-0.727013;	0.000790147
1.10;	0.0054812;	0.00649038;	0.394741;	0.00311619;	5.72127;	0.0919907;	-0.723202;	0.000789736
1.11;	0.004912;	0.00627997;	0.393073;	0.00294292;	5.56355;	0.0930418;	-0.719133;	0.000796384
1.12;	0.0034728;	0.00629009;	0.390646;	0.00284017;	5.44714;	0.0914371;	-0.715279;	0.000785751
1.13;	0.0039;	0.00617819;	0.388965;	0.00270265;	5.28694;	0.0894897;	-0.710988;	0.00080384
1.14;	0.0055516;	0.00593114;	0.386769;	0.00265788;	5.18652;	0.0855319;	-0.707218;	0.000765068
1.15;	0.007622;	0.00586267;	0.384121;	0.00246198;	5.05253;	0.079628;	-0.703096;	0.000772854
1.16;	0.0095016;	0.00567418;	0.380947;	0.00249015;	4.92646;	0.0735974;	-0.698672;	0.000785576
1.17;	0.0091484;	0.0054526;	0.378442;	0.00258604;	4.79161;	0.0690994;	-0.695021;	0.000800104
1.18;	0.0083024;	0.00541865;	0.376357;	0.00256571;	4.64956;	0.0666946;	-0.690949;	0.000800226
1.19;	0.0102976;	0.00523174;	0.373046;	0.00259016;	4.56197;	0.0645205;	-0.687374;	0.000790776
1.20;	0.0100588;	0.00526152;	0.369666;	0.00243891;	4.46503;	0.0600577;	-0.683706;	0.000765929
1.21;	0.00928;	0.00499269;	0.366867;	0.00248857;	4.36099;	0.0608333;	-0.680282;	0.000794626
1.22;	0.0080896;	0.00501084;	0.363194;	0.00247914;	4.25975;	0.057548;	-0.676712;	0.00077667
1.23;	0.0082056;	0.0049968;	0.359802;	0.00244118;	4.18606;	0.057453;	-0.673326;	0.000803798
1.24;	0.0078412;	0.00490915;	0.357824;	0.00242684;	4.08997;	0.0559114;	-0.669826;	0.000767297
1.25;	0.0080968;	0.00482443;	0.355017;	0.00241376;	4.01184;	0.0545772;	-0.666238;	0.000781634
1.26;	0.007624;	0.00473407;	0.3516;	0.00240207;	3.90899;	0.0526895;	-0.662375;	0.000777928
1.27;	0.0078496;	0.00452846;	0.348055;	0.00221149;	3.83325;	0.0515903;	-0.658605;	0.000745814
1.28;	0.0077888;	0.00441981;	0.345872;	0.00227268;	3.74391;	0.0500639;	-0.654943;	0.000748112
1.29;	0.0076632;	0.00426371;	0.343566;	0.00228233;	3.661;	0.0476807;	-0.651282;	0.000726258
1.30;	0.0077952;	0.00413368;	0.340292;	0.00217713;	3.61174;	0.0469939;	-0.647951;	0.000692616
1.31;	0.0064668;	0.00407918;	0.337095;	0.00218691;	3.53604;	0.0437282;	-0.644254;	0.000679502
1.32;	0.0055676;	0.00407414;	0.334564;	0.00214194;	3.45682;	0.0434369;	-0.640804;	0.000680507
1.33;	0.0035276;	0.00409826;	0.33105;	0.00205138;	3.38205;	0.0427836;	-0.637271;	0.000680502
1.34;	0.0025388;	0.00400671;	0.328324;	0.00200028;	3.31167;	0.0398319;	-0.634066;	0.000690413
1.35;	0.0031396;	0.00404543;	0.326061;	0.0019984;	3.26264;	0.0385717;	-0.630851;	0.000669352
1.36;	0.0027792;	0.00399663;	0.32263;	0.00194947;	3.1911;	0.0375976;	-0.627441;	0.000649596
1.37;	0.0019592;	0.0039235;	0.320934;	0.00190508;	3.12953;	0.0365078;	-0.623835;	0.00066121
1.38;	0.0008012;	0.00391964;	0.319122;	0.00179474;	3.07248;	0.0355515;	-0.620541;	0.00066348
1.39;	5.8e-05;	0.00383481;	0.31632;	0.00168762;	3.01022;	0.0341452;	-0.617493;	0.000631416
1.40;	-0.0003868;	0.0037505;	0.313641;	0.0017219;	2.959;	0.0340928;	-0.614539;	0.000635963
1.41;	-0.0009528;	0.00376837;	0.311991;	0.00178805;	2.89952;	0.0331836;	-0.611106;	0.000635739
1.42;	-0.0012804;	0.00365387;	0.31008;	0.0016925;	2.85923;	0.0326403;	-0.608006;	0.000640187
1.43;	-0.0008672;	0.00360323;	0.308351;	0.00171474;	2.81798;	0.0327659;	-0.604874;	0.00064891
1.44;	-0.0013712;	0.00362219;	0.305955;	0.00156663;	2.76696;	0.0308472;	-0.601781;	0.000641957
1.45;	-0.0002464;	0.00347539;	0.303114;	0.00158265;	2.72298;	0.0309858;	-0.598606;	0.000641712
