Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.10;	1;	0;	5.44009e-11;	0;	500;	0;	-1.02;	6.664e-09
0.11;	1;	0;	4.49594e-11;	8.67362e-20;	454.545;	7.62939e-07;	-1.02;	6.664e-09
0.12;	1;	0;	3.77784e-11;	2.74284e-19;	416.667;	1.32145e-06;	-1.02;	6.664e-09
0.13;	1;	0;	3.21899e-11;	6.13317e-20;	384.615;	1.32145e-06;	-1.02;	6.664e-09
0.14;	1;	0;	2.77556e-11;	3.06659e-20;	357.143;	2.32039e-06;	-1.02;	6.664e-09
0.15;	1;	0;	2.41782e-11;	1.10567e-19;	333.333;	1.07896e-06;	-1.02;	6.664e-09
0.16;	1;	0;	2.12504e-11;	0;	312.5;	0;	-1.02;	6.664e-09
0.17;	1;	0;	1.88239e-11;	3.75579e-20;	294.118;	1.61844e-06;	-1.02;	6.664e-09
0.18;	1;	0;	1.67904e-11;	5.73706e-20;	277.778;	1.86881e-06;	-1.02;	6.664e-09
0.19;	1;	0;	1.50695e-11;	6.13317e-20;	263.158;	7.62939e-07;	-1.02;	6.664e-09
0.20;	1;	0;	1.36002e-11;	0;	250;	0;	-1.02;	6.664e-09
0.21;	1;	0;	1.23358e-11;	4.33681e-20;	238.095;	1.11217e-06;	-1.02;	6.664e-09
0.22;	1;	0;	1.12399e-11;	2.1684e-20;	227.273;	3.8147e-07;	-1.02;	6.664e-09
0.23;	1;	0;	1.02837e-11;	1.87789e-20;	217.391;	6.03157e-07;	-1.02;	6.664e-09
0.24;	1;	0;	9.44461e-12;	6.8571e-20;	208.333;	6.60725e-07;	-1.02;	6.664e-09
0.25;	1;	0;	8.70415e-12;	0;	200;	0;	-1.02;	6.664e-09
0.26;	1;	0;	8.04747e-12;	1.53329e-20;	192.308;	6.60725e-07;	-1.02;	6.664e-09
0.27;	1;	0;	7.4624e-12;	1.53329e-20;	185.185;	1.11217e-06;	-1.02;	6.664e-09
0.28;	0.999993;	5.52464e-06;	0.000461068;	0.000335133;	178.569;	0.00189452;	-1.01999;	6.49872e-06
0.29;	0.999992;	5.57982e-06;	0.000546068;	0.000322454;	172.411;	0.00184832;	-1.01999;	6.7086e-06
0.30;	0.999991;	5.58799e-06;	0.000546505;	0.000302855;	166.664;	0.00178946;	-1.01999;	6.74299e-06
0.31;	0.999984;	7.22219e-06;	0.000855465;	0.000353974;	161.285;	0.00223293;	-1.01998;	8.4081e-06
0.32;	0.923868;	0.0366034;	0.0179629;	0.00949938;	155.324;	0.543174;	-1.01787;	0.000943314
0.33;	0.923831;	0.0366026;	0.0181642;	0.00893237;	150.607;	0.526574;	-1.01783;	0.000942704
0.34;	0.923063;	0.0365964;	0.0250088;	0.0101799;	145.985;	0.539762;	-1.01757;	0.000960367
0.35;	0.923062;	0.0365957;	0.0237838;	0.00960235;	141.813;	0.524323;	-1.01756;	0.000960884
