Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.10;	-1;	0;	0;	0;	500;	0;	-1;	0
0.11;	-1;	0;	0;	0;	454.545;	7.62939e-07;	-1;	0
0.12;	-1;	0;	0;	0;	416.667;	1.32145e-06;	-1;	0
0.13;	-1;	0;	0;	0;	384.615;	1.32145e-06;	-1;	0
0.14;	-1;	0;	0;	0;	357.143;	2.32039e-06;	-1;	0
0.15;	-1;	0;	0;	0;	333.333;	1.07896e-06;	-1;	0
0.16;	-1;	0;	0;	0;	312.5;	0;	-1;	0
0.17;	-1;	0;	0;	0;	294.118;	1.61844e-06;	-1;	0
0.18;	-1;	0;	0;	0;	277.778;	1.86881e-06;	-1;	0
0.19;	-1;	0;	0;	0;	263.158;	7.62939e-07;	-1;	0
0.20;	-1;	0;	0;	0;	250;	0;	-1;	0
0.21;	-1;	0;	0;	0;	238.095;	1.11217e-06;	-1;	0
0.22;	-1;	0;	0;	0;	227.273;	3.8147e-07;	-1;	0
0.23;	-1;	0;	0;	0;	217.391;	6.03157e-07;	-1;	0
0.24;	-1;	0;	0;	0;	208.333;	6.60725e-07;	-1;	0
0.25;	-0.999993;	6.76591e-06;	0.000406323;	0.000404286;	199.997;	0.00256309;	-0.999994;	6.36792e-06
0.26;	-0.99999;	7.29098e-06;	0.000517254;	0.000398118;	192.304;	0.00265751;	-0.999991;	6.77832e-06
0.27;	-0.99996;	3.102e-05;	0.00112821;	0.00073925;	185.172;	0.0101695;	-0.999979;	1.36526e-05
0.28;	-0.999958;	3.10402e-05;	0.00117114;	0.000696203;	178.558;	0.00981454;	-0.999977;	1.38238e-05
0.29;	-0.999954;	3.1289e-05;	0.00128107;	0.000672729;	172.399;	0.00956476;	-0.999973;	1.43207e-05
0.30;	-0.999952;	3.16768e-05;	0.00130251;	0.000659515;	166.652;	0.00937242;	-0.99997;	1.50372e-05
0.31;	-0.999952;	3.16733e-05;	0.00125309;	0.000617882;	161.276;	0.00906901;	-0.99997;	1.50426e-05
0.32;	-0.642101;	0.0764057;	0.005089;	0.00370899;	156.065;	0.168871;	-0.999854;	0.000109751
0.33;	-0.642101;	0.0764057;	0.0048146;	0.00348733;	151.336;	0.163752;	-0.999854;	0.000109743
0.34;	-0.64211;	0.0764037;	0.00475612;	0.00328579;	146.882;	0.15892;	-0.999847;	0.000109749
0.35;	-0.64034;	0.0762929;	0.0123846;	0.00609455;	142.316;	0.347639;	-0.999545;	0.000242208
0.36;	-0.922728;	0.0352566;	0.0269244;	0.00972192;	137.565;	0.556762;	-0.99889;	0.000421292
0.37;	-0.921691;	0.0352465;	0.0298371;	0.00947691;	133.685;	0.555695;	-0.998727;	0.000430234
0.38;	-0.920412;	0.0352186;	0.038215;	0.0115153;	129.926;	0.567511;	-0.998422;	0.000473734
0.39;	0.471092;	0.0850196;	0.0527216;	0.0127438;	125.647;	0.742903;	-0.997574;	0.000609831
0.40;	-0.225643;	0.0928471;	0.0778298;	0.0143238;	120.733;	0.992165;	-0.996004;	0.000810337
0.41;	-0.033164;	0.0937629;	0.100921;	0.0151048;	115.773;	1.25261;	-0.994206;	0.0010229
0.42;	-0.131266;	0.0928685;	0.103736;	0.0134373;	112.712;	1.30264;	-0.993645;	0.0010794
0.43;	-0.651918;	0.0650117;	0.124034;	0.0140928;	108.533;	1.35419;	-0.99205;	0.00115862
0.44;	-0.179419;	0.0860278;	0.159177;	0.0150948;	102.89;	1.54681;	-0.988958;	0.00134885
0.45;	-0.0759004;	0.0833013;	0.204186;	0.0154783;	96.8493;	1.6672;	-0.985115;	0.00148313
0.46;	-0.053368;	0.0801251;	0.227036;	0.0147116;	92.1676;	1.67012;	-0.982442;	0.00150522
0.47;	-0.0281056;	0.0779034;	0.24928;	0.0139241;	87.6764;	1.70609;	-0.979459;	0.00158742
0.48;	-0.0546496;	0.0766405;	0.264897;	0.0135415;	84.5921;	1.63776;	-0.977618;	0.00158265
0.49;	-0.0279668;	0.0732483;	0.285291;	0.0121638;	80.841;	1.53995;	-0.97479;	0.0015197
0.50;	-0.0608704;	0.0721286;	0.295313;	0.0110103;	77.7673;	1.49639;	-0.972554;	0.0015124
0.51;	0.0058032;	0.0715897;	0.301074;	0.0103548;	75.2897;	1.4914;	-0.970676;	0.00155896
0.52;	-0.16167;	0.0658996;	0.320809;	0.0103529;	70.6196;	1.48098;	-0.966565;	0.00157749
0.53;	-0.120406;	0.0654247;	0.329102;	0.00929418;	65.9527;	1.51264;	-0.961992;	0.00168856
0.54;	0.113314;	0.059289;	0.348993;	0.00872323;	61.823;	1.41712;	-0.957563;	0.00159263
0.55;	-0.0195612;	0.0549658;	0.36817;	0.00909033;	57.8315;	1.32337;	-0.952917;	0.00154227
0.56;	-0.122319;	0.0522977;	0.366921;	0.00815069;	55.2428;	1.38439;	-0.950075;	0.00161208
0.57;	0.03158;	0.0497441;	0.380926;	0.00841111;	51.344;	1.30372;	-0.944953;	0.00158721
0.58;	0.0110084;	0.0476752;	0.390136;	0.00804297;	47.7502;	1.28107;	-0.939907;	0.00162557
0.59;	0.0366556;	0.0428972;	0.390067;	0.00746273;	44.4939;	1.25402;	-0.935522;	0.00159352
0.60;	-0.0256544;	0.0402439;	0.403159;	0.00719732;	43.0012;	1.08114;	-0.933258;	0.0014124
0.61;	-0.0916648;	0.0364308;	0.403211;	0.00743028;	40.526;	1.0554;	-0.929307;	0.00137932
0.62;	-0.0245364;	0.0341373;	0.409389;	0.00754458;	38.6181;	1.02025;	-0.92553;	0.0014009
0.63;	0.0057496;	0.0340233;	0.40367;	0.00802353;	35.7806;	0.979622;	-0.920597;	0.00138767
0.64;	-0.0445464;	0.0315724;	0.416495;	0.00879973;	33.709;	0.935333;	-0.915722;	0.00135214
0.65;	0.0052836;	0.0317626;	0.423333;	0.00756378;	33.0579;	0.873129;	-0.913124;	0.00131721
0.66;	-0.0031108;	0.0254128;	0.413072;	0.00783945;	29.9096;	0.820089;	-0.908247;	0.00118911
0.67;	-0.0073448;	0.0256916;	0.416005;	0.00763004;	28.6256;	0.772305;	-0.904774;	0.00120391
0.68;	0.0137488;	0.0243435;	0.412326;	0.00745399;	26.896;	0.713503;	-0.900576;	0.00120365
0.69;	0.0478584;	0.0214037;	0.418909;	0.00777928;	25.7382;	0.721036;	-0.896673;	0.00123488
0.70;	0.0210616;	0.0192117;	0.419435;	0.0071213;	23.6954;	0.580274;	-0.891522;	0.00111137
0.71;	-0.0051376;	0.0182286;	0.427775;	0.00653701;	23.0114;	0.515231;	-0.887762;	0.000968158
0.72;	-0.0185908;	0.0178303;	0.437747;	0.00604805;	22.6017;	0.52073;	-0.883887;	0.00104824
0.73;	0.0070076;	0.0190598;	0.431485;	0.00607077;	21.2364;	0.534874;	-0.879314;	0.00108839
0.74;	-0.0150644;	0.018354;	0.438584;	0.00499726;	20.4511;	0.483773;	-0.875149;	0.00108448
0.75;	0.038922;	0.0173031;	0.442032;	0.00550156;	19.9837;	0.45516;	-0.871445;	0.00104412
0.76;	-0.0173384;	0.0161664;	0.440022;	0.00551443;	19.2512;	0.395491;	-0.867667;	0.000934844
0.77;	-0.0104628;	0.0154115;	0.436943;	0.00557896;	18.0944;	0.355099;	-0.86339;	0.000912682
0.78;	-0.005542;	0.0137261;	0.445231;	0.00561691;	17.4278;	0.332107;	-0.858795;	0.000953579
0.79;	0.0224344;	0.0131566;	0.445767;	0.0057998;	16.2329;	0.329444;	-0.853685;	0.00095915
0.80;	0.006804;	0.0131418;	0.444406;	0.00553069;	15.5568;	0.299921;	-0.849582;	0.000926495
0.81;	0.0072612;	0.0121309;	0.439846;	0.00508685;	14.755;	0.288736;	-0.845066;	0.000881345
0.82;	0.0122488;	0.0126124;	0.446865;	0.00490865;	14.2471;	0.292472;	-0.839961;	0.000845658
0.83;	0.0006072;	0.0124655;	0.452299;	0.00443448;	13.3428;	0.279981;	-0.835551;	0.000815186
0.84;	0.0024096;	0.010427;	0.446145;	0.00473033;	12.8587;	0.247324;	-0.831307;	0.000786372
0.85;	-0.0100248;	0.010885;	0.44701;	0.00485969;	12.3813;	0.228326;	-0.82663;	0.000766229
0.86;	-0.0008228;	0.0115005;	0.447104;	0.00450906;	12.0619;	0.221682;	-0.822802;	0.000776253
0.87;	-0.0053716;	0.00970007;	0.442811;	0.00437199;	11.3492;	0.194435;	-0.817931;	0.000723291
0.88;	0.011074;	0.00934751;	0.436953;	0.00455384;	10.9488;	0.200412;	-0.814154;	0.000774352
0.89;	-0.0050984;	0.00882412;	0.43885;	0.00435476;	10.7735;	0.221789;	-0.809334;	0.000781247
0.90;	0.0052332;	0.00906576;	0.439425;	0.00407715;	10.3423;	0.189681;	-0.804473;	0.000789532
0.91;	0.0130328;	0.00955677;	0.435651;	0.00416188;	9.82484;	0.16077;	-0.799722;	0.000685591
0.92;	-0.007884;	0.00875772;	0.432267;	0.00408026;	9.55227;	0.169653;	-0.796064;	0.00069807
0.93;	-0.011014;	0.00868425;	0.429325;	0.00368222;	9.25265;	0.167329;	-0.791312;	0.000775636
0.94;	-0.0221644;	0.00778359;	0.426837;	0.00393057;	8.84884;	0.159597;	-0.786633;	0.000778832
0.95;	-0.0061208;	0.00887209;	0.424332;	0.00379119;	8.48945;	0.134728;	-0.782812;	0.000739812
0.96;	-0.0063132;	0.00691987;	0.422107;	0.00376601;	8.2182;	0.121502;	-0.778637;	0.000769862
0.97;	0.0041592;	0.00732621;	0.418924;	0.00351602;	8.02979;	0.136728;	-0.774538;	0.00082357
0.98;	0.000622;	0.00730972;	0.417536;	0.00386156;	7.91608;	0.11377;	-0.770815;	0.000779884
0.99;	0.0002072;	0.00720344;	0.419485;	0.00376596;	7.86777;	0.120705;	-0.767206;	0.00080002
1.00;	-0.0015828;	0.00707916;	0.417278;	0.00361798;	7.5384;	0.114383;	-0.762537;	0.000771961
1.01;	-0.0036024;	0.00676288;	0.412995;	0.00354257;	7.08811;	0.116158;	-0.758099;	0.000759981
1.02;	-0.0127708;	0.00698753;	0.41363;	0.00379565;	7.07079;	0.104377;	-0.75452;	0.00075185
1.03;	0.005532;	0.00633036;	0.409287;	0.00357635;	6.78029;	0.114074;	-0.749534;	0.000753865
1.04;	0.0015952;	0.00588646;	0.409444;	0.00341918;	6.55139;	0.0957467;	-0.745132;	0.000743089
1.05;	-0.0067244;	0.00621127;	0.406917;	0.003484;	6.47721;	0.0949192;	-0.741588;	0.000740347
1.06;	-0.0010132;	0.00508797;	0.40327;	0.00317816;	6.08154;	0.0781853;	-0.737194;	0.000706949
1.07;	0.004058;	0.00547839;	0.402955;	0.00318716;	6.15304;	0.0849479;	-0.733988;	0.000705201
1.08;	-0.0009804;	0.00555837;	0.402796;	0.00312573;	5.97483;	0.0793736;	-0.72969;	0.000678805
1.09;	-0.005666;	0.00542892;	0.398774;	0.00321846;	5.8502;	0.0748318;	-0.725711;	0.000700575
1.10;	-0.0020112;	0.00514669;	0.393686;	0.00313514;	5.60266;	0.0774759;	-0.721436;	0.000702529
1.11;	0.0015416;	0.00500848;	0.392285;	0.00306841;	5.53935;	0.0685414;	-0.716919;	0.000645746
1.12;	-0.0101844;	0.00521275;	0.392466;	0.00278589;	5.45215;	0.0603913;	-0.713139;	0.000698318
1.13;	0.0015544;	0.00543412;	0.38927;	0.0028143;	5.15708;	0.0647978;	-0.708695;	0.000719178
1.14;	0.0012808;	0.00519688;	0.387652;	0.0023912;	5.11884;	0.0694042;	-0.705168;	0.000688894
1.15;	0.0030276;	0.00454397;	0.386873;	0.00245016;	4.88524;	0.0693888;	-0.701125;	0.000610349
1.16;	-0.001406;	0.00477528;	0.385832;	0.00248527;	4.83708;	0.063534;	-0.697892;	0.000668626
1.17;	-0.0015836;	0.0047111;	0.379806;	0.00253277;	4.73398;	0.0614049;	-0.693814;	0.000632009
1.18;	-0.0026096;	0.00372217;	0.371614;	0.00227799;	4.51783;	0.0539247;	-0.690078;	0.00065803
1.19;	-3.4e-05;	0.00436882;	0.369534;	0.00239674;	4.5433;	0.0547567;	-0.686182;	0.000633693
1.20;	0.00548;	0.00402722;	0.365708;	0.00207332;	4.36871;	0.0564832;	-0.682822;	0.00066218
1.21;	0.0017744;	0.00413352;	0.36584;	0.00232256;	4.35881;	0.0530244;	-0.678994;	0.000633972
1.22;	-0.002128;	0.00367166;	0.36417;	0.00230375;	4.32341;	0.048359;	-0.675622;	0.000688511
1.23;	0.0036552;	0.00370182;	0.358862;	0.002146;	4.24476;	0.054372;	-0.672207;	0.000640437
1.24;	0.0026616;	0.00373564;	0.359734;	0.00202196;	4.15539;	0.0463941;	-0.668738;	0.00068136
1.25;	0.00347;	0.0036621;	0.357265;	0.00230183;	3.99058;	0.0481814;	-0.664699;	0.000649883
1.26;	-5e-05;	0.00392273;	0.352443;	0.00191403;	3.89152;	0.0448826;	-0.661462;	0.000658204
1.27;	0.0044068;	0.00364809;	0.347878;	0.00184724;	3.76678;	0.0422845;	-0.6573;	0.000615635
1.28;	0.0007464;	0.00340546;	0.346089;	0.00186148;	3.64322;	0.0484344;	-0.653864;	0.000674749
1.29;	0.0016144;	0.00350803;	0.343735;	0.00180155;	3.57034;	0.0400505;	-0.650118;	0.00073655
1.30;	-0.0028672;	0.00319731;	0.343138;	0.00192551;	3.50573;	0.0388134;	-0.646442;	0.000705437
1.31;	-0.0018616;	0.00345395;	0.338393;	0.00201258;	3.47155;	0.0387072;	-0.643194;	0.000705142
1.32;	-0.0044084;	0.00360957;	0.336118;	0.00187633;	3.45538;	0.0348606;	-0.640424;	0.000725743
1.33;	-0.0036916;	0.00390593;	0.333059;	0.00198604;	3.36439;	0.0365124;	-0.636602;	0.000688625
1.34;	-0.005166;	0.00365479;	0.331164;	0.00182529;	3.27612;	0.0340982;	-0.633436;	0.000724696
1.35;	0.0031356;	0.00339619;	0.32859;	0.00199906;	3.27513;	0.0331072;	-0.630234;	0.000712687
1.36;	-8.08e-05;	0.00295714;	0.324987;	0.0019408;	3.18227;	0.0299387;	-0.62652;	0.000646166
1.37;	-0.0041468;	0.00332364;	0.32238;	0.0018045;	3.14817;	0.0303371;	-0.623176;	0.000643814
1.38;	-0.0042656;	0.00308773;	0.319213;	0.00183724;	3.07775;	0.0329205;	-0.62027;	0.000646968
1.39;	-0.0011788;	0.00261812;	0.317428;	0.00175995;	3.03286;	0.0341099;	-0.61615;	0.000676618
1.40;	0.0005376;	0.00290867;	0.312779;	0.00189935;	2.92598;	0.0286685;	-0.613106;	0.000645436
1.41;	0.003004;	0.00239614;	0.312758;	0.00169688;	2.90189;	0.0275008;	-0.609923;	0.000654243
1.42;	0.0005024;	0.00288799;	0.311103;	0.00181011;	2.87508;	0.0255584;	-0.60714;	0.000637184
1.43;	-0.0031864;	0.00280183;	0.307689;	0.00169724;	2.8343;	0.0254057;	-0.604374;	0.00066642
