Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.10;	1;	0;	5.44009e-11;	0;	500;	0;	-1.02;	6.664e-09
0.11;	1;	0;	4.49594e-11;	8.67362e-20;	454.545;	7.62939e-07;	-1.02;	6.664e-09
0.12;	1;	0;	3.77784e-11;	2.74284e-19;	416.667;	1.32145e-06;	-1.02;	6.664e-09
0.13;	1;	0;	3.21899e-11;	6.13317e-20;	384.615;	1.32145e-06;	-1.02;	6.664e-09
0.14;	1;	0;	2.77556e-11;	3.06659e-20;	357.143;	2.32039e-06;	-1.02;	6.664e-09
0.15;	1;	0;	2.41782e-11;	1.10567e-19;	333.333;	1.07896e-06;	-1.02;	6.664e-09
0.16;	1;	0;	2.12504e-11;	0;	312.5;	0;	-1.02;	6.664e-09
0.17;	1;	0;	1.88239e-11;	3.75579e-20;	294.118;	1.61844e-06;	-1.02;	6.664e-09
0.18;	1;	0;	1.67904e-11;	5.73706e-20;	277.778;	1.86881e-06;	-1.02;	6.664e-09
0.19;	1;	0;	1.50695e-11;	6.13317e-20;	263.158;	7.62939e-07;	-1.02;	6.664e-09
0.20;	1;	0;	1.36002e-11;	0;	250;	0;	-1.02;	6.664e-09
0.21;	1;	0;	1.23358e-11;	4.33681e-20;	238.095;	1.11217e-06;	-1.02;	6.664e-09
0.22;	1;	0;	1.12399e-11;	2.1684e-20;	227.273;	3.8147e-07;	-1.02;	6.664e-09
0.23;	1;	0;	1.02837e-11;	1.87789e-20;	217.391;	6.03157e-07;	-1.02;	6.664e-09
0.24;	1;	0;	9.44461e-12;	6.8571e-20;	208.333;	6.60725e-07;	-1.02;	6.664e-09
0.25;	0.999996;	3.97995e-06;	0.000265041;	0.000263713;	199.998;	0.0015092;	-1.02;	4.05955e-06
0.26;	0.999993;	4.83504e-06;	0.000393319;	0.000283699;	192.305;	0.00176502;	-1.01999;	4.71712e-06
0.27;	0.999968;	2.50778e-05;	0.00098321;	0.00066588;	185.175;	0.00824846;	-1.01998;	1.17628e-05
0.28;	0.999968;	2.50778e-05;	0.000914235;	0.000619167;	178.561;	0.00795387;	-1.01998;	1.17628e-05
0.29;	0.999967;	2.51081e-05;	0.000969137;	0.000587104;	172.403;	0.00769122;	-1.01998;	1.19737e-05
0.30;	0.999486;	0.000478334;	0.00458784;	0.00366548;	166.554;	0.102269;	-1.0199;	7.88367e-05
0.31;	0.999484;	0.000478319;	0.00439903;	0.00343236;	161.181;	0.0989654;	-1.0199;	7.88266e-05
0.32;	0.998757;	0.00104361;	0.00890246;	0.00609762;	155.99;	0.208877;	-1.01977;	0.000161105
0.33;	0.998759;	0.00104561;	0.00844937;	0.00575031;	151.264;	0.202483;	-1.01977;	0.000161572
0.34;	0.998917;	0.000881523;	0.00763684;	0.00492147;	146.842;	0.168303;	-1.01978;	0.000144868
0.35;	0.998867;	0.000881249;	0.00848764;	0.00466101;	142.633;	0.163451;	-1.01974;	0.000145341
