#   N_BLOCK:  ACCEPTANCE:
           1           1
           2           1
           3           1
           4           1
           5           1
           6    0.999997
           7    0.999997
           8    0.999998
           9    0.999998
          10    0.999998
          11    0.999998
          12    0.999998
          13    0.999999
          14    0.999999
          15    0.999999
          16    0.999999
          17    0.999999
          18    0.999999
          19    0.999999
          20    0.999999
