#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0599706   0.0599706           0
           2   0.0599706   0.0599706 1.54442e-09
           3   0.0599705   0.0599706  1.9387e-09
           4   0.0599705   0.0599705 2.28127e-09
           5   0.0599705   0.0599705 2.74701e-09
           6   0.0599705   0.0599705 3.07713e-09
           7   0.0599705   0.0599705 3.15827e-09
           8   0.0599705   0.0599705 3.29272e-09
           9   0.0599705   0.0599705 3.44296e-09
          10   0.0599705   0.0599705 3.58287e-09
          11   0.0599705   0.0599705 3.73586e-09
          12   0.0599705   0.0599705  3.8634e-09
          13   0.0599705   0.0599705  3.9597e-09
          14   0.0599705   0.0599705 4.04808e-09
          15   0.0599705   0.0599705 4.07376e-09
          16   0.0599705   0.0599705 4.10931e-09
          17   0.0599705   0.0599705  4.1219e-09
          18   0.0599705   0.0599705  4.1852e-09
          19   0.0599705   0.0599705 4.25983e-09
          20   0.0599705   0.0599705 4.32338e-09
          21   0.0599705   0.0599705 4.38245e-09
          22   0.0599705   0.0599705 4.42211e-09
          23   0.0599705   0.0599705 4.45167e-09
          24   0.0599705   0.0599705 4.50474e-09
          25   0.0599705   0.0599705 4.56823e-09
          26   0.0599705   0.0599705 4.63687e-09
          27   0.0599705   0.0599705 4.70124e-09
          28   0.0599705   0.0599705 4.77485e-09
          29   0.0599705   0.0599705 4.85164e-09
          30   0.0599705   0.0599705 4.93982e-09
          31   0.0599705   0.0599705 5.00555e-09
          32   0.0599705   0.0599705  5.0557e-09
          33   0.0599705   0.0599705 5.12035e-09
          34   0.0599704   0.0599705  5.2038e-09
          35   0.0599704   0.0599705 5.30936e-09
          36   0.0599704   0.0599705 5.41161e-09
          37   0.0599704   0.0599705 5.50871e-09
          38   0.0599704   0.0599705 5.60018e-09
          39   0.0599704   0.0599705 5.70024e-09
          40   0.0599704   0.0599705 5.82542e-09
          41   0.0599704   0.0599705 5.96426e-09
          42   0.0599704   0.0599705 6.14418e-09
          43   0.0599704   0.0599705 6.31175e-09
          44   0.0599704   0.0599705 6.46689e-09
          45   0.0599704   0.0599705 6.62411e-09
          46   0.0599704   0.0599705 6.78013e-09
          47   0.0599704   0.0599705 6.92355e-09
          48   0.0599704   0.0599705 7.04481e-09
          49   0.0599704   0.0599705 7.14496e-09
          50   0.0599704   0.0599705 7.23081e-09
          51   0.0599704   0.0599705  7.3135e-09
          52   0.0599704   0.0599705 7.40229e-09
          53   0.0599704   0.0599705  7.4621e-09
          54   0.0599704   0.0599705 7.51711e-09
          55   0.0599704   0.0599705 7.56141e-09
          56   0.0599704   0.0599705  7.5998e-09
          57   0.0599704   0.0599705 7.63318e-09
          58   0.0599704   0.0599705 7.65746e-09
          59   0.0599704   0.0599705 7.69423e-09
          60   0.0599704   0.0599705 7.74362e-09
          61   0.0599703   0.0599705 7.80203e-09
          62   0.0599703   0.0599704 7.85637e-09
          63   0.0599703   0.0599704 7.90863e-09
          64   0.0599703   0.0599704 7.94998e-09
