#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.22        1.22           0
           2        1.22        1.22           0
           3        1.22        1.22           0
           4        1.22        1.22           0
           5        1.22        1.22           0
           6        1.22        1.22           0
           7        1.22        1.22           0
           8        1.22        1.22           0
           9        1.22        1.22           0
          10        1.22        1.22  8.1617e-09
          11        1.22        1.22 7.78188e-09
          12        1.22        1.22 7.45058e-09
          13        1.22        1.22 7.15829e-09
          14        1.22        1.22  6.8979e-09
          15        1.22        1.22           0
          16        1.22        1.22           0
          17        1.22        1.22           0
          18        1.22        1.22 4.96705e-09
          19        1.22        1.22 4.83458e-09
          20        1.22        1.22 4.71216e-09
