#   N_BLOCK:  ACCEPTANCE:
           1    0.999963
           2    0.999931
           3    0.999898
           4    0.999875
           5    0.999865
           6    0.999846
           7    0.999832
           8    0.999822
           9    0.999811
          10      0.9998
          11    0.999785
          12    0.999778
          13    0.999767
          14    0.999761
          15    0.999753
          16    0.999749
          17    0.999741
          18    0.999731
          19    0.999713
          20    0.999701
