#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65 1.21667e-08
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65 1.21667e-08
           7        1.65        1.65 7.96501e-09
           8        1.65        1.65 7.45058e-09
           9        1.65        1.65 7.02447e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 8.98574e-09
          12        1.65        1.65 1.05367e-08
          13        1.65        1.65 1.01233e-08
          14        1.65        1.65  9.7551e-09
          15        1.65        1.65 1.21667e-08
          16        1.65        1.65 1.17804e-08
          17        1.65        1.65 1.14287e-08
          18        1.65        1.65 1.11067e-08
          19        1.65        1.65 1.27911e-08
          20        1.65        1.65 1.24672e-08
          21        1.65        1.65 1.21667e-08
          22        1.65        1.65  1.1887e-08
          23        1.65        1.65 1.16257e-08
          24        1.65        1.65 1.13809e-08
          25        1.65        1.65  1.1151e-08
          26        1.65        1.65 1.16894e-08
          27        1.65        1.65 1.14709e-08
          28        1.65        1.65 1.12642e-08
          29        1.65        1.65 1.10683e-08
          30        1.65        1.65 1.08823e-08
          31        1.65        1.65 1.07053e-08
          32        1.65        1.65 1.05367e-08
          33        1.65        1.65 1.03758e-08
          34        1.65        1.65 1.02221e-08
          35        1.65        1.65  1.0075e-08
          36        1.65        1.65 9.93411e-09
          37        1.65        1.65 9.79894e-09
          38        1.65        1.65 9.66915e-09
          39        1.65        1.65 9.54438e-09
          40        1.65        1.65 8.81565e-09
          41        1.65        1.65 7.35916e-09
          42        1.65        1.65 5.63211e-09
          43        1.65        1.65 5.56623e-09
          44        1.65        1.65 4.49287e-09
          45        1.65        1.65 4.44267e-09
          46        1.65        1.65           0
          47        1.65        1.65           0
          48        1.65        1.65 4.30159e-09
          49        1.65        1.65 5.21432e-09
          50        1.65        1.65   6.664e-09
          51        1.65        1.65 6.59835e-09
          52        1.65        1.65 8.26568e-09
          53        1.65        1.65 8.18733e-09
          54        1.65        1.65 9.51118e-09
          55        1.65        1.65 9.42432e-09
          56        1.65        1.65  9.7551e-09
          57        1.65        1.65  1.0064e-08
          58        1.65        1.65 1.03535e-08
          59        1.65        1.65 1.02653e-08
          60        1.65        1.65 1.08823e-08
          61        1.65        1.65 1.11249e-08
          62        1.65        1.65 1.10348e-08
          63        1.65        1.65 1.18735e-08
          64        1.65        1.65 1.17804e-08
          65        1.65        1.65 1.16894e-08
          66        1.65        1.65 1.21667e-08
          67        1.65        1.65 1.20756e-08
          68        1.65        1.65 1.19865e-08
          69        1.65        1.65 1.21667e-08
          70        1.65        1.65 1.25938e-08
          71        1.65        1.65 1.25048e-08
          72        1.65        1.65 1.26636e-08
          73        1.65        1.65 1.25765e-08
          74        1.65        1.65 1.24913e-08
          75        1.65        1.65 1.28761e-08
          76        1.65        1.65 1.30175e-08
          77        1.65        1.65 1.29327e-08
          78        1.65        1.65 1.28495e-08
          79        1.65        1.65 1.27679e-08
          80        1.65        1.65 1.24672e-08
          81        1.65        1.65 1.19393e-08
          82        1.65        1.65 1.18663e-08
          83        1.65        1.65 1.15655e-08
          84        1.65        1.65 1.14965e-08
          85        1.65        1.65 1.11978e-08
          86        1.65        1.65 1.11325e-08
          87        1.65        1.65 1.05971e-08
          88        1.65        1.65 1.05367e-08
          89        1.65        1.65 1.02365e-08
          90        1.65        1.65  1.0419e-08
          91        1.65        1.65 9.87937e-09
          92        1.65        1.65 9.82553e-09
          93        1.65        1.65 9.27107e-09
          94        1.65        1.65 9.22162e-09
          95        1.65        1.65 9.17296e-09
          96        1.65        1.65 8.86796e-09
          97        1.65        1.65 8.82214e-09
          98        1.65        1.65 7.96501e-09
          99        1.65        1.65 7.92468e-09
         100        1.65        1.65 6.98926e-09
         101        1.65        1.65 6.95458e-09
         102        1.65        1.65 6.59835e-09
         103        1.65        1.65 6.22928e-09
         104        1.65        1.65 5.84472e-09
         105        1.65        1.65 5.81682e-09
         106        1.65        1.65 4.57686e-09
         107        1.65        1.65 4.55542e-09
         108        1.65        1.65 4.53428e-09
         109        1.65        1.65 2.85454e-09
         110        1.65        1.65 2.84154e-09
         111        1.65        1.65 2.82871e-09
         112        1.65        1.65           0
         113        1.65        1.65           0
         114        1.65        1.65 1.97371e-09
         115        1.65        1.65 3.40367e-09
         116        1.65        1.65 3.38896e-09
         117        1.65        1.65 3.89648e-09
         118        1.65        1.65 3.87993e-09
         119        1.65        1.65 4.31963e-09
         120        1.65        1.65 4.71216e-09
         121        1.65        1.65 4.69265e-09
         122        1.65        1.65 5.39635e-09
         123        1.65        1.65 5.70038e-09
         124        1.65        1.65 5.67735e-09
         125        1.65        1.65 5.65459e-09
         126        1.65        1.65 6.22653e-09
         127        1.65        1.65 6.47775e-09
         128        1.65        1.65 6.45239e-09
         129        1.65        1.65 6.42733e-09
         130        1.65        1.65   6.664e-09
         131        1.65        1.65 6.88912e-09
         132        1.65        1.65 6.86297e-09
         133        1.65        1.65 6.83712e-09
         134        1.65        1.65 7.05064e-09
         135        1.65        1.65 7.47812e-09
         136        1.65        1.65 7.45058e-09
         137        1.65        1.65 7.42334e-09
         138        1.65        1.65 7.61083e-09
         139        1.65        1.65  7.5834e-09
         140        1.65        1.65 7.96501e-09
         141        1.65        1.65 7.93671e-09
         142        1.65        1.65 8.10402e-09
         143        1.65        1.65 8.07564e-09
         144        1.65        1.65 8.04755e-09
         145        1.65        1.65 8.20847e-09
         146        1.65        1.65 8.18031e-09
         147        1.65        1.65 8.33567e-09
         148        1.65        1.65 8.30746e-09
         149        1.65        1.65 8.27953e-09
         150        1.65        1.65 8.25189e-09
         151        1.65        1.65 8.57465e-09
         152        1.65        1.65 8.71565e-09
         153        1.65        1.65 8.68712e-09
         154        1.65        1.65 8.65887e-09
         155        1.65        1.65  8.6309e-09
         156        1.65        1.65 8.60319e-09
         157        1.65        1.65   9.057e-09
         158        1.65        1.65 9.02829e-09
         159        1.65        1.65 8.99986e-09
         160        1.65        1.65 8.97169e-09
         161        1.65        1.65 8.94378e-09
         162        1.65        1.65 9.06856e-09
         163        1.65        1.65  9.0407e-09
         164        1.65        1.65 9.16208e-09
         165        1.65        1.65 9.13427e-09
         166        1.65        1.65 9.10672e-09
         167        1.65        1.65 9.07941e-09
         168        1.65        1.65  9.1972e-09
         169        1.65        1.65 9.16995e-09
         170        1.65        1.65 9.14294e-09
         171        1.65        1.65 9.39672e-09
         172        1.65        1.65 9.36937e-09
         173        1.65        1.65 9.34225e-09
         174        1.65        1.65 9.45136e-09
         175        1.65        1.65 9.42432e-09
         176        1.65        1.65 9.39751e-09
         177        1.65        1.65 9.37093e-09
         178        1.65        1.65 9.34457e-09
         179        1.65        1.65 9.58097e-09
         180        1.65        1.65 9.55432e-09
         181        1.65        1.65 9.65579e-09
         182        1.65        1.65 9.62922e-09
         183        1.65        1.65 9.60288e-09
         184        1.65        1.65 9.57675e-09
         185        1.65        1.65 9.55083e-09
         186        1.65        1.65 9.52512e-09
         187        1.65        1.65 9.49962e-09
         188        1.65        1.65 9.59817e-09
         189        1.65        1.65  9.6947e-09
         190        1.65        1.65 9.66915e-09
         191        1.65        1.65 9.64381e-09
         192        1.65        1.65 9.61866e-09
         193        1.65        1.65 9.59371e-09
         194        1.65        1.65 9.56895e-09
         195        1.65        1.65 9.54438e-09
         196        1.65        1.65    9.52e-09
         197        1.65        1.65 9.84546e-09
         198        1.65        1.65 9.82057e-09
         199        1.65        1.65 9.79587e-09
         200        1.65        1.65 9.77134e-09
         201        1.65        1.65 9.74701e-09
         202        1.65        1.65 9.72285e-09
         203        1.65        1.65 9.69887e-09
         204        1.65        1.65 9.67507e-09
         205        1.65        1.65 9.76303e-09
         206        1.65        1.65  9.7393e-09
         207        1.65        1.65 9.71575e-09
         208        1.65        1.65  9.9102e-09
         209        1.65        1.65 9.88646e-09
         210        1.65        1.65 9.86289e-09
         211        1.65        1.65 9.83949e-09
         212        1.65        1.65 9.81626e-09
         213        1.65        1.65 9.79319e-09
         214        1.65        1.65 9.77028e-09
         215        1.65        1.65 9.85292e-09
         216        1.65        1.65 9.83008e-09
         217        1.65        1.65 9.80741e-09
         218        1.65        1.65 9.78489e-09
         219        1.65        1.65 9.76252e-09
         220        1.65        1.65 9.84338e-09
         221        1.65        1.65 9.82109e-09
         222        1.65        1.65 9.79894e-09
         223        1.65        1.65 9.77695e-09
         224        1.65        1.65  9.7551e-09
         225        1.65        1.65 9.83426e-09
         226        1.65        1.65 9.81248e-09
         227        1.65        1.65 9.79085e-09
         228        1.65        1.65 9.76935e-09
         229        1.65        1.65   9.748e-09
         230        1.65        1.65 9.72678e-09
         231        1.65        1.65 9.70571e-09
         232        1.65        1.65 9.68477e-09
         233        1.65        1.65 9.85921e-09
         234        1.65        1.65 9.83812e-09
         235        1.65        1.65 9.81717e-09
         236        1.65        1.65 9.79635e-09
         237        1.65        1.65 9.87103e-09
         238        1.65        1.65 9.85027e-09
         239        1.65        1.65 9.82964e-09
         240        1.65        1.65 9.80915e-09
         241        1.65        1.65 9.78877e-09
         242        1.65        1.65 9.76853e-09
         243        1.65        1.65 9.74841e-09
         244        1.65        1.65 9.72841e-09
         245        1.65        1.65 9.70854e-09
         246        1.65        1.65 9.68878e-09
         247        1.65        1.65 9.66915e-09
         248        1.65        1.65 9.83346e-09
         249        1.65        1.65 9.81369e-09
         250        1.65        1.65 9.88431e-09
         251        1.65        1.65  9.8646e-09
         252        1.65        1.65 9.84501e-09
         253        1.65        1.65 9.82553e-09
         254        1.65        1.65 9.80617e-09
         255        1.65        1.65 9.78693e-09
         256        1.65        1.65 9.76779e-09
         257        1.65        1.65 9.74877e-09
         258        1.65        1.65 9.72986e-09
         259        1.65        1.65 9.71106e-09
         260        1.65        1.65 9.69237e-09
         261        1.65        1.65 9.67378e-09
         262        1.65        1.65  9.6553e-09
         263        1.65        1.65 9.63693e-09
         264        1.65        1.65 9.70571e-09
         265        1.65        1.65 9.77349e-09
         266        1.65        1.65  9.7551e-09
         267        1.65        1.65 9.73681e-09
         268        1.65        1.65 9.71863e-09
         269        1.65        1.65 9.70055e-09
         270        1.65        1.65 9.68257e-09
         271        1.65        1.65 9.66469e-09
         272        1.65        1.65 9.64691e-09
         273        1.65        1.65 9.62922e-09
         274        1.65        1.65 9.61163e-09
         275        1.65        1.65 9.59414e-09
         276        1.65        1.65 9.57675e-09
         277        1.65        1.65 9.55944e-09
         278        1.65        1.65 9.54224e-09
         279        1.65        1.65 9.52512e-09
         280        1.65        1.65 9.59114e-09
         281        1.65        1.65 9.57406e-09
         282        1.65        1.65 9.55707e-09
         283        1.65        1.65 9.54017e-09
         284        1.65        1.65 9.52335e-09
         285        1.65        1.65 9.66915e-09
         286        1.65        1.65 9.65223e-09
         287        1.65        1.65  9.6354e-09
         288        1.65        1.65 9.61866e-09
         289        1.65        1.65   9.602e-09
         290        1.65        1.65 9.58543e-09
         291        1.65        1.65 9.56895e-09
         292        1.65        1.65 9.55255e-09
         293        1.65        1.65 9.53623e-09
         294        1.65        1.65    9.52e-09
         295        1.65        1.65 9.50385e-09
         296        1.65        1.65 9.48779e-09
         297        1.65        1.65  9.4718e-09
         298        1.65        1.65 9.53437e-09
         299        1.65        1.65 9.51841e-09
         300        1.65        1.65 9.50253e-09
         301        1.65        1.65 9.48674e-09
         302        1.65        1.65 9.47102e-09
         303        1.65        1.65 9.45537e-09
         304        1.65        1.65 9.43981e-09
         305        1.65        1.65 9.42432e-09
         306        1.65        1.65 9.40891e-09
         307        1.65        1.65 9.39357e-09
         308        1.65        1.65 9.45487e-09
         309        1.65        1.65 9.43956e-09
         310        1.65        1.65 9.42432e-09
         311        1.65        1.65 9.33297e-09
         312        1.65        1.65   9.318e-09
         313        1.65        1.65  9.3031e-09
         314        1.65        1.65 9.28828e-09
         315        1.65        1.65 9.27352e-09
         316        1.65        1.65 9.25884e-09
         317        1.65        1.65 9.24422e-09
         318        1.65        1.65 9.30502e-09
         319        1.65        1.65 9.29043e-09
         320        1.65        1.65  9.2759e-09
         321        1.65        1.65 9.26144e-09
         322        1.65        1.65 9.24705e-09
         323        1.65        1.65 9.23272e-09
         324        1.65        1.65 9.21846e-09
         325        1.65        1.65 9.20427e-09
         326        1.65        1.65 9.19014e-09
         327        1.65        1.65 9.17608e-09
         328        1.65        1.65 9.23567e-09
         329        1.65        1.65 9.22162e-09
         330        1.65        1.65 9.20764e-09
         331        1.65        1.65 9.19372e-09
         332        1.65        1.65 9.17987e-09
         333        1.65        1.65 9.16607e-09
         334        1.65        1.65 9.15234e-09
         335        1.65        1.65 9.13867e-09
         336        1.65        1.65 9.12506e-09
         337        1.65        1.65 9.11151e-09
         338        1.65        1.65 9.09802e-09
         339        1.65        1.65 9.08459e-09
         340        1.65        1.65 9.07122e-09
         341        1.65        1.65 9.05791e-09
         342        1.65        1.65 9.11616e-09
         343        1.65        1.65 9.10286e-09
         344        1.65        1.65 9.08962e-09
         345        1.65        1.65 9.07644e-09
         346        1.65        1.65 9.06331e-09
         347        1.65        1.65 9.05025e-09
         348        1.65        1.65 9.03723e-09
         349        1.65        1.65 9.02428e-09
         350        1.65        1.65 9.01138e-09
         351        1.65        1.65 8.99853e-09
         352        1.65        1.65 8.98574e-09
         353        1.65        1.65   8.973e-09
         354        1.65        1.65 8.96032e-09
         355        1.65        1.65 8.94769e-09
         356        1.65        1.65 8.93511e-09
         357        1.65        1.65 9.06093e-09
         358        1.65        1.65 9.04827e-09
         359        1.65        1.65 9.03566e-09
         360        1.65        1.65  9.0231e-09
         361        1.65        1.65  9.0106e-09
         362        1.65        1.65 8.99814e-09
         363        1.65        1.65 8.98574e-09
         364        1.65        1.65 8.97339e-09
         365        1.65        1.65 8.96109e-09
         366        1.65        1.65 8.94884e-09
         367        1.65        1.65 8.93664e-09
         368        1.65        1.65 8.92449e-09
         369        1.65        1.65 8.97965e-09
         370        1.65        1.65 8.96751e-09
         371        1.65        1.65 8.95541e-09
         372        1.65        1.65 8.94337e-09
         373        1.65        1.65 8.93137e-09
         374        1.65        1.65 8.91942e-09
         375        1.65        1.65 8.90752e-09
         376        1.65        1.65 8.89567e-09
         377        1.65        1.65 8.81732e-09
         378        1.65        1.65 8.73868e-09
         379        1.65        1.65 8.72714e-09
         380        1.65        1.65 8.64835e-09
         381        1.65        1.65 8.63699e-09
         382        1.65        1.65 8.55803e-09
         383        1.65        1.65 8.47874e-09
         384        1.65        1.65  8.4677e-09
         385        1.65        1.65 8.38822e-09
         386        1.65        1.65 8.30839e-09
         387        1.65        1.65 8.29765e-09
         388        1.65        1.65  8.2176e-09
         389        1.65        1.65 8.20704e-09
         390        1.65        1.65 8.12675e-09
         391        1.65        1.65 8.18602e-09
         392        1.65        1.65 8.17557e-09
         393        1.65        1.65 8.09567e-09
         394        1.65        1.65 8.08539e-09
         395        1.65        1.65 8.00523e-09
         396        1.65        1.65 7.92468e-09
         397        1.65        1.65 7.91469e-09
         398        1.65        1.65 7.83384e-09
         399        1.65        1.65 7.82402e-09
         400        1.65        1.65 7.74287e-09
         401        1.65        1.65 7.73321e-09
         402        1.65        1.65 7.65174e-09
         403        1.65        1.65  7.5698e-09
         404        1.65        1.65 7.56042e-09
         405        1.65        1.65 7.47812e-09
         406        1.65        1.65 7.46891e-09
         407        1.65        1.65 7.38623e-09
         408        1.65        1.65 7.37717e-09
