#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.3636     -6.3636           0
           2    -6.36104    -6.36232 0.000903898
           3    -6.35863    -6.36109  0.00117097
           4    -6.35607    -6.35984  0.00139695
           5    -6.35257    -6.35838  0.00171392
           6    -6.34928    -6.35686  0.00198975
           7    -6.34753    -6.35553  0.00210514
           8    -6.34516    -6.35423  0.00220568
           9    -6.34276    -6.35296  0.00229992
          10    -6.34009    -6.35167  0.00240336
          11    -6.33659     -6.3503  0.00254609
          12    -6.33367    -6.34891  0.00268489
          13    -6.33161    -6.34758  0.00278898
          14    -6.32924    -6.34627  0.00288105
          15    -6.32837    -6.34508  0.00292591
          16    -6.32638    -6.34391  0.00296738
          17    -6.32444    -6.34277  0.00300585
          18    -6.32167    -6.34159  0.00305875
          19    -6.31778    -6.34034  0.00314404
          20    -6.31541    -6.33909  0.00322454
          21    -6.31359    -6.33788  0.00329168
          22    -6.31172    -6.33669   0.0033499
          23    -6.31015    -6.33554  0.00339722
          24    -6.30681    -6.33434  0.00346004
          25    -6.30427    -6.33314  0.00352455
          26    -6.30256    -6.33196  0.00357987
          27     -6.3004    -6.33079  0.00363306
          28    -6.29664    -6.32957  0.00370245
          29    -6.29371    -6.32834  0.00377565
          30    -6.29037    -6.32707  0.00385601
          31    -6.28858    -6.32583  0.00392645
          32     -6.2845    -6.32454  0.00401054
          33    -6.27957    -6.32317    0.004114
          34    -6.27457    -6.32174  0.00423407
          35    -6.26937    -6.32025  0.00436953
          36    -6.26409    -6.31869  0.00451803
          37    -6.25946    -6.31709  0.00467086
          38     -6.2562    -6.31549  0.00481497
          39    -6.24923    -6.31379  0.00498218
          40    -6.24282    -6.31201  0.00516386
          41     -6.2384    -6.31022  0.00534089
          42    -6.22699    -6.30824  0.00556919
          43    -6.22101    -6.30621  0.00579736
          44    -6.21846    -6.30421  0.00599882
          45    -6.21593    -6.30225  0.00617802
          46    -6.21379    -6.30033  0.00633592
          47    -6.21349    -6.29848  0.00646492
          48    -6.21577    -6.29676  0.00655585
          49    -6.21717    -6.29513   0.0066202
          50    -6.21418    -6.29351  0.00668284
          51    -6.20599     -6.2918   0.0067686
          52    -6.19834       -6.29  0.00687289
          53    -6.19871    -6.28828  0.00695569
          54    -6.19687    -6.28658  0.00702983
          55    -6.19597    -6.28494  0.00709246
          56    -6.19504    -6.28333  0.00714517
          57    -6.19416    -6.28177  0.00718903
          58    -6.19144    -6.28021  0.00723181
          59    -6.18549     -6.2786  0.00728525
          60    -6.17892    -6.27694  0.00735082
          61    -6.17415    -6.27526  0.00742097
          62    -6.17601    -6.27366  0.00747195
          63    -6.17547     -6.2721  0.00751412
          64    -6.17858    -6.27064  0.00753746
          65      -6.183    -6.26929  0.00754111
          66    -6.18467    -6.26801  0.00753506
          67    -6.18132    -6.26671  0.00753287
          68    -6.18008    -6.26544  0.00752906
          69    -6.17823    -6.26418  0.00752528
          70    -6.18139    -6.26299  0.00751014
          71    -6.17791    -6.26179  0.00749935
          72    -6.17565     -6.2606  0.00749002
          73    -6.17081    -6.25937  0.00748773
          74    -6.16992    -6.25816  0.00748346
          75    -6.16419    -6.25691  0.00748783
          76    -6.16236    -6.25566  0.00749193
          77    -6.16276    -6.25446  0.00749115
          78    -6.16359    -6.25329  0.00748515
          79    -6.16337    -6.25215  0.00747644
          80    -6.15823    -6.25098  0.00747461
          81    -6.15312    -6.24977  0.00747932
          82    -6.14788    -6.24853  0.00749062
          83    -6.14058    -6.24723  0.00751243
          84    -6.14409      -6.246  0.00752265
          85    -6.14263    -6.24478   0.0075318
          86    -6.13625    -6.24352  0.00754922
          87    -6.13751     -6.2423  0.00756015
          88    -6.13792    -6.24112  0.00756672
          89    -6.13845    -6.23996  0.00756912
          90    -6.14039    -6.23886  0.00756545
          91    -6.13965    -6.23777  0.00756045
          92    -6.13225    -6.23662  0.00756475
          93     -6.1284    -6.23546  0.00757238
          94    -6.12327    -6.23426  0.00758529
          95    -6.12098    -6.23307   0.0075986
          96    -6.12252    -6.23192  0.00760622
          97    -6.11798    -6.23074  0.00761796
          98     -6.1134    -6.22955  0.00763375
          99    -6.10832    -6.22832  0.00765423
         100    -6.10951    -6.22713  0.00766934
         101    -6.11411    -6.22601  0.00767461
         102    -6.10652    -6.22484  0.00768825
         103    -6.10235    -6.22365  0.00770505
         104    -6.09837    -6.22245  0.00772456
         105    -6.08877    -6.22118   0.0077552
         106    -6.08724    -6.21991   0.0077843
         107    -6.08724    -6.21867  0.00780967
         108    -6.07571    -6.21735  0.00784874
         109    -6.06499    -6.21595  0.00790023
         110    -6.06776     -6.2146  0.00794245
         111    -6.06962     -6.2133  0.00797757
         112    -6.06669    -6.21199  0.00801302
         113    -6.06274    -6.21067  0.00805022
         114    -6.06305    -6.20937  0.00808308
         115     -6.0622    -6.20809  0.00811347
         116    -6.05912    -6.20681  0.00814453
         117    -6.05298    -6.20549  0.00818035
         118    -6.04175    -6.20411  0.00822788
         119    -6.03972    -6.20273   0.0082739
         120    -6.03048    -6.20129  0.00832852
         121    -6.02662    -6.19985  0.00838386
         122     -6.0192    -6.19837  0.00844489
         123    -6.01097    -6.19684  0.00851255
         124    -6.01239    -6.19535  0.00857289
         125     -6.0042    -6.19383  0.00863962
         126    -6.00354    -6.19232  0.00870205
         127     -5.9933    -6.19075  0.00877349
         128    -5.99795    -6.18924  0.00883329
         129    -5.99424    -6.18773  0.00889322
         130    -5.99592    -6.18625  0.00894637
         131    -5.98745    -6.18474  0.00900587
         132    -5.97758    -6.18317  0.00907335
         133    -5.97467     -6.1816  0.00913956
         134     -5.9629    -6.17997  0.00921592
         135    -5.96985    -6.17841  0.00927814
         136    -5.96488    -6.17684  0.00934183
         137    -5.96794    -6.17532  0.00939727
         138    -5.97671    -6.17388  0.00943873
         139    -5.96761    -6.17239  0.00948676
         140    -5.95963    -6.17087  0.00953994
         141    -5.94457    -6.16927  0.00960635
         142    -5.94416    -6.16768  0.00966861
         143    -5.96325    -6.16625  0.00970612
         144    -5.96031    -6.16482  0.00974351
         145      -5.967    -6.16346  0.00977136
         146    -5.96383    -6.16209  0.00979964
         147    -5.94065    -6.16059  0.00984808
         148    -5.92316    -6.15898  0.00991134
         149    -5.92283     -6.1574  0.00997074
         150    -5.92148    -6.15582   0.0100275
         151    -5.91366    -6.15422   0.0100886
         152    -5.90918    -6.15261   0.0101502
         153     -5.9185    -6.15108   0.0101985
         154    -5.91519    -6.14955   0.0102467
         155    -5.91064      -6.148   0.0102958
         156    -5.91047    -6.14648   0.0103418
         157     -5.9048    -6.14494   0.0103899
         158    -5.89784    -6.14338   0.0104412
         159    -5.88416    -6.14175    0.010502
         160    -5.87668    -6.14009   0.0105662
         161    -5.89291    -6.13856   0.0106115
         162    -5.88326    -6.13698   0.0106624
         163     -5.8927    -6.13548   0.0107018
         164    -5.89248      -6.134   0.0107386
         165    -5.88923    -6.13252   0.0107755
         166    -5.88584    -6.13103   0.0108126
         167    -5.87762    -6.12951   0.0108538
         168    -5.87245    -6.12798   0.0108965
         169    -5.87579    -6.12649   0.0109338
         170    -5.87361      -6.125   0.0109702
         171    -5.87302    -6.12353   0.0110045
         172    -5.86071      -6.122   0.0110461
         173    -5.84422     -6.1204   0.0110984
         174    -5.84185     -6.1188   0.0111494
         175    -5.85017    -6.11726   0.0111909
         176    -5.85096    -6.11575   0.0112291
         177    -5.84156     -6.1142    0.011272
         178    -5.83676    -6.11264    0.011316
         179    -5.82526    -6.11103   0.0113661
         180    -5.82476    -6.10944   0.0114136
         181    -5.83842    -6.10795   0.0114484
         182    -5.83202    -6.10643   0.0114854
         183    -5.83787    -6.10496    0.011516
         184    -5.83996    -6.10352   0.0115432
         185    -5.83938    -6.10209   0.0115687
         186    -5.84478    -6.10071    0.011589
         187    -5.83537    -6.09929   0.0116135
         188    -5.83024    -6.09786   0.0116396
         189    -5.81619    -6.09637    0.011673
         190    -5.80842    -6.09486   0.0117096
         191    -5.80238    -6.09332    0.011748
         192    -5.80353    -6.09181   0.0117833
         193    -5.79971     -6.0903   0.0118191
         194    -5.79063    -6.08876   0.0118587
         195    -5.77553    -6.08715   0.0119061
         196    -5.78425     -6.0856   0.0119453
         197    -5.78992     -6.0841   0.0119786
         198    -5.78278    -6.08258   0.0120143
         199    -5.78143    -6.08107   0.0120489
         200    -5.76858    -6.07951   0.0120895
         201    -5.76236    -6.07793   0.0121319
         202    -5.77107    -6.07641   0.0121666
         203    -5.77905    -6.07494   0.0121945
         204    -5.77754    -6.07349   0.0122216
         205    -5.76976    -6.07201   0.0122514
         206    -5.77332    -6.07056   0.0122775
         207    -5.77087    -6.06911   0.0123032
         208    -5.76283    -6.06764   0.0123319
         209    -5.74899    -6.06611   0.0123667
         210    -5.74892     -6.0646   0.0123997
         211    -5.74502    -6.06309   0.0124331
         212    -5.72899    -6.06151    0.012474
         213     -5.7156    -6.05989   0.0125207
         214    -5.72159     -6.0583   0.0125616
         215    -5.72985    -6.05678   0.0125957
         216    -5.74011    -6.05531   0.0126224
         217    -5.72951    -6.05381   0.0126532
         218    -5.72501     -6.0523   0.0126847
         219    -5.72577    -6.05081   0.0127141
         220    -5.72313    -6.04932   0.0127433
         221    -5.71955    -6.04783   0.0127727
         222    -5.71755    -6.04634   0.0128015
         223    -5.70785    -6.04482   0.0128338
         224    -5.71459    -6.04335   0.0128609
         225    -5.71243    -6.04188   0.0128876
         226    -5.70301    -6.04038   0.0129175
         227    -5.70109    -6.03888   0.0129467
         228    -5.69413    -6.03737    0.012978
         229    -5.69488    -6.03588   0.0130072
         230    -5.69626     -6.0344   0.0130342
         231    -5.71228    -6.03301   0.0130521
         232    -5.70572    -6.03159   0.0130719
         233    -5.70611     -6.0302   0.0130902
         234    -5.70873    -6.02882   0.0131062
         235    -5.70571    -6.02745   0.0131223
         236    -5.69299    -6.02603    0.013143
         237    -5.69392    -6.02463   0.0131621
         238    -5.68544    -6.02321   0.0131837
         239     -5.6803    -6.02177   0.0132064
         240     -5.6906    -6.02039   0.0132232
         241     -5.7026    -6.01907   0.0132339
         242    -5.71671    -6.01782   0.0132381
         243    -5.71948    -6.01659   0.0132404
         244    -5.72026    -6.01538   0.0132418
         245    -5.72844    -6.01421   0.0132394
         246    -5.74605    -6.01312   0.0132304
         247    -5.72692    -6.01196   0.0132275
         248     -5.7122    -6.01075   0.0132292
         249    -5.71307    -6.00956     0.01323
         250    -5.68912    -6.00827    0.013239
         251    -5.68318    -6.00698   0.0132495
         252    -5.69481    -6.00574   0.0132547
         253    -5.69785    -6.00452   0.0132581
         254    -5.67145    -6.00321   0.0132706
         255    -5.65445    -6.00184   0.0132888
         256    -5.67499    -6.00057   0.0132981
         257    -5.68847    -5.99935   0.0133017
         258    -5.70094     -5.9982   0.0133003
         259    -5.71305     -5.9971   0.0132945
         260     -5.7144    -5.99601   0.0132877
         261    -5.69689    -5.99486   0.0132861
         262    -5.71442    -5.99379   0.0132785
         263    -5.72571    -5.99277    0.013267
         264    -5.73759    -5.99181    0.013252
         265    -5.74163    -5.99086   0.0132355
         266    -5.72822    -5.98987   0.0132225
         267    -5.70655    -5.98881   0.0132155
         268    -5.71394    -5.98779    0.013206
         269    -5.70884    -5.98675   0.0131975
         270    -5.71073    -5.98573   0.0131882
         271    -5.71253    -5.98472    0.013178
         272    -5.68514    -5.98362   0.0131755
         273    -5.68139    -5.98251   0.0131737
         274     -5.6992    -5.98148   0.0131661
         275    -5.69869    -5.98045   0.0131583
         276    -5.69656    -5.97942   0.0131508
         277    -5.69431    -5.97839   0.0131435
         278    -5.69662    -5.97738   0.0131353
         279    -5.67484    -5.97629   0.0131329
         280      -5.677    -5.97522   0.0131294
         281    -5.67049    -5.97414   0.0131274
         282    -5.66389    -5.97304   0.0131268
         283    -5.67213    -5.97198   0.0131235
         284    -5.68787    -5.97098   0.0131153
         285    -5.69233       -5.97   0.0131057
         286     -5.6888    -5.96902   0.0130967
         287    -5.69723    -5.96807   0.0130853
         288     -5.7043    -5.96715   0.0130718
         289     -5.6939    -5.96621   0.0130608
         290    -5.70711    -5.96531   0.0130462
         291    -5.70385    -5.96442   0.0130323
         292    -5.69719     -5.9635   0.0130198
         293     -5.6892    -5.96256    0.013009
         294    -5.67473    -5.96158   0.0130015
         295    -5.66678    -5.96059   0.0129958
         296    -5.68455    -5.95965   0.0129853
         297    -5.70124    -5.95878   0.0129707
         298    -5.71004    -5.95795    0.012954
         299    -5.69815    -5.95708   0.0129398
         300    -5.68818    -5.95618   0.0129276
         301    -5.69939    -5.95533   0.0129128
         302      -5.695    -5.95447   0.0128988
         303    -5.70112    -5.95363   0.0128833
         304    -5.70028     -5.9528   0.0128678
         305    -5.71127    -5.95201     0.01285
         306    -5.69645    -5.95117   0.0128351
         307    -5.69421    -5.95033   0.0128206
         308    -5.69145    -5.94949   0.0128065
         309    -5.69803    -5.94868   0.0127908
         310    -5.69701    -5.94787   0.0127753
         311    -5.71958    -5.94713   0.0127553
         312    -5.71596    -5.94639   0.0127359
         313    -5.72849     -5.9457   0.0127143
         314    -5.72464    -5.94499   0.0126932
         315    -5.73754    -5.94433     0.01267
         316    -5.74658    -5.94371   0.0126454
         317    -5.75396    -5.94311   0.0126196
         318    -5.74949     -5.9425   0.0125946
         319    -5.74353    -5.94188   0.0125706
         320     -5.7646    -5.94132   0.0125435
         321    -5.77575    -5.94081    0.012515
         322    -5.77654     -5.9403   0.0124866
         323    -5.76886    -5.93977   0.0124592
         324    -5.76378    -5.93922   0.0124326
         325    -5.76312    -5.93868   0.0124061
         326    -5.76436    -5.93815   0.0123796
         327    -5.75386    -5.93758   0.0123545
         328    -5.75347    -5.93702   0.0123296
         329    -5.73852    -5.93642   0.0123069
         330    -5.72539    -5.93578   0.0122862
         331    -5.72092    -5.93513   0.0122662
         332    -5.72849    -5.93451   0.0122451
         333    -5.73685    -5.93391   0.0122227
         334    -5.75856    -5.93339   0.0121973
         335    -5.76376    -5.93288   0.0121714
         336    -5.76131    -5.93237   0.0121459
         337    -5.75269    -5.93184   0.0121216
         338    -5.76448    -5.93134   0.0120958
         339    -5.77819    -5.93089   0.0120686
         340    -5.76967    -5.93042   0.0120424
         341    -5.76731    -5.92994   0.0120166
         342    -5.76842    -5.92947   0.0119907
         343    -5.76208    -5.92898   0.0119657
         344    -5.76677    -5.92851   0.0119402
         345    -5.76897    -5.92805   0.0119145
         346     -5.7554    -5.92755   0.0118905
         347    -5.74587    -5.92702   0.0118678
         348    -5.74014    -5.92649   0.0118458
         349    -5.74328    -5.92596   0.0118235
         350    -5.74027    -5.92543   0.0118016
         351     -5.7265    -5.92486   0.0117816
         352    -5.70218    -5.92423   0.0117651
         353    -5.69684    -5.92359   0.0117494
         354    -5.69408    -5.92294   0.0117341
         355    -5.69572     -5.9223   0.0117185
         356    -5.69994    -5.92167   0.0117022
         357     -5.7083    -5.92108   0.0116847
         358    -5.69417    -5.92044   0.0116692
         359    -5.70588    -5.91984    0.011652
         360    -5.70264    -5.91924   0.0116352
         361    -5.70363    -5.91864   0.0116183
         362    -5.70435    -5.91805   0.0116013
         363    -5.71088    -5.91748   0.0115834
         364     -5.7035    -5.91689   0.0115665
         365    -5.70205     -5.9163   0.0115497
         366     -5.7179    -5.91576   0.0115309
         367    -5.72932    -5.91525   0.0115107
         368    -5.72264    -5.91473   0.0114913
         369    -5.71095    -5.91418   0.0114734
         370    -5.69859     -5.9136   0.0114572
         371     -5.6986    -5.91302   0.0114409
         372    -5.70461    -5.91246   0.0114239
         373     -5.6926    -5.91187   0.0114085
         374    -5.67491    -5.91123   0.0113955
         375    -5.66409    -5.91057   0.0113842
         376     -5.6508    -5.90988   0.0113748
