#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.830595    0.830595           0
           2     0.83078    0.830688 6.52533e-05
           3    0.830959    0.830778 8.58032e-05
           4    0.831146     0.83087 0.000102432
           5    0.831395    0.830975 0.000124601
           6    0.831611    0.831081 0.000141929
           7    0.831718    0.831172 0.000147924
           8    0.831886    0.831261 0.000154011
           9    0.832059     0.83135 0.000160364
          10    0.832226    0.831438 0.000166526
          11    0.832441    0.831529 0.000174615
          12    0.832624     0.83162 0.000182355
          13    0.832744    0.831707 0.000187718
          14    0.832877     0.83179 0.000192021
          15    0.832932    0.831866 0.000193718
          16    0.833058    0.831941 0.000195396
          17    0.833159    0.832012 0.000196605
          18     0.83337    0.832088 0.000199636
          19    0.833586    0.832167 0.000204099
          20    0.833704    0.832243 0.000207858
          21    0.833824    0.832319 0.000211153
          22     0.83393    0.832392 0.000213878
          23    0.834013    0.832462 0.000215876
          24    0.834218    0.832536 0.000218919
          25    0.834405     0.83261 0.000222568
          26    0.834515    0.832684 0.000225743
          27    0.834647    0.832756 0.000228797
          28    0.834862    0.832832 0.000232661
          29     0.83504    0.832908 0.000236774
          30    0.835234    0.832985 0.000241245
          31    0.835316     0.83306 0.000244903
          32    0.835474    0.833136 0.000248588
          33    0.835721    0.833214 0.000253095
          34    0.836016    0.833297 0.000258717
          35    0.836322    0.833383 0.000265375
          36     0.83658    0.833472 0.000272462
          37    0.836784    0.833561 0.000279418
          38    0.836933     0.83365 0.000285807
          39    0.837284    0.833743 0.000293272
          40     0.83766    0.833841 0.000301841
          41    0.837939    0.833941 0.000310586
          42    0.838543    0.834051  0.00032194
          43    0.838822    0.834162 0.000333024
          44    0.838972    0.834271 0.000342929
          45    0.839174     0.83438 0.000352194
          46     0.83934    0.834488 0.000360669
          47    0.839407    0.834592 0.000367869
          48    0.839336    0.834691 0.000373241
          49    0.839298    0.834785  0.00037728
          50    0.839444    0.834878 0.000381066
          51    0.839794    0.834975  0.00038559
          52    0.840165    0.835075 0.000390878
          53    0.840079    0.835169 0.000394744
          54    0.840175    0.835262 0.000398171
          55    0.840205    0.835352 0.000400946
          56    0.840269    0.835439 0.000403286
          57    0.840327    0.835525 0.000405223
          58    0.840418     0.83561 0.000406922
          59    0.840743    0.835697 0.000409222
          60    0.841081    0.835786 0.000412124
          61    0.841366    0.835878 0.000415396
          62    0.841333    0.835966  0.00041791
          63    0.841378    0.836052 0.000420015
          64    0.841249    0.836133  0.00042123
          65    0.841002    0.836208 0.000421358
          66    0.840921    0.836279 0.000420981
          67    0.841109    0.836351 0.000420823
          68    0.841177    0.836422 0.000420577
          69    0.841347    0.836494 0.000420494
          70    0.841242    0.836561 0.000419922
          71    0.841475    0.836631 0.000419672
          72    0.841603      0.8367 0.000419486
          73    0.841871    0.836771 0.000419678
          74    0.841942     0.83684 0.000419784
          75    0.842191    0.836912 0.000420206
          76    0.842306    0.836983 0.000420628
          77    0.842256    0.837051 0.000420704
          78    0.842293    0.837118 0.000420644
          79    0.842258    0.837184  0.00042032
          80     0.84248     0.83725 0.000420248
          81    0.842722    0.837317 0.000420455
          82     0.84301    0.837387  0.00042102
          83    0.843354    0.837459 0.000422042
          84    0.843185    0.837527 0.000422488
          85     0.84325    0.837594 0.000422849
          86    0.843592    0.837664 0.000423644
          87    0.843501    0.837731 0.000424054
          88    0.843497    0.837796 0.000424266
          89    0.843459     0.83786 0.000424243
          90    0.843386    0.837921 0.000423949
          91    0.843462    0.837982  0.00042364
          92     0.84385    0.838046 0.000423809
          93    0.844083    0.838111 0.000424195
          94    0.844328    0.838177 0.000424807
          95    0.844462    0.838243 0.000425456
          96    0.844366    0.838307 0.000425777
          97    0.844662    0.838373 0.000426398
          98    0.844913    0.838439 0.000427238
          99    0.845141    0.838507 0.000428252
         100    0.845129    0.838573 0.000429059
         101    0.844992    0.838637 0.000429492
         102    0.845412    0.838703 0.000430388
         103    0.845619     0.83877 0.000431415
         104    0.845796    0.838838 0.000432524
         105    0.846215    0.838908 0.000434074
         106    0.846386    0.838979 0.000435674
         107    0.846401    0.839048 0.000437089
         108    0.846928    0.839121  0.00043909
         109    0.847461    0.839198 0.000441678
         110    0.847338    0.839272 0.000443818
         111    0.847294    0.839344 0.000445665
         112    0.847471    0.839416 0.000447554
         113     0.84768     0.83949 0.000449528
         114    0.847661    0.839561 0.000451263
         115    0.847696    0.839632  0.00045285
         116    0.847875    0.839703 0.000454487
         117    0.848209    0.839776  0.00045638
         118     0.84878    0.839852 0.000458848
         119    0.848912    0.839928 0.000461264
         120    0.849326    0.840007 0.000464022
         121    0.849429    0.840084 0.000466675
         122    0.849764    0.840164 0.000469545
         123    0.850139    0.840245  0.00047268
         124    0.849998    0.840324 0.000475367
         125    0.850339    0.840404 0.000478269
         126    0.850447    0.840483  0.00048107
         127    0.851013    0.840566 0.000484374
         128    0.850883    0.840647 0.000487249
         129    0.851074    0.840728 0.000490131
         130    0.851003    0.840807 0.000492693
         131    0.851393    0.840888 0.000495515
         132    0.851827     0.84097 0.000498644
         133    0.852001    0.841053 0.000501745
