#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        0.71        0.71           0
           2        0.71        0.71           0
           3        0.71        0.71           0
           4        0.71        0.71           0
           5        0.71        0.71           0
           6        0.71        0.71           0
           7        0.71        0.71           0
           8        0.71        0.71           0
           9        0.71        0.71           0
          10        0.71        0.71   3.332e-09
          11        0.71        0.71 3.17694e-09
          12        0.71        0.71 3.04169e-09
          13        0.71        0.71 5.84472e-09
          14        0.71        0.71 5.63211e-09
          15        0.71        0.71 6.08337e-09
          16        0.71        0.71  5.8902e-09
          17        0.71        0.71 5.71433e-09
          18        0.71        0.71 6.57079e-09
          19        0.71        0.71 6.39554e-09
          20        0.71        0.71  6.2336e-09
