#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.74336    -6.74336           0
           2    -6.68394    -6.71365   0.0210096
           3    -6.61584    -6.68105    0.030081
           4    -6.57419    -6.65433   0.0323138
           5    -6.53288    -6.63004    0.033768
           6    -6.48774    -6.60633   0.0355049
           7    -6.46269    -6.58581   0.0358754
           8    -6.44464    -6.56816    0.035466
           9    -6.42244    -6.55197   0.0350269
          10    -6.38626     -6.5354   0.0352268
          11    -6.37084    -6.52044   0.0350574
          12    -6.35532    -6.50668   0.0347314
          13    -6.32469    -6.49268   0.0347668
          14    -6.30895    -6.47956    0.034672
          15    -6.28435    -6.46654   0.0347169
          16    -6.25992    -6.45363   0.0348662
          17    -6.23606    -6.44083   0.0350857
          18    -6.20032    -6.42747   0.0355899
          19    -6.16752    -6.41379   0.0362513
          20    -6.12634    -6.39942   0.0371788
