#   N_BLOCK:  ACCEPTANCE:
           1    0.999185
           2    0.998773
           3    0.998472
           4    0.998208
           5    0.997965
           6    0.997832
           7    0.997701
           8    0.997596
           9    0.997519
          10    0.997413
          11    0.997331
          12    0.997264
          13    0.997202
          14    0.997133
          15    0.997068
          16    0.997015
          17    0.996943
          18    0.996904
          19    0.996861
          20    0.996795
