#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.869361    0.869361           0
           2    0.872228    0.870795  0.00101354
           3    0.875544    0.872378  0.00145852
           4    0.877517    0.873662  0.00156027
           5    0.879642    0.874858  0.00164382
           6    0.881961    0.876042  0.00174474
           7    0.883266    0.877074  0.00177464
           8    0.884172    0.877961  0.00176067
           9    0.885335    0.878781  0.00174531
          10    0.887215    0.879624  0.00176283
          11     0.88793    0.880379  0.00175685
          12     0.88881    0.881082  0.00174529
          13    0.890557    0.881811  0.00175666
          14     0.89139    0.882495   0.0017594
          15    0.892694    0.883175  0.00176862
          16    0.893946    0.883848  0.00178161
          17    0.895198    0.884516  0.00179757
          18    0.897181    0.885219  0.00183025
          19    0.898836    0.885936  0.00186896
          20    0.901049    0.886692  0.00192222
