#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0555556   0.0555556           0
           2   0.0555556   0.0555556           0
           3   0.0555556   0.0555556           0
           4   0.0555556   0.0555556           0
           5   0.0555556   0.0555556  2.9451e-10
           6   0.0555556   0.0555556           0
           7   0.0555556   0.0555556           0
           8   0.0555556   0.0555556           0
           9   0.0555556   0.0555556           0
          10   0.0555556   0.0555556  2.0825e-10
          11   0.0555556   0.0555556           0
          12   0.0555556   0.0555556           0
          13   0.0555556   0.0555556           0
          14   0.0555556   0.0555556           0
          15   0.0555556   0.0555556           0
          16   0.0555556   0.0555556           0
          17   0.0555556   0.0555556           0
          18   0.0555556   0.0555556           0
          19   0.0555556   0.0555556  1.5108e-10
          20   0.0555556   0.0555556 1.47255e-10
          21   0.0555556   0.0555556           0
          22   0.0555556   0.0555556 1.40402e-10
          23   0.0555556   0.0555556 1.94194e-10
          24   0.0555556   0.0555556 2.32831e-10
          25   0.0555556   0.0555556 2.28127e-10
          26   0.0555556   0.0555556 2.58302e-10
          27   0.0555556   0.0555556 2.53474e-10
          28   0.0555556   0.0555556 2.78286e-10
          29   0.0555556   0.0555556 2.73446e-10
          30   0.0555556   0.0555556  2.6885e-10
          31   0.0555556   0.0555556 2.89721e-10
          32   0.0555556   0.0555556 2.85158e-10
          33   0.0555556   0.0555556 2.80804e-10
          34   0.0555556   0.0555556  2.9881e-10
          35   0.0555556   0.0555556  2.9451e-10
          36   0.0555556   0.0555556 2.90391e-10
          37   0.0555556   0.0555556  2.8644e-10
          38   0.0555556   0.0555556 2.82646e-10
          39   0.0555556   0.0555556 2.78998e-10
          40   0.0555556   0.0555556 2.32831e-10
          41   0.0555556   0.0555556 1.78137e-10
          42   0.0555556   0.0555556 1.01616e-10
          43   0.0555556   0.0555556 1.42025e-10
          44   0.0555556   0.0555556 9.92793e-11
          45   0.0555556   0.0555556   9.817e-11
          46   0.0555556   0.0555556 9.70971e-11
          47   0.0555556   0.0555556 9.60586e-11
          48   0.0555556   0.0555556 1.64636e-10
          49   0.0555556   0.0555556 1.62948e-10
          50   0.0555556   0.0555556 1.86265e-10
          51   0.0555556   0.0555556 1.84429e-10
          52   0.0555556   0.0555556 2.23696e-10
          53   0.0555556   0.0555556 2.21576e-10
          54   0.0555556   0.0555556 2.37103e-10
          55   0.0555556   0.0555556 2.34938e-10
          56   0.0555556   0.0555556 2.32831e-10
          57   0.0555556   0.0555556 2.61679e-10
          58   0.0555556   0.0555556 2.59413e-10
          59   0.0555556   0.0555556 2.42496e-10
          60   0.0555556   0.0555556  2.6885e-10
          61   0.0555556   0.0555556 2.66637e-10
          62   0.0555556   0.0555556 2.64478e-10
          63   0.0555556   0.0555556 2.87412e-10
          64   0.0555556   0.0555556 2.85158e-10
          65   0.0555556   0.0555556 2.82956e-10
          66   0.0555556   0.0555556  2.9227e-10
          67   0.0555556   0.0555556 2.90081e-10
          68   0.0555556   0.0555556  2.8794e-10
          69   0.0555556   0.0555556 2.85846e-10
          70   0.0555556   0.0555556 3.04847e-10
          71   0.0555556   0.0555556 3.02692e-10
          72   0.0555556   0.0555556 2.90391e-10
          73   0.0555556   0.0555556 2.67002e-10
          74   0.0555556   0.0555556 2.65192e-10
          75   0.0555556   0.0555556 2.52203e-10
          76   0.0555556   0.0555556 2.26621e-10
          77   0.0555556   0.0555556 2.25144e-10
          78   0.0555556   0.0555556 1.97282e-10
          79   0.0555556   0.0555556 1.96029e-10
          80   0.0555556   0.0555556 1.64636e-10
          81   0.0555556   0.0555556 1.63617e-10
          82   0.0555556   0.0555556 1.62616e-10
          83   0.0555556   0.0555556 1.61633e-10
          84   0.0555556   0.0555556 1.43706e-10
          85   0.0555556   0.0555556 1.59721e-10
          86   0.0555556   0.0555556 1.22998e-10
          87   0.0555556   0.0555556 1.41207e-10
          88   0.0555556   0.0555556 1.21592e-10
          89   0.0555556   0.0555556 1.20907e-10
          90   0.0555556   0.0555556   9.817e-11
          91   0.0555556   0.0555556 1.19571e-10
          92   0.0555556   0.0555556 1.18919e-10
          93   0.0555556   0.0555556 1.18278e-10
          94   0.0555556   0.0555556 1.17647e-10
          95   0.0555556   0.0555556 9.55517e-11
          96   0.0555556   0.0555556 9.50527e-11
          97   0.0555556   0.0555556 1.15814e-10
          98   0.0555556   0.0555556  6.6523e-11
          99   0.0555556   0.0555556 9.36014e-11
         100   0.0555556   0.0555556 9.31323e-11
